,input_en,output_de,gt_de
261,A young woman with a black shirt and jeans sweeping.,Eine junge Frau in einem schwarzen Hemd und Jeans wischt,Eine junge Frau in einem schwarzen T-Shirt und Jeans beim Kehren.
262,Woman with a hat on climbing a cliff near a large body of water.,Eine Frau mit Hut klettert auf eine Klippe in,Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.
263,A big black poodle running on the grass with a toy in its mouth.,Ein großer schwarzer Pudel läuft mit einem Spielzeug im,Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.
264,A boy in shorts doing a skateboard trick.,Ein Junge im Shorts macht ein Skateboard-Kunststück.,Ein Junge in Shorts macht einen Skateboard-Trick.
265,A little boy dressed in red pants is standing in the street.,"Ein kleiner Junge, der rote Hose trägt, steht auf einer",Ein kleiner Junge in roten Hosen steht auf der Straße.
266,A woman texts on her phone while surrounded by umbrellas.,Eine Frau telefoniert mit ihrem Handy und ist von Regensch,"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen."
267,"Eight men play instruments on stage, with a guitarist highlighted in lights.",Acht Männer spielen auf der Bühne Instrumente und ein Gitarrist ist,"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt."
268,A man in an orange jumpsuit and matching hard hat is helping with a blue hose,Ein Mann mit einem orangen Overall und der passenden Schutzhelm,Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch
269,A man and two girls show off a fish while holding fishing poles in front of a body of water.,"Ein Mann und zwei Mädchen zeigen ein Fisch, während sie an",Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.
270,Man in red shirt watches dog on an agility course.,Mann im roten Hemd beobachtet einen Hund auf einer Agility-,Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.
271,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,Ein Junge mit rot-weißen Badehose taucht rück,Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.
272,An Asian woman pinning her hair back.,Eine asiatische Frau hält ihre Haare nach hinten.<unused64>,Eine Asiatin steckt ihre Haare zurück.
273,An older woman and a young child in a pink shirt playing with multicolored blocks.,Eine ältere Frau und ein kleines Kind mit einem rosa Hemd,Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.
274,A small black dog jumping over gates,Ein kleiner schwarzer Hund springt über Tore.<unused64>,Ein kleiner schwarzer Hund springt über Gatter
275,A brown-haired man in a green shirt plays a trumpet outdoors.,Ein braunhaariger Mann mit grünem Hemd spielt im,Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.
276,A man talks on the phone with his feet up.,Ein Mann telefoniert mit gehobenen Beinen auf dem,Ein Mann telefoniert mit hochgelegten Füßen.
277,A group of children sit on a blue mat while they eat out of bowls.,Eine Gruppe Kinder sitzt auf einer blauen Matte und isst aus,Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.
278,A black boy is sitting in the sand.,"Ein schwarzer Junge sitzt im Sand.[
qassistant",Ein schwarzer Junge sitzt im Sand.
279,A small dog watches two big dogs playing rough in a field.,"Ein kleiner Hund beobachtet zwei große Hunde, die auf einem Feld",Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.
280,People sitting in a circle outside a large building.,"Menschen sitzen im Kreis vor einem großen Gebäude.�
<unused64>","Menschen, die vor einem großen Gebäude im Kreis sitzen."
281,One dog leaps to catch a softball while another looks on.,"Ein Hund springt nach einer Softball, während ein anderer ihn","Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht."
282,A blond child swinging on a swing.,Ein blonder Kind schaukelt auf einer Schaukel,Ein blondes Kind schaukelt auf einer Schaukel.
283,One man and two women having a discussion over white wine,Ein Mann und zwei Frauen unterhalten sich über Weißwein.,Ein Mann und zwei Frauen diskutieren und trinnken Weißwein
284,An Asian man is cooking food outdoors.,Ein asiatischer Mann kocht im Freien Essen zu.,Ein Asiate bereitet im Freien Essen zu.
285,A brown dog about to catch a green Frisbee.,"Ein brauner Hund, der bald eine grüne Frisbeescheibe","Ein brauner Hund ist kurz davor, einen Frisbee zu fangen."
286,Fans cheer as the band plays a song.,"Fans schallen, als die Band eine Melodie spielt.",Fans jubeln während die Band ein Lied spielt.
287,A young boy is standing next to a sand sculpture of a pyramid.,Ein kleiner Junge steht neben einer Sandskulptur eines Pyram,Ein kleiner Junge steht neben einer Pyramide aus Sand.
288,Three young children are walking through a grassy yard.,"Drei kleine Kinder laufen über eine Wiese.�
<unused64>assistant",Drei kleine Kinder gehen durch einen grasbewachsenen Hof.
289,A man pounds on an artwork perched on a cart.,"Ein Mann schlägt auf ein Kunstwerk, das auf einem Wagen",Ein Mann grübelt über einer Skulptur auf einem Wagen.
290,A man on a bicycle rides on a mountain.,Ein Mann auf einem Fahrrad fährt einen Berg hinunter.�,Ein Mann fährt auf einem Berg Fahrrad.
291,A boy with blue and yellow rain boots runs on dirt.,Ein Junge mit blau-gelben Regenmützen rennt,Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.
292,A woman in an orange jacket sits on a bench.,Eine Frau mit einer orangen Jacke sitzt auf einer Bank,Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.
293,A man doing a trick on skateboard,Ein Mann macht ein Kunststück auf dem Skateboard.<unused64>,Ein Mann macht einen Trick auf dem Skateboard
294,A man in a martial arts uniform in midair.,Ein Mann mit Karate-Outfit befindet sich im Luftraum.,Ein Mann in einem Karateanzug in der Luft.
295,Woman selling bags of fruit on a sidewalk.,Eine Frau verkauft auf einem Gehweg Obstbeutel.�,Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.
296,Two soccer teams are on the field.,"Zwei Fußballmannschaften sind auf dem Feld.<unused64>
+",Zwei Fußballmannschaften auf dem Feld.
297,A child in a blue shirt jumping off a bench.,Ein Kind mit einem blauen Hemd springt von einer Bank,Ein Kind in einem blauen Shirt springt von einer Bank.
298,A goalie in a yellow field is protecting the goal.,Ein Torhüter auf einem gelben Feld schützt den,Ein Torwart in einem gelben Trikot schützt das Tor.
299,A group of young people take shots in a Mexican setting.,Eine Gruppe junger Leute macht Fotos auf mexikanischem Boden.,Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.
300,A young man skateboards off a pink railing.,Ein junger Mann fährt mit dem Skateboard von einem rosa Gel,Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.
301,A young boy jumping from a bunk bed on a smaller bed.,Ein kleiner Junge springt von einem Bunkbett auf eine kleinere,Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.
302,"Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.",Zwei Personen mit seltsamen außerirdischen Kostü,"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße."
303,Man running wearing a blue shirt with a number taped to it.,Mann mit blauem Hemd und einer Nummer auf dem Ober,Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.
304,An Asian factory worker posing for the camera.,Ein asiatischer Fabrikarbeiter posiert für die Kamera,Ein asiatischer Fabrikarbeiter posiert für die Kamera.
305,A man that appears to be running in a marathon gives us 2 thumbs up.,"Ein Mann, der wie ein Marathonläufer aussieht und zwei Da","Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben."
306,Basketball players shoot for a goal during a game.,Basketballspieler versuchen bei einem Spiel einen Punkt zu schießen.,"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen."
307,A football player wearing an orange uniform smiling and holding the football.,Ein Football-Spieler in einem orangen Trikot läche,Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.
308,Two downhill skateboarders round a curve while others watch.,Zwei Downhill-Skateboarder runden eine Kurve,Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.
309,A team in white and gold on the sidelines of a football field.,Eine Mannschaft mit weiß-goldenen Trikots auf der,Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.
310,A little girl is pushing her scooter through a grassy tree lined field.,Ein kleines Mädchen schiebt seinen RollROLLER durch einen grasbe,Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.
311,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,"Eine Gruppe von asiatischen Kindern, die mit einer Menschenmenge",Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.
312,Pedestrians walking down the street look at a child in a cardboard box.,Gehrende Personen auf der Straße schauen sich ein Kind aus einer,Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.
313,A brown dog runs down the sandy beach.,Ein brauner Hund läuft den sandigen Strand entlang.0,Ein brauner Hund läuft über den Sandstrand.
314,Two men in army uniforms stand next to a woman.,Zwei Männer in Armeeuniformen stehen neben einer Frau.,Zwei Männer in Armeeuniform stehen neben einer Frau.
315,"The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.","Der Dalai-Lama bei einer Empfangshalle, auf der","Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen."
316,A biker jumps an obstacle.,Ein Motorradfahrer springt über ein Hindernis.<unused64>,Ein Radfahrer springt über eine Hindernis.
317,A couple sitting in white lawn chairs are smiling at the camera.,Eine Personengruppe sitzt auf weißen Stühlen und läche,Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.
318,Young kids are on a small train ride.,"Kleine Kinder fahren in einem kleinen Zug.<unused64>
�assistant",Kleine Kinder fahren in einem Miniaturzug.
319,A surfer in a blue swimsuit is riding the waves.,Ein Surfer mit blauem Badeanzug reitet auf der Welle,Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.
320,The boy jumps onto his soccer player brother.,Der Junge springt auf seinen Fußballer-Bruder.,Ein Junge springt auf seinen Fußball spielenden Bruder.
321,Two young men on opposing soccer teams are competing to get the ball on a soccer field.,Zwei junge Männer auf gegnerischen Fußballmannschaften kämpfen um,Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.
322,People are walking on a paved slope surrounded by Chinese vendors.,Menschen gehen auf einer gepflasterten Pfütze,"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern."
323,A young boy wearing white pants is jumping off the couch.,Ein kleiner Junge in weißen Hosen springt von der Couch,Ein kleiner Junge in weißen Hosen springt von der Couch.
324,A boy in an orange shirt is pouring Legos from a bag.,Ein Junge mit einem orangen Hemd gießt Lego-,Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.
325,"Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",Eine Frau mit braunen Sandalen und blauen Jeans hält einen,"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum."
326,Three people smiling and holding political signs.,Drei Personen lächeln und halten politische Plakate in der Hand,Drei Personen lächeln und halten politische Schilder.
327,An officer stands next to a car on a city street.,Ein Beamter steht neben einem Auto auf einer Straße in der,Ein Polizist steht neben einem Auto auf einer städtischen Straße.
328,Two men wearing hats.,Zwei,Zwei Männer mit Mützen.
329,A boy in midair trying to kick a soccer ball,"Ein Junge versucht, einen Fußball ins Feld zu schießen.",Ein Junge ist in der Luft und versucht einen Fußball zu treffen
330,A young boy with a blue beanie has his head down.,Ein kleiner Junge mit einer blauen Kappe hat seinen Kopf nach,Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.
331,A red-haired man with dreadlocks is sitting playing and acoustic guitar.,Ein rothaariger Mann mit Dreadlock spielt und sing,Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.
332,A man eating a sandwich with his baby daughter in his lap.,Ein Mann isst ein Sandwich mit seiner kleinen Tochter auf dem,Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.
333,An African American child is holding something up that those in the picture are proud of.,"Ein afroamerikanisches Kind hält etwas hoch, das jene im","Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind."
334,A woman directs a crowd of people with a loudspeaker.,Eine Frau führt eine Menschenmenge mit einem Lautsprecher an die,Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.
335,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,"Zuschauer im Kostüm betrachten, wie ein Polizist mit Uniform",Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.
336,A crowd is present at a bar.,Eine Menschenmenge befindet sich in einer Kneipe.0,Eine Gruppe ist in einer Bar.
337,A girl in white and a girl in green walk past a blue car wash station.,Ein Mädchen im weißen und ein Mädchen in grün gehen an einem,Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.
338,A man is using electronic equipment.,"Ein Mann benutzt elektronische Geräte.�
0assistant",Ein Mann verwendet elektronische Geräte.
339,A person surfing through a crashing wave in the ocean.,Eine Person surft durch eine brechende Welle im Meer.,Eine Person surft auf einer brechenden Welle auf dem Ozean.
340,An army officer is inspecting something.,Ein,Ein Armeeoffizier inspiziert etwas.
341,A bride and groom kiss under the bride's veil.,Eine Braut und ein Bräutigam küssen sich unter,Eine Braut und Bräutigam küssen sich unter dem Brautschleier.
342,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,"Die Riot-Polizei steht im Hintergrund, während ein junger Mann",Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.
343,A black and white dog jumping over a steeple vault at a competition,Ein schwarz-weißer Hund springt bei einem Turnier über,Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis
344,A woman wearing a sweater is reading a book in her home.,Eine Frau mit Pullover liest im Haus ein Buch.[,Eine Frau in einer Strickjacke liest zu Hause ein Buch.
345,Several teenagers are looking over a railing in a dark room.,Mehrere Jugendliche schauen über ein Geländer einen dunklen Raum an,Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.
346,The man in the white t-shirt is starting to climb a rock.,"Der Mann im weißen T-Shirt beginnt, einen Felsen zu","Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern."
347,A teenage boy is stretching in the kitchen and you can see part of his stomach.,Ein Teenager streckt sich im Küchenbereich und man sieht,Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.
348,People are holding various types of drumsticks above different kinds of drums.,Menschen halten verschiedene Arten von Trommelstäben über verschiedenen Typen,Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.
349,Three farmers harvest rice out in a rice field.,Drei Bauern ernten Reis auf einer Plantage.[,Drei Farmer ernten Reis auf einem Feld.
350,Two women and a man are looking at a book.,Zwei Frauen und ein Mann sehen sich einen Buch an.�,Zwei Frauen und ein Mann betrachten ein Buch.
351,Three children's legs are shown as they stand near a mess of silly string.,"Drei Beine von Kindern, die in der Nähe einer Schmut","Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen."
352,A cook is posing for a camera while cooking.,"Ein Koch posiert für ein Foto, während er kocht",Ein Koch posiert beim Kochen für die Kamera.
353,Many people in a street protesting the use of coal in power plants.,Viele Menschen auf einer Straße protestieren gegen den Einsatz von Koh,Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.
354,The teen jumps the hill with his bicycle.,Der Teenager springt mit seinem Fahrrad über den Hügel.,Der Teenager springt mit seinem Fahrrad über den Hügel.
355,A little girl running at on the shore of a beach.,Ein kleines Mädchen rennt am Strand an einem Ufer entlang.,Ein kleines Mädchen läuft entlang einer Küste.
356,White duck flapping its wings in the water.,"Eine weiße Ente, die im Wasser fliegt.[",Eine weiße Ente schlägt im Wasser mit den Flügeln.
357,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",Zwei Männer stehen vor einem Lastwagen und hinter einer Metallvor,Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.
358,A woman in a pink skirt is holding a baby.,Eine Frau mit einem rosafarbenen Rock hält ein Baby.,Eine Frau in einem rosa Rock hält ein Baby.
359,A hockey player in a yellow jersey is guarding the goal.,Ein Hockeyspieler mit gelbem Trikot verteidigt,Ein Hockeyspieler in einem gelben Trikot schützt das Tor.
360,A man is walking past a large sign that says E.S.E. Electronics.,"Ein Mann geht an einem großen Schild vorbei, das „E","Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht."
361,Three boys wearing green shirts and tan pants pose at the top of a slide.,Drei Jungen in grünen Oberteilen und brauner Hose posieren,Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.
362,A man is dancing with a dog between his legs.,Ein Mann tanzt mit einem Hund zwischen seinen Beinen.,Ein Mann tanzt mit einem Hund zwischen den Beinen.
363,The white dog is running in the shallow water.,Der weiße Hund rennt im flachen Wasser.�,Der weiße Hund läuft im flachen Wasser.
364,Oregon percussionists are marching with the band.,Oregon-Perkussionisten marschieren mit der Band.,Schlagzeuger aus Oregon marschieren mit der Band.
365,A group of children play together in a fenced yard as an adult watches.,"Eine Gruppe Kinder spielt zusammen auf einem bewachten Hof,",Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.
366,A group of women are playing musical instruments together.,Eine Gruppe von Frauen spielt zusammen auf Musikinstrumenten.,Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.
367,A little girl in a purple plaid dress is lying on the floor crying.,Ein kleines Mädchen in einem lila karierten Kleid liegt auf dem,Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.
368,A man with graying hair shaves his beard.,Ein Mann mit grauem Haar rasiert sein Bart.<unused64>,Ein Mann mit ergrauenden Haaren rasiert seinen Bart.
369,"Two black dogs, a black puppy, and a white dog in the snow.",Zwei schwarze Hunde und ein schwarzer Welpe im Schnee.,"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee."
370,Man in a Miami basketball uniform jumping to make a shot.,"Ein Mann im Basketball-Trikot von Miami springt,",Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.
371,"A woman is sitting outside her house with a blue door, enjoying the air.",Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genie,Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.
372,Kids are sitting on a man in a banana suit.,Kinder sitzen auf einem Mann mit einer Bananendresshose,Kinder sitzen auf einem Mann in einem Bananenkostüm.
373,A gray and white dog jumping over standing water in the sand.,Ein grau-weißer Hund springt über stehende Wasser,Ein grauweißer Hund springt über stehendes Wasser im Sand.
374,A crowd gathered around a park water fountain in the rain.,Eine Menschenmenge um einen Wasserspeier im Park bei Regen,Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.
375,"Several older men, some in traditional headdress convene on a street corner.",Mehrere ältere Männer mit traditionellen Kopfbedeckungen versamme,"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke."
376,A young Lassie looking dog is in the snow.,Ein kleiner Hund mit einer lastigen Schnauze befindet sich,"Ein junger Hund, der aussieht wie Lassie, im Schnee."
377,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,Der Spieler in Gold-Trikot blockt den Ball von,Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.
378,A woman in a black shirt is knitting with purple yarn.,Eine Frau mit einem schwarzen Oberteil knäuelt mit,Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.
379,Four females of Asian descent are wearing golden dresses while performing point ballet.,Vier asiatisch aussehende Frauen in goldenen Kleidern,Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.
380,A person is playing an unique instrument.,"Eine Person spielt ein einzigartiges Instrument.[
+assistant",Eine Person spielt auf einem einzigartigen Instrument.
381,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,Ein Mädchen in schwarzer Sportkleidung mit der Nummer 1,Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.
382,"A kid crosscountry skis wearing the number ""93"".",Ein Kind fährt mit dem Skilanglauf und trägt die Nummer,"Ein Kind mit der Nummer ""93"" fährt Ski."
383,A older gentleman and a young girl begin to work on a puzzle together.,Ein älterer Herr und ein kleines Mädchen beginnen zusammen auf einem,"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen."
384,A film crew films a young African boy in a yellow shirt.,Ein Filmteam filmt ein Junge mit einem gelben Hem,Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.
385,A streetlight lit bridge with a cyclist and some cars.,Eine Straßenbrücke mit einer Fahrradfahrerin und einigen Autos ist,Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.
386,A man rides a kicking bull in a bullpen.,Ein Mann reitet auf einem gehenden Bullen im Stall,Ein Mann reitet auf einem Bullen in einem Gehege.
387,A boy jumping to hit a tennis ball with his racket,"Ein Junge springt, um mit seinem Schläger einen Tennis","Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen"
388,Kids scale a wall as two other people watch.,"Kinder klettern eine Wand hoch, während zwei andere Personen",Kinder klettern auf eine Wand während zwei weitere Personen zusehen.
389,People walking about a university campus with palm trees in the background.,Menschen gehen über ein Universitätsgelände mit Palmen im Hintergrund,Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.
390,Little girl kicks black object at karate class.,Kleines Mädchen kickt ein schwarzes Objekt in Karate-,Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.
391,Two men trying to hoist themselves up from the water on to a walkway made of tires.,Zwei Männer versuchen sich von den Wasser auf ein mit Reifen be,Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.
392,"Two men breakdancing, with a crowd looking on.",Zwei Männer beim Breakdance in der Gegenwart einer Menschenmenge.,Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.
393,A professionally dressed woman standing at a podium debating or discussing something of importance.,Eine gut gekleidete Frau steht auf einem Podium und,Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.
394,A woman is laying down on a sofa laughing.,Eine Frau liegt auf einem Sofa und lacht.�,Eine Frau liegt auf einem Sofa und lacht.
395,A dirt floor gets swept by one white and one black woman.,Eine Boden mit Schutt wird von einer Weißen und einer,Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.
396,A deer jumps a fence.,Ein Elefanten springt über einen Zaun.�,Ein Reh springt über einen Zaun.
397,Three dogs play with each other out in the field.,,Drei Hunde spielen auf einem Feld.
398,Two young children are on sand.,"Zwei kleine Kinder sind im Sand.0
�assistant",Zwei kleine Kinder auf dem Sand.
399,A smiling young boy plays in the leaves among the ducks.,Ein lächelnder kleiner Junge spielt unter den Padder im,Ein lächelnder Junge spielt im Laub mit den Enten.
400,"These four people are standing outdoors, with 3 dogs.",Diese vier Personen stehen im Freien mit drei Hunden.<unused64>,Diese vier Personen stehen mit 3 Hunden im Freien.
401,"While visiting the Mayan ruins, a guide points in the direction of more attractions.","Während man die Maya-Ruinen besichtigt, zeigt",Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.
402,Girl wearing radio t-shirt has open mouth,Mädchen mit Radio T-Shirt hat einen offenen Mund.<unused64>,Ein Mädchen in einem Radio-T-Shirt mit offenem Mund
403,A tribal group filling water jugs in the desert.,Eine Stammesgruppe füllt Eimer mit Wasser auf der,Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.
404,A man standing on a city street.,Ein Mann steht auf einer Straße in der Stadt.[,Ein Mann steht auf einer Straße in der Stadt.
405,A flock of birds fly away with food in their beaks.,Eine Fliehkrieger fliegen mit Nahrung im Schna,Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.
406,Two men ride through farm land as they guide their mule powered trailer.,Zwei Männer fahren über ein Ackerland und führen ihr Zug mit,Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.
407,Two people stand at the peak of a mountain.,"Zwei Personen stehen am Gipfel eines Berges.�
+",Zwei Männer stehen auf einem Berggipfel.
408,Young girl enjoying herself as she makes a snow angel.,"Mädchen genießt sich die Zeit, als sie einen Schneew",Ein junges Mädchen hat Spaß während es einen Schneeengel macht.
409,Three guys smiling for camera and showing off their muscles.,Drei Männer lächeln für die Kamera und zeigen ihre Muskeln,Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.
410,A person is writing on a chalkboard in a empty classroom.,Eine Person schreibt auf einen Tafelschritt im leeren Klassenz,Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.
411,A man in a black shirt sitting at a table with an open Apple laptop in front of him.,Ein Mann mit schwarzem Hemd sitzt am Tisch und hat,Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.
412,Four people relaxing on a grassy hill overlooking a rocky valley.,"Vier Leute entspannen auf einem grasbewachsenen Hügel, der",Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.
413,A boy with a skateboard if jumping in the air along some railway tracks.,Ein Junge mit einem Skateboard springt über Bahngle,Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.
414,There is a man in an orange shirt playing tennis.,Ein Mann mit einem orangen Hemd spielt Tennis.�,Ein Mann in einem orangefarbenen Shirt spielt Tennis.
415,The dog with the red collar is bearing its teeth at the dog with the blue collar.,Der Hund mit dem roten Halsband zeigt die Zähne auf den,Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.
416,The boy is outside enjoying a summer day.,Der Junge ist draußen und genießt den Sommertag.<unused64>,Der Junge ist im Freien und genießt einen Sommertag.
417,A worker in an orange work suit is kneeling down inspecting a piece of machinery.,Ein Arbeiter im orangen Arbeitsanzug kniet und untersucht eine,Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.
418,Men in cowboy hats stand around at a rodeo.,Männer mit Cowboyhüten stehen bei einem Rodeo herum.�,Männer in Cowboyhüten stehen bei einem Rodeo herum.
419,There are two dogs in the snow and one has something in his mouth.,Zwei Hunde im Schnee und einer hat etwas auf dem Maul.,"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul."
420,An employee takes a break from working to have a drink,"Ein Mitarbeiter macht eine Pause von der Arbeit, um ein Get","Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken."
421,A beige dog runs behind a white dog holding a yellow toy.,Ein brauner Hund rennt hinter einem weißen Hund mit einem,Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.
422,Hockey player in white uniform with stick,Hockeyspieler mit weißem Trikot und Schläger.<unused64>,Hockeyspieler in weißem Trikot mit einem Schläger.
423,Man in a white shirt with a gold watch playing with a circuit board.,Ein Mann mit weißem Hemd und Golduhr spielt mit einem,Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.
424,A black horse sticking its head through a fence trying to reach the grass.,"Ein schwarzer Pferd, das seinen Kopf durch ein Zaun","Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen."
425,A crackhead is pretending to keep his hands warm but actually he is smoking crack.,"Ein Crack-Skandal ist es, die Hände zu wär","Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack."
426,Two guys and a girl smiling.,"Zwei Männer und ein Mädchen lächeln.�
�assistant",Zwei Typen und eine Frau lächeln.
427,"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",Ein Kind lehnt sich über eine von blau und gelbem,Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.
