de,en,predicted_de
Ein Junge posiert mit einem großen grünen Insekt auf der Nase.,A boy poses with a large green insect on his nose.,Ein Kind trägt mit einem großen grünen Bienen zum
"Ein glatzköpfiger Mann demonstriert, wie hoch sein braun-schwarzer Hund springen kann.",A bald man demonstarting how high his brown and black dog can jump.,"Ein baldes Mann, um seine braun und schwarzen Hund zu sp"
Eine Menschenmenge auf einer geschäftigen Straße bei Tag.,A crowd on a busy daytime street.,"Der Kranz im Straße befindet eine Krise, um die Stad"
Ein Windhund mit Maulkorb in gelb und schwarz läuft auf der Strecke.,A muzzled greyhound dog wearing yellow and black is running on the track.,"Eine kurzgrünende Malerhund, auf rot-weiß"
Ein Mann in Sandalen sitzt auf dem Gehsteig neben ein paar Taschen.,A man wearing sandals sits on the sidewalk near some bags.,"Ein Mann, mit Sanden auf dem Gras sitzt um den Strand be"
Ein Mann und eine Frau sitzen an einem Zaun und unterhalten sich.,A man and a woman are sitting on the base of fence having a conversation.,Der Mann und der Frau sind am Bahnhofsbrücke eine Ges
Ein Kind sieht sich Kaffeemaschinen in einem Geschäft an.,A kid is looking at coffee machines inside a store.,Ein kiddo arbeitet mit Kaffeemaschinen im Laden des Gesch
"Ein Mann, der aus einer gelben Tasse Trinkt, umgeben von Menschen auf einer geschäftigen Veranstaltung.",A man drinking out of a yellow cup around people at a busy event,"Der Mann befindet seinem Zimmer an, um ein Dampfglas zu ess"
Ein Junge lehnt sich an ein Auto mit Blumen auf der Motorhaube.,A boy is leaning on a car with flowers on the hood.,Ein Kind geht in einem Auto mit Blumen auf dem Hals gekl
Eine Frau in einem Kleid mit Blumenmuster spricht mit Kindern vor einem Kleinbus.,A woman in a floral dress talks to children in front of a van.,"Frauin im Blaues Dress spielt Kinder an den Autos.
"
Ein Mann an seinem Hochzeitstag.,A man on his wedding day.,"Ein Mann im Frühling war.
"
Eine junge Frau in einem schwarzen T-Shirt und Jeans beim Kehren.,A young woman with a black shirt and jeans sweeping.,Eine junges Mädchen mit einem schwarzen T-Shirt und Kle
Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,Woman with a hat on climbing a cliff near a large body of water.,"Frau mit Haut in den Berge um einer großen Seele.
"
Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A big black poodle running on the grass with a toy in its mouth.,Eine große Schwarzgelenkpudel spielt im Gras mit e
Ein Junge in Shorts macht einen Skateboard-Trick.,A boy in shorts doing a skateboard trick.,Ein Junge mit Schuhe führt eine Skate-Truc
Ein kleiner Junge in roten Hosen steht auf der Straße.,A little boy dressed in red pants is standing in the street.,"Ein kleines Knecht, mit roten Tagenkotzen, befind"
"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman texts on her phone while surrounded by umbrellas.,"Eine Frau texte im Fernsehen, um in Umbruch zurück"
"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.","Eight men play instruments on stage, with a guitarist highlighted in lights.","Acht Männer spielen Instrumente am Geburtstag, mit e"
Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,A man in an orange jumpsuit and matching hard hat is helping with a blue hose,Ein Mann in einer goldenen Schuhe und eine grüne Hose mit
Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls show off a fish while holding fishing poles in front of a body of water.,Er und seine zwei Mädchen unterhalten einen Fisch im B
Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,Man in red shirt watches dog on an agility course.,"Der Mann mit der Roten Schuhe schwägt, die Hund auf e"
Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,Ein Kind mit Rot und Weißen Schwimmtrunk durchgeführ
Eine Asiatin steckt ihre Haare zurück.,An Asian woman pinning her hair back.,Der asianische Frau befindet sich um ihre Haut und verl
Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a young child in a pink shirt playing with multicolored blocks.,Er war ein altes Mädchen und eine junge Kind mit einem ro
Ein kleiner schwarzer Hund springt über Gatter,A small black dog jumping over gates,Eine kleine schwarze Hund spielt über Gärtner
Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A brown-haired man in a green shirt plays a trumpet outdoors.,Ein braunes Haarenmann mit einem grünen T-Shirt spi
Ein Mann telefoniert mit hochgelegten Füßen.,A man talks on the phone with his feet up.,"Mann trägt ein Telefon mit seinem Körper auf.
"
Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children sit on a blue mat while they eat out of bowls.,"Eine Gruppe der Kinder sind im blauen Mat zu essen, die i"
Ein schwarzer Junge sitzt im Sand.,A black boy is sitting in the sand.,"Ein schwarzer Kleeblatt sitzt im Sande.
"
Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog watches two big dogs playing rough in a field.,Ein kleines Hund watcht zwei großen Hunde spielende
"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle outside a large building.,"Erstaunlich finden Sie eine Stelle im Garten, um die Bücher"
"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",One dog leaps to catch a softball while another looks on.,"Ein Hund spielt zum Graben, um eine Stelle schöne"
Ein blondes Kind schaukelt auf einer Schaukel.,A blond child swinging on a swing.,"Ein kleiner Blondeschwimmer zur Sonne.
"
Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,One man and two women having a discussion over white wine,Ein Mensch und zwei Frauen gehen in einem Wein mit weiß
Ein Asiate bereitet im Freien Essen zu.,An Asian man is cooking food outdoors.,"Er asiatische Mann spielt Gerichte auf dem Garten.
"
"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog about to catch a green Frisbee.,"Ein süsses Hund, um einen grünen Frischzug"
Fans jubeln während die Band ein Lied spielt.,Fans cheer as the band plays a song.,"Sie sind mit Schöpfungen gehen, als die Bürost"
Ein kleiner Junge steht neben einer Pyramide aus Sand.,A young boy is standing next to a sand sculpture of a pyramid.,"Ein junges Mädchen stand bei einer Sandkulptur, der e"
Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three young children are walking through a grassy yard.,Tre tre junge Kinder stehen durch einem grasländischem Garten
Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man pounds on an artwork perched on a cart.,Ein Mann trägt einen Kunstwerke im Garten zum Fahrrad
Ein Mann fährt auf einem Berg Fahrrad.,A man on a bicycle rides on a mountain.,"Ein Mann mit dem Radfahrrad entsteht im Berge.
"
Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A boy with blue and yellow rain boots runs on dirt.,Ein Kind mit blauen und jäüngere Bauboots fähr
Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman in an orange jacket sits on a bench.,Frauin im Orange-Schützenbaum sitzte um den Baumhof.
Ein Mann macht einen Trick auf dem Skateboard,A man doing a trick on skateboard,Ein Mann spielte eine Strecke mit Schalekraftskateboard.
Ein Mann in einem Karateanzug in der Luft.,A man in a martial arts uniform in midair.,Der Mann im Karateuniform befindet sich unterhalb der Höhe
Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,Woman selling bags of fruit on a sidewalk.,"Frau sellt Bächern, welches Früchte in einem Garten"
Zwei Fußballmannschaften auf dem Feld.,Two soccer teams are on the field.,Zwei Fußball-Schützen sind auf dem Fußballfeld be
Ein Kind in einem blauen Shirt springt von einer Bank.,A child in a blue shirt jumping off a bench.,Ein Kind im blauen T-Shirt spielt über einen St
Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie in a yellow field is protecting the goal.,Ein Fußballer imgelnige Gegend belegt das Ziel
Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people take shots in a Mexican setting.,"Könnten Sie das Thema ""Ein Gang von jungen Leute sehen"
Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man skateboards off a pink railing.,Ein junger Mann lernte einen Schwertskatzen zum roten
Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A young boy jumping from a bunk bed on a smaller bed.,Ein junge Boy mit einem Baumstuhl im kleiner Bäumen
"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.","Zwei Personen mit unterschiedlichen Ärztekörper,"
Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,Man running wearing a blue shirt with a number taped to it.,"Mann spielende mit einem blauen T-Shirt, das einige"
Ein asiatischer Fabrikarbeiter posiert für die Kamera.,An Asian factory worker posing for the camera.,Das Asia-Konzernsarbeitnehmer spielt auf dem Camera z
"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man that appears to be running in a marathon gives us 2 thumbs up.,"Ein Mann, die einem Marathon spielt und gefüllt zwei"
"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players shoot for a goal during a game.,"Baskettler spielen für einen Ziel bei den Spielen.
"
Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player wearing an orange uniform smiling and holding the football.,Der Fußballspieler in der Orange-Trupe blickt und er hat
Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skateboarders round a curve while others watch.,"Zwei Schleierfahrer entferne einen Kurve, um andere z"
Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,A team in white and gold on the sidelines of a football field.,"Der Team, die im Schwarz-Gold bei der Fußballfeld geschrieb"
Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A little girl is pushing her scooter through a grassy tree lined field.,"Eine kleine Mädchen lernt an, ein schöner Sc"
Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,Vier Asienkinder mit weißem T-Shirt und Haut gew
Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Pedestrians walking down the street look at a child in a cardboard box.,"Völker wären an der Straße weitergehen, um einen"
Ein brauner Hund läuft über den Sandstrand.,A brown dog runs down the sandy beach.,"Ein braunes Hund spielt an der schwarzen Strand.
"
Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men in army uniforms stand next to a woman.,"Zwei Soldaten im Feldherrnhalle stehen bei einem Frau.
"
"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.","Das Dämonlama befindet ein Reception, in der participanten haben"
Ein Radfahrer springt über eine Hindernis.,A biker jumps an obstacle.,"Ein Radfahrer spielt einen Obstaktiv.
"
Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple sitting in white lawn chairs are smiling at the camera.,Eine Frau und ein Mädchen sind im weißen Hü
Kleine Kinder fahren in einem Miniaturzug.,Young kids are on a small train ride.,"Kleine Kinder spielen an einer kleinen Zugspitze.
"
Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfer in a blue swimsuit is riding the waves.,Der Surferschwimmer im Blauem Schütze schließet den W
Ein Junge springt auf seinen Fußball spielenden Bruder.,The boy jumps onto his soccer player brother.,"Er kommt auf seiner Fußballspielerin brauchen.
"
Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men on opposing soccer teams are competing to get the ball on a soccer field.,"Zwei jungen Mannes, die im Spiel einzusetzen sind, so"
"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People are walking on a paved slope surrounded by Chinese vendors.,"Personen tragen am Steig ein paar Steg, um die Chinamen in der"
Ein kleiner Junge in weißen Hosen springt von der Couch.,A young boy wearing white pants is jumping off the couch.,"Ein junge Mädchen, die weißen Panteien verlau"
Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy in an orange shirt is pouring Legos from a bag.,Ein Kind im Orange-T-Shirt kostet eine Legoe zu P
"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",Frau mit braunen Sandalen und blauem Schutzvogel beim
Drei Personen lächeln und halten politische Schilder.,Three people smiling and holding political signs.,"Die drei Menschen beide mit politischen Bildern blühten.
"
Ein Polizist steht neben einem Auto auf einer städtischen Straße.,An officer stands next to a car on a city street.,"Un Soldat stand unter einem Auto im Stadtstraße.
"
Zwei Männer mit Mützen.,Two men wearing hats.,"Zwei Mann mit Hauten.
"
Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A boy in midair trying to kick a soccer ball,"Ein Junge im Himmel, um einen Fußball zu spielen"
Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A young boy with a blue beanie has his head down.,Ein junges Mädchen mit einem blauen Beanien habt ihn
Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A red-haired man with dreadlocks is sitting playing and acoustic guitar.,Der rotes Haaremann mit der Dreckkette sitzt über dem Ac
Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eating a sandwich with his baby daughter in his lap.,"Der Mann seines Kindes mit dem Sandwichen im Laufen bringt.
"
"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",An African American child is holding something up that those in the picture are proud of.,"Un kinder amerikanischer Maler liest ein objekt, die von den"
Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman directs a crowd of people with a loudspeaker.,Ein Frau steht einen Krowd mit dem Leitfaden durchs G
Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,"Vollkommener Onkelen warten, bevor ein Polizeiprä"
Eine Gruppe ist in einer Bar.,A crowd is present at a bar.,"Eine Gewaltschaft besteht bei einem Bar.
"
Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A girl in white and a girl in green walk past a blue car wash station.,Eine Tochter weiß und ein Tochter grün wäre
Ein Mann verwendet elektronische Geräte.,A man is using electronic equipment.,"Ein Mann trägt elektronische Apparate.
"
Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person surfing through a crashing wave in the ocean.,Ein Person an der Krähe im Meer schlüft schnell und se
Ein Armeeoffizier inspiziert etwas.,An army officer is inspecting something.,"Un Wehrmachtoffizier lese gerne sagen.
"
Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the bride's veil.,Eine Brideschaft und ein Getreidebruder werden sich in
Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,"Polizei befinden sich im Bekennen, ein junges Mä"
Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumping over a steeple vault at a competition,Ein schwarzer und grüne Hund spielt um einen steigen St
Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman wearing a sweater is reading a book in her home.,Eine Frau mit einem Scharfen schließt sich im Haus um
Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teenagers are looking over a railing in a dark room.,Sie sind sechs Jugendliche und arbeiten im einem dimens
"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white t-shirt is starting to climb a rock.,"Der Mann im alten T-Shirt ist erstes gebrochen, um"
Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,A teenage boy is stretching in the kitchen and you can see part of his stomach.,"Un junge Mann liest sich in der Küche und es beobachtet,"
Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People are holding various types of drumsticks above different kinds of drums.,Menschen hören vier verschiedene Ärger auf zwei k
Drei Farmer ernten Reis auf einem Feld.,Three farmers harvest rice out in a rice field.,Drei Baumwerfer haben um im Rande eines Riesenfeldes ar
Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book.,"Zwei Frauen und ein Mann lieste eine Buch.
"
"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Three children's legs are shown as they stand near a mess of silly string.,"Drei Kinder legen, sich an den einem Mess der Silly String verbran"
Ein Koch posiert beim Kochen für die Kamera.,A cook is posing for a camera while cooking.,Kochener steht für einen Bildschirm um zu kochen.
Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people in a street protesting the use of coal in power plants.,Vielen Menschen im Straße wegen der Ausgabe von Kohle-E
Der Teenager springt mit seinem Fahrrad über den Hügel.,The teen jumps the hill with his bicycle.,"Das Junge spielt den Hügel mit seinem Bicycle.
"
Ein kleines Mädchen läuft entlang einer Küste.,A little girl running at on the shore of a beach.,Eine kleine Tochter spielt an den Strand von einem Baum
Eine weiße Ente schlägt im Wasser mit den Flügeln.,White duck flapping its wings in the water.,"Weiße Mausflügeln im Wasserbogen.
"
Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",Zwei Masculine sehen einen Dialog an der Reiterfronten und vor
Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink skirt is holding a baby.,Ein Frau mit einer roten Skirt geht und befindet sich dem
Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player in a yellow jersey is guarding the goal.,"Ein Hockey-Player im grünen Jerdien hat sich gefangen,"
"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man is walking past a large sign that says E.S.E. Electronics.,"Er lässt ein kleines Bild an, die ""ESEE"" Elekt"
Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys wearing green shirts and tan pants pose at the top of a slide.,Drei Kinder mit grünen T-Shirten und tanzen Pants brauchen
Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man is dancing with a dog between his legs.,Der Mann schließt mit dem Hund beim Lebensraum entzwei
Der weiße Hund läuft im flachen Wasser.,The white dog is running in the shallow water.,"Der weiße Hund spielte an der schönen Wasser.
"
Schlagzeuger aus Oregon marschieren mit der Band.,Oregon percussionists are marching with the band.,"Die Österreichischen Percussionisten tragen mit der Banda.
"
Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of children play together in a fenced yard as an adult watches.,Eine Gruppe von Kinder spielen mit ihm selbst im einzelnen
Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,A group of women are playing musical instruments together.,Ein Gruppe von Frauen spielte musikalische Instrumente zusam
Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl in a purple plaid dress is lying on the floor crying.,Ein kleines Kind im grünen Plaatsenkurt hat sich lie
Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with graying hair shaves his beard.,Ein Mann mit silbernen Haar haben ihren Bier verkauft
"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Two black dogs, a black puppy, and a white dog in the snow.","Zwei schwarze Hunde, eine schwarze Puppy und weiß"
Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,Man in a Miami basketball uniform jumping to make a shot.,Der Mann im Miami-Basketballkörper mit einem Schuß geschri
Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,"A woman is sitting outside her house with a blue door, enjoying the air.",Eine Frau sitzt im Garten von ihrem Haus mit einem bl
Kinder sitzen auf einem Mann in einem Bananenkostüm.,Kids are sitting on a man in a banana suit.,"Kinder sind im Bananekleid genommen.
"
Ein grauweißer Hund springt über stehendes Wasser im Sand.,A gray and white dog jumping over standing water in the sand.,Eine grüne und weisse Hund spielt um geringem See im Sand
Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd gathered around a park water fountain in the rain.,Durch eine Gewaltschaft warum ein Parkwasserfountain im
"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","Several older men, some in traditional headdress convene on a street corner.","Sieben alte Männer, denen an einem traditionellen Hütte"
"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young Lassie looking dog is in the snow.,"Ein junge Lauschhunde, die im Schnee gefällt"
Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,Die Fußballspieler mit dem Goldjerät zumüssen kon
Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman in a black shirt is knitting with purple yarn.,Eine Frau mit einem schwarzen T-Shirt knittet mit purpur
Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four females of Asian descent are wearing golden dresses while performing point ballet.,Vier Frauen von Asienländern tragen eine geschloss
Eine Person spielt auf einem einzigartigen Instrument.,A person is playing an unique instrument.,"Ein Person singt eine erstaunliche Instrumente.
"
Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,"Eine Mädchen in Schwarz aktiv sportlich mit einem Zeichen ""110"
"Ein Kind mit der Nummer ""93"" fährt Ski.","A kid crosscountry skis wearing the number ""93"".",Ein Kinder mit dem Geschlechtnummer 93 schliefen mit den Ski-
"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",A older gentleman and a young girl begin to work on a puzzle together.,Ein älterer Mann und eine junge Mädchen können
Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew films a young African boy in a yellow shirt.,Eine Filme Kameräre Filmprüfung ein jungen Afrik
Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A streetlight lit bridge with a cyclist and some cars.,Ich trinke gerne Kaffee in den Parken und werde eine Sch
Ein Mann reitet auf einem Bullen in einem Gehege.,A man rides a kicking bull in a bullpen.,"Ein Mann räumen einen Köckenbullen.
"
"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A boy jumping to hit a tennis ball with his racket,"Ein Junge leuchtet, um einen Tennisball zu spielen mit"
Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Kids scale a wall as two other people watch.,"Kinder schlagen einen Wäldchen, wenn zwei andere Menschen we"
Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People walking about a university campus with palm trees in the background.,In den Universitäten mit Palm-Trees befinden sie das Personen
Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,Little girl kicks black object at karate class.,"Kleine Tochter kickt Schwarzes Object an Karateklassen.
"
Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men trying to hoist themselves up from the water on to a walkway made of tires.,"Zwei Mann, um sich in der Wasser zu hören, bei dem"
Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"Two men breakdancing, with a crowd looking on.",Zwei Mann mit Brechenstücken und eine Geweihsaugen
Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A professionally dressed woman standing at a podium debating or discussing something of importance.,"Der kurzviehige Frau stand bei einem Podium, um z"
Eine Frau liegt auf einem Sofa und lacht.,A woman is laying down on a sofa laughing.,Eine Frau läßt sich mit einem Sofa lieben und schl
Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A dirt floor gets swept by one white and one black woman.,Ein Fluss mit einem blauen und einer schwarzen Mutter kl
Ein Reh springt über einen Zaun.,A deer jumps a fence.,"Eine Weisse reitet ein Fechtbau.
"
Drei Hunde spielen auf einem Feld.,Three dogs play with each other out in the field.,Drei Hunde spielen mit einem anderen im Park gefahren.
Zwei kleine Kinder auf dem Sand.,Two young children are on sand.,"Zwei Kinder spielen im Sande.
"
Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling young boy plays in the leaves among the ducks.,Er sieht ein smilierte junge Boy spielt im Grünen
Diese vier Personen stehen mit 3 Hunden im Freien.,"These four people are standing outdoors, with 3 dogs.","Sie sind vier Menschen im Garten, mit drei Hunde.
"
Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"While visiting the Mayan ruins, a guide points in the direction of more attractions.","Unbeknownst to them, their journey had only just begun as they were guided towards even more"
Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,Girl wearing radio t-shirt has open mouth,Ein Mädchen hat eine Radiotopf mit ungelöstem H
Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A tribal group filling water jugs in the desert.,Ein Tribünereich mit Flussejagden im Dämern
Ein Mann steht auf einer Straße in der Stadt.,A man standing on a city street.,Ein Mann stellt im Stadtmengal zu seinen Gebäudes
Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A flock of birds fly away with food in their beaks.,"Vieler Vogelen fliegen, um Lebensmitteln aus ih"
Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men ride through farm land as they guide their mule powered trailer.,"Zwei Mann lernt an der Landschaft, um ihre Müller-"
Zwei Männer stehen auf einem Berggipfel.,Two people stand at the peak of a mountain.,"Zwei Personen schließen an den Schritt der Berg.
"
Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,Young girl enjoying herself as she makes a snow angel.,"Ein kleines Mädchen, der sich immer mit freundlichem"
Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Three guys smiling for camera and showing off their muscles.,Drei Hunde scheint für die Bilder und um sich selbst a
Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a chalkboard in a empty classroom.,Ein Person enthält sich mit einem Chalkbrief bei einer
Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man in a black shirt sitting at a table with an open Apple laptop in front of him.,"Der Mann im schwarzen T-Shirt sitzt am Table, mit einem �"
Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people relaxing on a grassy hill overlooking a rocky valley.,Vier Menschen relaxiert am Grasgrat und umgekehrt einen
Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A boy with a skateboard if jumping in the air along some railway tracks.,"Ein Kind mit einem Schraketeisen, um im Himmel zu sch"
Ein Mann in einem orangefarbenen Shirt spielt Tennis.,There is a man in an orange shirt playing tennis.,"Der Mann befindet sich im Orange-Tierenspiel.
"
Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The dog with the red collar is bearing its teeth at the dog with the blue collar.,Der Hund mit der roten Collar ist das Hund mit dem blauen
Der Junge ist im Freien und genießt einen Sommertag.,The boy is outside enjoying a summer day.,"Der Junge liegt im Garten und erzieht einen Sommertage.
"
Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,A worker in an orange work suit is kneeling down inspecting a piece of machinery.,Der Arbeitsanwärter in der angrenzenden Farbenfarbe
Männer in Cowboyhüten stehen bei einem Rodeo herum.,Men in cowboy hats stand around at a rodeo.,Die Männer mit Kavalierskopfen stehen um ein Rode
"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",There are two dogs in the snow and one has something in his mouth.,Es werden zwei Hunde im Schnee und ein hat es in seinem
"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",An employee takes a break from working to have a drink,"Der Arbeitgeber lernte eine Breche, um zu essen,"
