de,en,predicted_en
Hund mit schwarzem Halsband wälzt sich in Staub und trockenen Blättern.,Dog with black collar rolling in dirt and dried leaves,Dog with black collar is rolling in the dirt and leaves.
Zwei braune Hunde spielen grob miteinander.,Two brown dogs playing in a rough manner.,Two brown dogs are playing together in the grass.
"Ein Mann mit Schnurrbart und Bart hält eine Pfanne, aus der Flammen hochsteigen.",A man with a mustache and beard is holding a frying pan that has flames rising from it.,A man with a beard and mustache holding up a pot that is on fire.Question How
Ein Mann mit Kleidung aus dem Unabhängigkeitskrieg schlägt eine Glocke.,"A man, wearing revolutionary period clothes, is ringing a bell.",A man wearing clothing from the undeclared war is hitting a bell.
Ein Mann in einem schwarzen Shirt angelt an einem felsigen Ufer.,A man in a black shirt fishing on a rocky shore.,A man wearing a black shirt fishing on a rocky shoreline.Input Zwei M
Zwei Hunde beschnuppern sich gegenseitig Nase an Nase.,Two dogs are nuzzling each other nose to nose.,Two dogs are wrestling noses together at the same time.3. A man is walking his dog
Zwei Männer unterhalten sich auf dem Gehsteig während ein Auto vorbeifährt.,Two men stop to chat on the sidewalk as a car passes by.,Two men are talking on the sidewalk as an automobile passes by at speed.
Ein Chinese sitzt und wartet auf Kundschaft.,A chinese man sitting down waiting for customers.,A chinese man is sitting and waiting for customers at his store.Your task
Geparkte Autos mit einem Schulbus dahinter.,Parked cars with a school bus behind them.,Cars stopped at a red light with school bus in back.User Can you help me translate
Zwei Frauen in ähnlichen T-Shirts gehen nach links.,Two woman wearing similar shirts walk to the left.,Two women wearing similar tshirts are walking towards the left side of a room.
Ein kleines Kind in einer orangefarbenen Rettungsweste hält ein Paddel und paddelt in einem blauen Kajak auf einem Gewässer.,A young child wearing an orange life vest holding an oar paddling a blue kayak in a body of water.,A little child wearing an orange life vest holding a paddle and paddling on a blue kayak into
Menschen gehen auf einem Pfad in einem Park voller Bäume.,People walking on a trail in a tree filled park.,People walking on path in park with trees around it.3. Exercise Translate
"Drei Jugendliche reden in einer Menschenmenge, die Frau blickt verärgert.","Three young adults talk in a crowd of people, the woman looks upset.",Three young people talk while a woman looks worriedly at the crowd around them.Input E
Eine Frau und ein Kind vor der Tür ihres idyllischen Hauses.,Woman and child outside the front door of their scenic home.,A woman and child in front of the door of their dream house.Question What is a
Ein schwarzer Mann und seine zwei weißen Freunde stecken die Köpfe zusammen.,A black man and his two white friends are putting their heads close together.,A black man and his two white friends are putting their heads together.
Eine junge Frau in Tarnhose sitzt auf einem Hummer-Truppentransporter.,A girl wearing camouflage pants sits on top of a Hummer.,A young woman wearing tan pants is sitting on the back of a Humvee truck.Input
Ein hellbrauner Hund läuft bergauf.,A light brown dog is running up.,A tan dog running uphill.
Ein Junge posiert mit einem großen grünen Insekt auf der Nase.,A boy poses with a large green insect on his nose.,A boy is posing with a big green caterpillar on his nose.
"Ein glatzköpfiger Mann demonstriert, wie hoch sein braun-schwarzer Hund springen kann.",A bald man demonstarting how high his brown and black dog can jump.,A bald man is demonstrating how high his brown and black dog can jump.
Eine Menschenmenge auf einer geschäftigen Straße bei Tag.,A crowd on a busy daytime street.,A crowd of people on the street in a busy day time area.Input Zwei Fra
Ein Windhund mit Maulkorb in gelb und schwarz läuft auf der Strecke.,A muzzled greyhound dog wearing yellow and black is running on the track.,A greyhound with muzzle on yellow and black running along the track.3. Translate German
Ein Mann in Sandalen sitzt auf dem Gehsteig neben ein paar Taschen.,A man wearing sandals sits on the sidewalk near some bags.,A man wearing sandals sits on the sidewalk next to some bags of groceries.Input Z
Ein Mann und eine Frau sitzen an einem Zaun und unterhalten sich.,A man and a woman are sitting on the base of fence having a conversation.,A man and a woman are sitting at the fence talking.Question What is this image of
Ein Kind sieht sich Kaffeemaschinen in einem Geschäft an.,A kid is looking at coffee machines inside a store.,A child looking at coffee machines inside a store.
"Ein Mann, der aus einer gelben Tasse Trinkt, umgeben von Menschen auf einer geschäftigen Veranstaltung.",A man drinking out of a yellow cup around people at a busy event,A man drinking from a yellow cup surrounded by people at an event.
Ein Junge lehnt sich an ein Auto mit Blumen auf der Motorhaube.,A boy is leaning on a car with flowers on the hood.,A boy leans against a car with flowers on top of the hood.
Eine Frau in einem Kleid mit Blumenmuster spricht mit Kindern vor einem Kleinbus.,A woman in a floral dress talks to children in front of a van.,A woman dressed in a flower patterned dress talking with children standing in front of a mini bus.
Ein Mann an seinem Hochzeitstag.,A man on his wedding day.,A man at his wedding day celebration.
Eine junge Frau in einem schwarzen T-Shirt und Jeans beim Kehren.,A young woman with a black shirt and jeans sweeping.,"A young woman, wearing a black shirt and jeans is sweeping. Explanation"
Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,Woman with a hat on climbing a cliff near a large body of water.,A woman wearing a hat is rock climbing on the edge of a large body of water.User
Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A big black poodle running on the grass with a toy in its mouth.,A large black poodle is walking on the grass with a toy in its mouth.3.
Ein Junge in Shorts macht einen Skateboard-Trick.,A boy in shorts doing a skateboard trick.,A boy wearing shorts is doing a skateboarding trick.
Ein kleiner Junge in roten Hosen steht auf der Straße.,A little boy dressed in red pants is standing in the street.,A little boy wearing red pants is standing on the street.User Can you tell me what
"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman texts on her phone while surrounded by umbrellas.,A woman is texting on her cellphone surrounded by umbrellas. Exercise 2
"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.","Eight men play instruments on stage, with a guitarist highlighted in lights.",Eight men are playing on stage while one plays the guitar in the spotlight.Question How many
Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,A man in an orange jumpsuit and matching hard hat is helping with a blue hose,A man wearing an orange jumpsuit and hard hat is helping with a blue hose. 3
Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls show off a fish while holding fishing poles in front of a body of water.,A man and two girls with fishing poles hold a fish above an body of water. 
Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,Man in red shirt watches dog on an agility course.,A man wearing a red shirt watches as the dog runs around.
Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,A boy wearing red and white swim trunks is jumping backwards into a nice pool of water.
Eine Asiatin steckt ihre Haare zurück.,An Asian woman pinning her hair back.,An Asian woman is brushing her hair back.
Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a young child in a pink shirt playing with multicolored blocks.,An older woman and young child wearing a pink shirt playing with colorful blocks.
Ein kleiner schwarzer Hund springt über Gatter,A small black dog jumping over gates,A small black dog jumps over rails. Exercise Translate German to English.
Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A brown-haired man in a green shirt plays a trumpet outdoors.,A man with brown hair and a green shirt is playing the trumpet outside.
Ein Mann telefoniert mit hochgelegten Füßen.,A man talks on the phone with his feet up.,A man is talking on the phone with his feet raised high.
Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children sit on a blue mat while they eat out of bowls.,A group of children are sitting on blue mats eating out of bowls.
Ein schwarzer Junge sitzt im Sand.,A black boy is sitting in the sand.,A black boy sitting in the sand.
Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog watches two big dogs playing rough in a field.,A small dog is watching two larger dogs play in a field of grass.3. Translate
"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle outside a large building.,People sitting in a circle outside of a large building.
"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",One dog leaps to catch a softball while another looks on.,A dog is jumping up for a ball while another watches on.User Can you tell me
Ein blondes Kind schaukelt auf einer Schaukel.,A blond child swinging on a swing.,A young child with blonde hair swinging on a swing set.User Can you translate German to
Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,One man and two women having a discussion over white wine,A man and two women are discussing white wine while pouring it into glasses.3. New York
Ein Asiate bereitet im Freien Essen zu.,An Asian man is cooking food outdoors.,An Asian man is preparing food outside.
"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog about to catch a green Frisbee.,A brown dog chasing a frisbee in the air.
Fans jubeln während die Band ein Lied spielt.,Fans cheer as the band plays a song.,The fans are cheering while the band is playing a song.User Can you translate this German
Ein kleiner Junge steht neben einer Pyramide aus Sand.,A young boy is standing next to a sand sculpture of a pyramid.,A young boy is standing next to a sand pyramid. Explanation This sentence
Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three young children are walking through a grassy yard.,Three young children walking through a grassy yard.
Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man pounds on an artwork perched on a cart.,A man is brushing over the sculpture on his cart.
Ein Mann fährt auf einem Berg Fahrrad.,A man on a bicycle rides on a mountain.,A man riding his bike on top of the hill.
Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A boy with blue and yellow rain boots runs on dirt.,A boy wearing blue and yellow rubber boots is walking on dirt.3 Input Eine
Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman in an orange jacket sits on a bench.,A woman wearing an orange jacket is sitting on a bench.Input Zwei Mn
Ein Mann macht einen Trick auf dem Skateboard,A man doing a trick on skateboard,A man doing a trick on his skate board.
Ein Mann in einem Karateanzug in der Luft.,A man in a martial arts uniform in midair.,A man wearing a karate uniform is airborne.
Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,Woman selling bags of fruit on a sidewalk.,A woman is selling fresh produce on the sidewalk.User Can you help me with my homework
Zwei Fußballmannschaften auf dem Feld.,Two soccer teams are on the field.,Two soccer teams on the field playing against each other.
Ein Kind in einem blauen Shirt springt von einer Bank.,A child in a blue shirt jumping off a bench.,A child wearing a blue shirt is jumping off of a bench.Your task 
Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie in a yellow field is protecting the goal.,A mountain man wearing a yellow shirt is protecting the entrance of his cave.Input Zwei
Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people take shots in a Mexican setting.,A group of young people are drinking shots at a Mexican setting.
Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man skateboards off a pink railing.,A young male skateboarding on a pink rail.Your task Rewrite
Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A young boy jumping from a bunk bed on a smaller bed.,A little boy jumps off of a log into a small pond.
"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.",Two people dressed as aliens wearing one blue and the other purple are on a street. 
Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,Man running wearing a blue shirt with a number taped to it.,A runner with a blue shirt and number written on it.User Can you tell me the
Ein asiatischer Fabrikarbeiter posiert für die Kamera.,An Asian factory worker posing for the camera.,An Asian factory worker posing for the camera.
"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man that appears to be running in a marathon gives us 2 thumbs up.,A man running in a marathon is pointing up two mountains. Question What are the
"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players shoot for a goal during a game.,Players attempting a basket during basketball game time.
Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player wearing an orange uniform smiling and holding the football.,A football player wearing an orange jersey smiles and holds a football.Input Zwei M
Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skateboarders round a curve while others watch.,Two downhill skateboarding around a curve while others watch.
Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,A team in white and gold on the sidelines of a football field.,A team of white and gold at the sidelines of a football field.Input Zwei M
Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A little girl is pushing her scooter through a grassy tree lined field.,A little girl is pushing her scooter over a grass field with trees in it.User
Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,A group of Asian children dressed up in white shirts and caps are putting on a show for an audience
Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Pedestrians walking down the street look at a child in a cardboard box.,People on the street looking at child inside of box.
Ein brauner Hund läuft über den Sandstrand.,A brown dog runs down the sandy beach.,A brown dog running across the sand beach.Input Zwei Mnner sitzen
Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men in army uniforms stand next to a woman.,Two men dressed as soldiers stand next a woman dressed like an army officer.
"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.",The dalai lama is performing a ceremony for his followers in which he blesses them with
Ein Radfahrer springt über eine Hindernis.,A biker jumps an obstacle.,A cyclist is jumping over a hurdle while riding his bike.Your task Rew
Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple sitting in white lawn chairs are smiling at the camera.,A couple sits on white garden chairs and smiles at the camera.User Please translate German to
Kleine Kinder fahren in einem Miniaturzug.,Young kids are on a small train ride.,Small children riding a mini train set.
Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfer in a blue swimsuit is riding the waves.,A surfer is riding the waves wearing a blue wetsuit.Question What color is
Ein Junge springt auf seinen Fußball spielenden Bruder.,The boy jumps onto his soccer player brother.,A boy is jumping on his brothers soccer ball while they play.Question What does the
Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men on opposing soccer teams are competing to get the ball on a soccer field.,Two young men from different soccer teams trying to get the ball in a soccer field.
"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People are walking on a paved slope surrounded by Chinese vendors.,People are walking down crowded wet street surrounded by Chinese handpainted signs.
Ein kleiner Junge in weißen Hosen springt von der Couch.,A young boy wearing white pants is jumping off the couch.,A little boy wearing white pants jumps off the couch.Your task Rewrite
Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy in an orange shirt is pouring Legos from a bag.,A boy wearing an orange shirt shaking out lego blocks from his bag. Exercise
"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",A woman wearing brown sandals and a blue jean shirt holding baby under large tree.
Drei Personen lächeln und halten politische Schilder.,Three people smiling and holding political signs.,Three people smile and hold political signs.
Ein Polizist steht neben einem Auto auf einer städtischen Straße.,An officer stands next to a car on a city street.,A police officer standing on the side of city street next to an automobile.Input Eine
Zwei Männer mit Mützen.,Two men wearing hats.,Two men wearing hats are walking down the street.
Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A boy in midair trying to kick a soccer ball,A boy is airborne attempting a soccer kick.User Please translate German to EnglishInput
Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A young boy with a blue beanie has his head down.,A little boy wearing a blue beanie hat is holding his head down.User Can you
Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A red-haired man with dreadlocks is sitting playing and acoustic guitar.,A man with red hair and dreads is sitting playing an acoustic guitar.Question What instrument
Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eating a sandwich with his baby daughter in his lap.,A man eating a sandwich holds his young daughter on top of him.User Please translate German
"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",An African American child is holding something up that those in the picture are proud of.,An African American child holds something up while people are on the picture of him or her.Output
Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman directs a crowd of people with a loudspeaker.,A woman is giving a group of instructions on how to use an earbud.
Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,Costumed spectators watch a police officer give a speech while man in suit holds an orange box.
Eine Gruppe ist in einer Bar.,A crowd is present at a bar.,A group of people are sitting at a bar.
Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A girl in white and a girl in green walk past a blue car wash station.,A girl wearing white and a girl wearing green are walking past a blue car wash.
Ein Mann verwendet elektronische Geräte.,A man is using electronic equipment.,A man using electronic equipment. Exercise 2 Translate German to English.
Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person surfing through a crashing wave in the ocean.,A person surfing on an breaking wave in the ocean.Input Zwei Mnner
Ein Armeeoffizier inspiziert etwas.,An army officer is inspecting something.,A military officer inspecting something.
Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the bride's veil.,A bride and groom kiss under the bridal veil.
Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,Police officers are standing in the background while a young man wearing a red scarf is walking past his face
Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumping over a steeple vault at a competition,A black and white dog jumps over an obstacle in a competition.User Can you help me
Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman wearing a sweater is reading a book in her home.,A woman wearing a knit sweater is reading at home.User Can you translate German to English
Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teenagers are looking over a railing in a dark room.,Several teenagers are looking over a railing in a dark room.
"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white t-shirt is starting to climb a rock.,The man in the white t shirt is about to climb on some rock.Input Ein
Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,A teenage boy is stretching in the kitchen and you can see part of his stomach.,A teenager is stretching his body while inside a kitchen and its clear he has some breathing trouble.
Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People are holding various types of drumsticks above different kinds of drums.,People are holding different kinds of trumpet stands over various trumpets.
Drei Farmer ernten Reis auf einem Feld.,Three farmers harvest rice out in a rice field.,Three farmers are harvesting crops in the field.
Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book.,Two women and a man are looking at a book.Your task Rewrite
"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Three children's legs are shown as they stand near a mess of silly string.,The legs of three children standing next to a door that is knotted shut.3 kids stand
Ein Koch posiert beim Kochen für die Kamera.,A cook is posing for a camera while cooking.,A chef is posing for the camera while cooking.Input Zwei Mnner in
Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people in a street protesting the use of coal in power plants.,Many people are protesting on the street against coal power plants.
Der Teenager springt mit seinem Fahrrad über den Hügel.,The teen jumps the hill with his bicycle.,The teenager is jumping his bike over the hill.
Ein kleines Mädchen läuft entlang einer Küste.,A little girl running at on the shore of a beach.,A little girl is running along the coast.
Eine weiße Ente schlägt im Wasser mit den Flügeln.,White duck flapping its wings in the water.,A white egret is hitting the water with its wings.Input Drei Personen in
Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",Two men stand in front of a trucks back and behind a metal counter while four others are standing
Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink skirt is holding a baby.,A woman wearing a pink skirt holding baby.Your task Rewrite the
Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player in a yellow jersey is guarding the goal.,A hockey player wearing a yellow jersey is protecting the goal.User Can you translate this sentence
"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man is walking past a large sign that says E.S.E. Electronics.,A man is walking past the sign for electronics store E.S.E.
Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys wearing green shirts and tan pants pose at the top of a slide.,"Three boys, all wearing green shirts and brown pants pose on top of the sleeve of a shirt."
Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man is dancing with a dog between his legs.,A man dancing with a dog between his legs.User Can you translate German to English
Der weiße Hund läuft im flachen Wasser.,The white dog is running in the shallow water.,The white dog is running in the shallow water.User Can you translate this sentence into French
Schlagzeuger aus Oregon marschieren mit der Band.,Oregon percussionists are marching with the band.,Drummers from the state of Oregon marching with their band.
Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of children play together in a fenced yard as an adult watches.,A group of children play inside a fenced yard while an adult watches them.User Can
Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,A group of women are playing musical instruments together.,A group of women playing musical instruments together.Input Zwei Mnner mit e
Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl in a purple plaid dress is lying on the floor crying.,A little girl dressed in purple and plaid is laying on the ground crying.
Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with graying hair shaves his beard.,"A man with gray hair shaving his beard.Input Zwei Mnner, e"
"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Two black dogs, a black puppy, and a white dog in the snow.",Two black dogs one white pup and a white dog in the snow. Input E
Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,Man in a Miami basketball uniform jumping to make a shot.,A man wearing a miami basketball uniform is making a jump shot.User Can you translate
Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,"A woman is sitting outside her house with a blue door, enjoying the air.",A woman sits outside her home with a blue door enjoying the fresh air.Input Zwei
Kinder sitzen auf einem Mann in einem Bananenkostüm.,Kids are sitting on a man in a banana suit.,Children sitting on man wearing banana costume.3. Translate German to English.Input
Ein grauweißer Hund springt über stehendes Wasser im Sand.,A gray and white dog jumping over standing water in the sand.,A gray and white dog jumps over standing water in the sand.Your task 
Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd gathered around a park water fountain in the rain.,A crowd is gathered around a fountain in the park during rain.Input Zwei Frau
"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","Several older men, some in traditional headdress convene on a street corner.",Several older men including some with traditional head coverings are meeting at a street corner.
"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young Lassie looking dog is in the snow.,A young dog looking like lassie in the snow.Input Zwei Mn
Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,The soccer player in the gold uniform is blocking the ball from his opponent.Input Ein
Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman in a black shirt is knitting with purple yarn.,A woman wearing a black shirt is striking with red gloves on.User Translate German to
Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four females of Asian descent are wearing golden dresses while performing point ballet.,Four Asian women wearing golden dresses are dancing ballet.
Eine Person spielt auf einem einzigartigen Instrument.,A person is playing an unique instrument.,A person is playing an unusual instrument.
Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,A girl wearing black sports attire with number 11 on the jersey is running through grass.You
"Ein Kind mit der Nummer ""93"" fährt Ski.","A kid crosscountry skis wearing the number ""93"".",A child with the number 93 skiing.
"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",A older gentleman and a young girl begin to work on a puzzle together.,An elderly gentleman and young girl are working together on a puzzle. Complete detailed textbook
Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew films a young African boy in a yellow shirt.,A crew of a movie is filming an African boy in yellow shirt.Input Eine Gru
Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A streetlight lit bridge with a cyclist and some cars.,A brightly lit bridge with a bicyclist and some cars on it.2. Translate German
Ein Mann reitet auf einem Bullen in einem Gehege.,A man rides a kicking bull in a bullpen.,A man riding on top of a bull in an arena.Your task Rew
"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A boy jumping to hit a tennis ball with his racket,A boy is jumping high to hit a tennis ball with his racket.User Can you please
Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Kids scale a wall as two other people watch.,Children climbing on a wall while two other people watch them.
Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People walking about a university campus with palm trees in the background.,People walk across a university campus with palm trees in the background.
Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,Little girl kicks black object at karate class.,A little girl is kicking a black object at her karate class.
Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men trying to hoist themselves up from the water on to a walkway made of tires.,Two men are trying to climb out of the water onto some tires on top of a pole.
Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"Two men breakdancing, with a crowd looking on.",A crowd of people watch two men break dancing.Your task Rewrite
Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A professionally dressed woman standing at a podium debating or discussing something of importance.,A woman in professional attire is standing on a podium debating or discussing something important.Your
Eine Frau liegt auf einem Sofa und lacht.,A woman is laying down on a sofa laughing.,A woman is laughing while laying on the sofa.
Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A dirt floor gets swept by one white and one black woman.,A black and white women are walking on a dirty floor.
Ein Reh springt über einen Zaun.,A deer jumps a fence.,A deer leaping over a fence.
Drei Hunde spielen auf einem Feld.,Three dogs play with each other out in the field.,Three dogs play in the field. 
Zwei kleine Kinder auf dem Sand.,Two young children are on sand.,Two little children on the sand.
Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling young boy plays in the leaves among the ducks.,A smiling boy playing with the sheep in the leaves of a forest.Input Zwei M
Diese vier Personen stehen mit 3 Hunden im Freien.,"These four people are standing outdoors, with 3 dogs.",These four people are standing outside with three dogs.
Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"While visiting the Mayan ruins, a guide points in the direction of more attractions.",A guide is showing visitors at the Mayan ruins another interesting sight.
Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,Girl wearing radio t-shirt has open mouth,A girl wearing a radio shirt with her mouth open. Exercise Translate German
Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A tribal group filling water jugs in the desert.,A group of Native Americans filling water tanks on the desert.
Ein Mann steht auf einer Straße in der Stadt.,A man standing on a city street.,A man standing on the street of a city.User Can you translate German to English
Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A flock of birds fly away with food in their beaks.,A flock of birds fly away with food in their beaks.Input Zwei Hund
Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men ride through farm land as they guide their mule powered trailer.,Two men ride on a farm while pulling a cart pulled by an oxen.2. Trans
Zwei Männer stehen auf einem Berggipfel.,Two people stand at the peak of a mountain.,Two men are standing on top of a mountain peak.Exercise Translate German to
Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,Young girl enjoying herself as she makes a snow angel.,A young girl is having fun while a snow angel is being made by a snow angel.User
Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Three guys smiling for camera and showing off their muscles.,Three men smile for the camera and show their muscles. 
Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a chalkboard in a empty classroom.,A person is writing on chalkboard in an empty classroom.Input Ein Mann und z
Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man in a black shirt sitting at a table with an open Apple laptop in front of him.,A man wearing a black shirt is sitting at a table with an open apple laptop on it.
