de,en,predicted_en
Ein Mann an seinem Hochzeitstag.,A man on his wedding day.,A man at his wedding day.
Eine junge Frau in einem schwarzen T-Shirt und Jeans beim Kehren.,A young woman with a black shirt and jeans sweeping.,A young woman wearing a black tshirt and jeans is sweeping.
Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,Woman with a hat on climbing a cliff near a large body of water.,A woman wearing an apron climbs on a cliff near large body of water.
Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A big black poodle running on the grass with a toy in its mouth.,A large black poodle walks on grass with a toy in its mouth.Your task
Ein Junge in Shorts macht einen Skateboard-Trick.,A boy in shorts doing a skateboard trick.,A boy wearing shorts is doing a skateboarding trick.endoftext
Ein kleiner Junge in roten Hosen steht auf der Straße.,A little boy dressed in red pants is standing in the street.,A little boy wearing red pants is standing on the street.
"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman texts on her phone while surrounded by umbrellas.,A woman is using her cellphone with raindrops on it.
"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.","Eight men play instruments on stage, with a guitarist highlighted in lights.",Eight men are playing on stage while one is in spotlight as a guitarist plays his guitar.Output
Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,A man in an orange jumpsuit and matching hard hat is helping with a blue hose,A man dressed in an orange overall and a hard hat is using a blue hose for work.
Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls show off a fish while holding fishing poles in front of a body of water.,A man and two girls with fishing rods holding a fish in front of a body of water. 
Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,Man in red shirt watches dog on an agility course.,A man wearing a red shirt watches his dog run around.
Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,A boy wearing red and white swimming trunks is jumping backwards into a beautiful pool. 
Eine Asiatin steckt ihre Haare zurück.,An Asian woman pinning her hair back.,An Asian woman is putting her hair back up.Input Ein Mann in einem
Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a young child in a pink shirt playing with multicolored blocks.,"An older woman and a young child, wearing a pink shirt are playing with colorful buckets. "
Ein kleiner schwarzer Hund springt über Gatter,A small black dog jumping over gates,A small black dog jumping over rails.
Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A brown-haired man in a green shirt plays a trumpet outdoors.,A man with brown hair is playing the trumpet outside wearing a green shirt and brown cap.Output
Ein Mann telefoniert mit hochgelegten Füßen.,A man talks on the phone with his feet up.,A man is talking on the phone with his feet up high.
Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children sit on a blue mat while they eat out of bowls.,A group of children are sitting on blue mats while eating from bowls.
Ein schwarzer Junge sitzt im Sand.,A black boy is sitting in the sand.,A black boy is sitting in the sand.
Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog watches two big dogs playing rough in a field.,A small dog is watching two larger dogs play in the field.
"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle outside a large building.,People sitting around a large building in the center of town.
"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",One dog leaps to catch a softball while another looks on.,A dog jumps around for a ball while another watches on.
Ein blondes Kind schaukelt auf einer Schaukel.,A blond child swinging on a swing.,A young child with blond hair is swinging on a swing set. Your task
Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,One man and two women having a discussion over white wine,A man and two women are talking while drinking white wine.Your task Rew
Ein Asiate bereitet im Freien Essen zu.,An Asian man is cooking food outdoors.,An Asian man preparing food outside.
"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog about to catch a green Frisbee.,A brown dog has just caught a frisbee in midair.
Fans jubeln während die Band ein Lied spielt.,Fans cheer as the band plays a song.,Fans cheer while the band plays a song.Rewrite of Paragraph
Ein kleiner Junge steht neben einer Pyramide aus Sand.,A young boy is standing next to a sand sculpture of a pyramid.,A young boy stands next to a sand pyramid.User Can you translate this into Spanish
Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three young children are walking through a grassy yard.,Three young children are walking through a grassy yard.
Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man pounds on an artwork perched on a cart.,A man is sweeping above a sculpture on a cart.
Ein Mann fährt auf einem Berg Fahrrad.,A man on a bicycle rides on a mountain.,A man riding a bicycle on top of the mountain.
Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A boy with blue and yellow rain boots runs on dirt.,A boy wearing blue and yellow gummy bear shoes is running on dirt.
Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman in an orange jacket sits on a bench.,A woman wearing an orange jacket is sitting on a bench.
Ein Mann macht einen Trick auf dem Skateboard,A man doing a trick on skateboard,A man doing a trick on his skateboard.
Ein Mann in einem Karateanzug in der Luft.,A man in a martial arts uniform in midair.,A man in a karate uniform is flying through the air.Exercise Translate
Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,Woman selling bags of fruit on a sidewalk.,A woman is selling fruit on the street with baskets of produce.Exercise 2 Trans
Zwei Fußballmannschaften auf dem Feld.,Two soccer teams are on the field.,Two soccer teams on the field.
Ein Kind in einem blauen Shirt springt von einer Bank.,A child in a blue shirt jumping off a bench.,A child wearing a blue shirt is jumping off the bench. Explanation The
Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie in a yellow field is protecting the goal.,A wrestler wearing a yellow uniform is guarding the ring. The given text explains how wrestlers
Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people take shots in a Mexican setting.,A group of young people are drinking shots at a Mexican restaurant setting up. Your
Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man skateboards off a pink railing.,A young man skateboarding over a pink railing with his board. Your task
Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A young boy jumping from a bunk bed on a smaller bed.,A small boy jumps from a log onto a smaller bed.Complete detailed textbooklevel solutions
"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.",Two people dressed up as aliens with one wearing blue and the other purple are standing on the street.
Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,Man running wearing a blue shirt with a number taped to it.,A runner wearing a blue shirt with numbers on it.
Ein asiatischer Fabrikarbeiter posiert für die Kamera.,An Asian factory worker posing for the camera.,An Asian factory worker poses for the camera. Your task Rewrite
"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man that appears to be running in a marathon gives us 2 thumbs up.,A man who is about to run a marathon with two trees above him.
"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players shoot for a goal during a game.,Basketball players trying to make a basket during the game.Exercise Translate German to
Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player wearing an orange uniform smiling and holding the football.,A football player dressed as an orange tiger is smiling and holding a football. football 
Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skateboarders round a curve while others watch.,Two downhill skaters race around a curve while others watch on the sidelines.Your task
Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,A team in white and gold on the sidelines of a football field.,A team of white and gold on the sidelines of a football field.Exercise 2
Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A little girl is pushing her scooter through a grassy tree lined field.,A little girl is pushing her roller over a grassy field with trees in it.Output
Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,"A group of Asian children, wearing white shirts and caps are giving a presentation to an audience. "
Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Pedestrians walking down the street look at a child in a cardboard box.,People walking along the street looking at child on paper package.
Ein brauner Hund läuft über den Sandstrand.,A brown dog runs down the sandy beach.,A brown dog is walking on the sand beach.
Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men in army uniforms stand next to a woman.,Two men wearing army uniforms are standing next to a woman.
"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.",The Dalai Lama is at a ceremony where offerings of flowers and prayers are being presented to the audience.
Ein Radfahrer springt über eine Hindernis.,A biker jumps an obstacle.,A bicyclist jumping over an obstacle.Your task Rewrite the above
Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple sitting in white lawn chairs are smiling at the camera.,A couple sitting on white patio chairs smiling at the camera.Your task Rew
Kleine Kinder fahren in einem Miniaturzug.,Young kids are on a small train ride.,Little kids riding on a miniature train ride.
Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfer in a blue swimsuit is riding the waves.,A surfer is riding waves while wearing a blue wetsuit.
Ein Junge springt auf seinen Fußball spielenden Bruder.,The boy jumps onto his soccer player brother.,A boy is jumping on his soccer ball with an playing brother. Your task
Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men on opposing soccer teams are competing to get the ball on a soccer field.,Two young men from different soccer teams are trying to get the ball on a soccer field.
"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People are walking on a paved slope surrounded by Chinese vendors.,People walking on an overcrowded busy street with Chinese vendors around it.
Ein kleiner Junge in weißen Hosen springt von der Couch.,A young boy wearing white pants is jumping off the couch.,A little boy with white pants is jumping off the couch.
Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy in an orange shirt is pouring Legos from a bag.,A boy wearing an orange shirt is shaking out lego pieces from his bag.Follow up question
"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",A woman wearing brown sandals and a blue jean shirt is holding a baby under a large tree
Drei Personen lächeln und halten politische Schilder.,Three people smiling and holding political signs.,Three people smile and hold political signs.
Ein Polizist steht neben einem Auto auf einer städtischen Straße.,An officer stands next to a car on a city street.,A police officer is standing next to an automobile on a city street.
Zwei Männer mit Mützen.,Two men wearing hats.,Two men wearing hats.
Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A boy in midair trying to kick a soccer ball,A boy is in the air attempting to kick a soccer ball.Exercise Translate
Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A young boy with a blue beanie has his head down.,A little boy with a blue beanie hat is his head tucked in.Your task
Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A red-haired man with dreadlocks is sitting playing and acoustic guitar.,A man with red hair and dreads sits playing an acoustic guitar.
Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eating a sandwich with his baby daughter in his lap.,A man eating a sandwich while holding his young daughter on his lap.
"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",An African American child is holding something up that those in the picture are proud of.,An African American child holding something up where the people in the picture are all standing.Output
Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman directs a crowd of people with a loudspeaker.,A woman is giving instructions on a loudspeaker for some group of people.
Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,Costumed onlookers watch as a policeman gives a speech while wearing an overcoat and holding a box
Eine Gruppe ist in einer Bar.,A crowd is present at a bar.,A group of people at a bar.
Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A girl in white and a girl in green walk past a blue car wash station.,A girl wearing white and a girl wearing green walk by the blue car wash.
Ein Mann verwendet elektronische Geräte.,A man is using electronic equipment.,A man using electronic devices.brInput Zwei Mnner ste
Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person surfing through a crashing wave in the ocean.,A person surfing on breaking waves in the ocean.Your task Rewrite
Ein Armeeoffizier inspiziert etwas.,An army officer is inspecting something.,An army man inspects something.
Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the bride's veil.,A bride and groom kiss under the bridal veil.
Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,Police officers are standing in the background while a young man with a red scarf is walking by his face
Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumping over a steeple vault at a competition,A black and white dog jumps over a hurdle in a competition.
Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman wearing a sweater is reading a book in her home.,A woman wearing a striped jacket reads a book at home.User Can you translate this into
Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teenagers are looking over a railing in a dark room.,A group of teenagers are looking out over a railing inside a dark room.Follow up questions and
"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white t-shirt is starting to climb a rock.,The man in the white tshirt is about to climb up some rocks.
Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,A teenage boy is stretching in the kitchen and you can see part of his stomach.,A teenager cooking while his head appears partially submerged.
Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People are holding various types of drumsticks above different kinds of drums.,People are holding various types of drumsticks over different drums.Your task Rew
Drei Farmer ernten Reis auf einem Feld.,Three farmers harvest rice out in a rice field.,Three farmers are harvesting rice in a field.
Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book.,Two women and a man looking at a book.brInput Eine Gru
"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Three children's legs are shown as they stand near a mess of silly string.,The legs of three children standing next to a door that has been nailed shut.Followup Questions
Ein Koch posiert beim Kochen für die Kamera.,A cook is posing for a camera while cooking.,A cook is posing for the camera while cooking.
Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people in a street protesting the use of coal in power plants.,Many people are protesting on the street against coal power plants.Your task Rew
Der Teenager springt mit seinem Fahrrad über den Hügel.,The teen jumps the hill with his bicycle.,The teenager jumps over the hill on his bicycle.
Ein kleines Mädchen läuft entlang einer Küste.,A little girl running at on the shore of a beach.,A little girl walking along a coast line.
Eine weiße Ente schlägt im Wasser mit den Flügeln.,White duck flapping its wings in the water.,A white elephant is hitting the water with its wings.
Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.","Two men stand in front of a pile of dirt and metal, talking as four more people surround them"
Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink skirt is holding a baby.,A woman with a baby is wearing pink shoes.
Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player in a yellow jersey is guarding the goal.,A hockey player wearing a yellow jersey is protecting the goal.Follow up questions What sport are
"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man is walking past a large sign that says E.S.E. Electronics.,"A man is walking past a sign that says ESEE electronics, and there are some electronic store"
Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys wearing green shirts and tan pants pose at the top of a slide.,Three boys dressed up as green shirts and brown pants are posing on top of the shirt of an umbrella
Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man is dancing with a dog between his legs.,A man dances with a dog between his legs.
Der weiße Hund läuft im flachen Wasser.,The white dog is running in the shallow water.,The white dog is walking in the shallow water.
Schlagzeuger aus Oregon marschieren mit der Band.,Oregon percussionists are marching with the band.,The Oregon band plays with the drummers from Oregon.Solution A group of Oregon musicians
Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of children play together in a fenced yard as an adult watches.,A group of children are playing in a fenced yard while an adult watches on. 
Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,A group of women are playing musical instruments together.,A group of women playing musical instruments together.
Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl in a purple plaid dress is lying on the floor crying.,A little girl wearing an purple plaid dress is laying on the ground crying.User Can
Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with graying hair shaves his beard.,A man with curly hair is shaving his beard.Complete detailed textbooklevel solutions
"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Two black dogs, a black puppy, and a white dog in the snow.",Two black dogs a white puppy and one in the snow.
Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,Man in a Miami basketball uniform jumping to make a shot.,A man wearing a miami basketball jersey is making a jump shot.Your task
Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,"A woman is sitting outside her house with a blue door, enjoying the air.",A woman sitting outside her home with a blue door enjoying the cool breeze.
Kinder sitzen auf einem Mann in einem Bananenkostüm.,Kids are sitting on a man in a banana suit.,Children are sitting on man wearing banana costume.
Ein grauweißer Hund springt über stehendes Wasser im Sand.,A gray and white dog jumping over standing water in the sand.,A gray and white dog jumps over standing water in the sand.Your task 
Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd gathered around a park water fountain in the rain.,A crowd of people gathered around a fountain in the park during rain.
"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","Several older men, some in traditional headdress convene on a street corner.","Several older men, some of which are wearing traditional head coverings meet at a street corner."
"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young Lassie looking dog is in the snow.,A young dog looking like lassie in the snow.
Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,The soccer player in the gold uniform is blocking the ball from going into the opposing teams goal.
Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman in a black shirt is knitting with purple yarn.,A woman wearing a black shirt is sticking with red yarn.
Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four females of Asian descent are wearing golden dresses while performing point ballet.,Four women of Asian descent are wearing golden dresses and performing ballet.
Eine Person spielt auf einem einzigartigen Instrument.,A person is playing an unique instrument.,A person playing on an unusual instrument.Input Zwei Menschen stehen in der
Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,A girl wearing black sports attire with the number 1092 on her jersey is running across grassy ground
"Ein Kind mit der Nummer ""93"" fährt Ski.","A kid crosscountry skis wearing the number ""93"".",A child with the number 93 is skiing down a hill.Exercise Translate German
"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",A older gentleman and a young girl begin to work on a puzzle together.,An older gentleman and younger girl are working on a puzzle together.
Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew films a young African boy in a yellow shirt.,A movie crew filming a young African boy wearing a yellow shirt.Your task 
Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A streetlight lit bridge with a cyclist and some cars.,A bridge lit up with a bicyclist and some cars.
Ein Mann reitet auf einem Bullen in einem Gehege.,A man rides a kicking bull in a bullpen.,A man is riding on a bull in an alleyway.Your task Rew
"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A boy jumping to hit a tennis ball with his racket,A boy is jumping up in the air to hit a tennis ball with his racket. 
Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Kids scale a wall as two other people watch.,Children climbing on a wall while two others watch them.Your task Rewrite
Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People walking about a university campus with palm trees in the background.,People are walking across a university campus with palm trees in the background.
Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,Little girl kicks black object at karate class.,A little girl is kicking a black object during a Karate class. INSTRUCTIONS
Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men trying to hoist themselves up from the water on to a walkway made of tires.,Two men are trying to lift an auto body out of the water onto a ladder.
Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"Two men breakdancing, with a crowd looking on.",A crowd watches two men break dancing.
Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A professionally dressed woman standing at a podium debating or discussing something of importance.,A woman dressed professionally stands at a podium discussing or debating about something important.Exercise 2
Eine Frau liegt auf einem Sofa und lacht.,A woman is laying down on a sofa laughing.,A woman is laughing while laying on a couch.
Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A dirt floor gets swept by one white and one black woman.,A black and white woman are wiping a dirty floor. Explanation The two
Ein Reh springt über einen Zaun.,A deer jumps a fence.,A horse jumps over a fence.
Drei Hunde spielen auf einem Feld.,Three dogs play with each other out in the field.,Three dogs are playing in a field of grass.endoftext
Zwei kleine Kinder auf dem Sand.,Two young children are on sand.,"Two young children on the sand. Explanation The sentence is in German,"
Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling young boy plays in the leaves among the ducks.,A smiling boy is playing in the leaves with the animals.
Diese vier Personen stehen mit 3 Hunden im Freien.,"These four people are standing outdoors, with 3 dogs.",These four people are standing outside with three dogs.Your task Rewrite
Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"While visiting the Mayan ruins, a guide points in the direction of more attractions.",A guide points out other interesting sights as he leads visitors through the ruins of Mayan civilization. 
Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,Girl wearing radio t-shirt has open mouth,A girl wearing a radio shirt with her mouth open.
Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A tribal group filling water jugs in the desert.,A group of tribal people filling water buckets at the desert.
Ein Mann steht auf einer Straße in der Stadt.,A man standing on a city street.,A man is standing on the street in the city.
Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A flock of birds fly away with food in their beaks.,A flock of birds fly away with food in their beaks.
Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men ride through farm land as they guide their mule powered trailer.,Two men are riding a horse over farm and pulling a cart pulled by an ox.Output
Zwei Männer stehen auf einem Berggipfel.,Two people stand at the peak of a mountain.,Two men standing on top of a hillside.
Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,Young girl enjoying herself as she makes a snow angel.,A young girl is having fun as she plays with a snow angel in the snow.Output
Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Three guys smiling for camera and showing off their muscles.,Three men smile for the camera and show their muscles.Follow up question What do you think
Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a chalkboard in a empty classroom.,A person is writing on chalkboard inside an empty classroom.Your task Rew
Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man in a black shirt sitting at a table with an open Apple laptop in front of him.,A man wearing a black shirt sits with his open laptop on top of the table.User
Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people relaxing on a grassy hill overlooking a rocky valley.,Four people relax on grassy hillside with view of rocky valley below.Your task
Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A boy with a skateboard if jumping in the air along some railway tracks.,A boy on his skateboard jumps into the air next to railroad tracks.Follow up questions and
Ein Mann in einem orangefarbenen Shirt spielt Tennis.,There is a man in an orange shirt playing tennis.,A man wearing an orange shirt is playing tennis.
Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The dog with the red collar is bearing its teeth at the dog with the blue collar.,The dog with the red collar is pulling on the other dog in a blue one.
Der Junge ist im Freien und genießt einen Sommertag.,The boy is outside enjoying a summer day.,The boy outside enjoying a summer day.
Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,A worker in an orange work suit is kneeling down inspecting a piece of machinery.,A worker wearing an orange work suit crouches and inspects a machine.
Männer in Cowboyhüten stehen bei einem Rodeo herum.,Men in cowboy hats stand around at a rodeo.,Men wearing cowboy hats stand around at a rodeo event.
"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",There are two dogs in the snow and one has something in his mouth.,Two dogs are in the snow one of them has something stuck in his mouth.
"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",An employee takes a break from working to have a drink,A worker is taking a break and drinking something.LanguageGerman Translated Worker
Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A beige dog runs behind a white dog holding a yellow toy.,A spotted dog is running behind a white dog with a yellow toy. Your task
Hockeyspieler in weißem Trikot mit einem Schläger.,Hockey player in white uniform with stick,Hockey players wearing white jersey with a stick.
Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Man in a white shirt with a gold watch playing with a circuit board.,Man wearing white shirt and gold watch playing with a plastic toy.
"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black horse sticking its head through a fence trying to reach the grass.,A black horse is sticking his head through a fence trying to get the grass.
"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crackhead is pretending to keep his hands warm but actually he is smoking crack.,A crack addict being told he cant have his hands up as they are about to smoke crack.
Zwei Typen und eine Frau lächeln.,Two guys and a girl smiling.,Two types of people and one woman smiling at each other.
Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",A child is laying down on an artificial blue and yellow plastic surface while someone watches over him.
Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black-and-white dog goes for a flattened ball on the snow.,A black and white dog is running towards a broken ball in the snow. Your
Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl standing next to a yellow cat on a kitchen countertop.,A young girl stands next to a yellow cat on kitchen flooring.
Die zwei Kinder Spielen auf dem Spielplatz.,The two kids are playing at the playground.,The two children play on the playground.
Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player in a green striped shirt is holding his hand up to his mouth.,A tennis player wearing a green striped shirt is holding his hand out in front of him.Output
Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy in a red suit plays in the water.,A boy wearing a red swimsuit is playing water sports.Your task Rew
Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A child wearing a red coat and cap is holding a large chunk of snow.,A child in a red jacket and hat holds large piece of snow.Your task
Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two officers with orange jackets stand outside a white tent with onlookers.,Two police officers wearing orange reflective vests standing with passengers outside a white tent.
Zwei Personen stehen neben einem Baum.,Two people standing next to a tree on the ground.,Two people are standing next to a tree.
Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Two men sit talking near a stone building.,Two men are sitting and talking next to a building made of stone.Your task
Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.,A brunette child wearing glasses is holding a young girl with a red sweatshirt and yellow stilts
Ein schwarz-weißer Hund spielt mit einem weißen Ball.,A black and white dog is playing with a white ball.,A black and white dog playing with a white ball.Your task Rewrite
Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,Two people are kissing on a sidewalk in front of a limo while people walk by.,Two people kiss on the sidewalk in front of a limousine while people walk by them. 
Eine Frau spielt Volleyball.,A woman is playing volleyball.,A woman is playing volleyball.
