,input_de,output_en,gt_en
262,Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,A woman wearing a hat is climbing on a rock near a,Woman with a hat on climbing a cliff near a large body of water.
263,Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A large black poodle is running on grass with a toy in,A big black poodle running on the grass with a toy in its mouth.
264,Ein Junge in Shorts macht einen Skateboard-Trick.,A boy in shorts does a skateboard trick.,A boy in shorts doing a skateboard trick.
265,Ein kleiner Junge in roten Hosen steht auf der Straße.,A young boy in red pants stands on the street.unused,A little boy dressed in red pants is standing in the street.
266,"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman typing on her cell phone surrounded by umbrellas. affor,A woman texts on her phone while surrounded by umbrellas.
267,"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.",Eight men play on stage while a guitarist plays in the spotlight,"Eight men play instruments on stage, with a guitarist highlighted in lights."
268,Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,Man wearing an orange overall and matching safety helmet helping with blue,A man in an orange jumpsuit and matching hard hat is helping with a blue hose
269,Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls with fishing poles holding a fish up,A man and two girls show off a fish while holding fishing poles in front of a body of water.
270,Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,A man in a red shirt watching a dog running a jump,Man in red shirt watches dog on an agility course.
271,Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A boy wearing a red and white speedo jumps backwards into a,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.
272,Eine Asiatin steckt ihre Haare zurück.,An Asian woman is putting her hair back into place. affor,An Asian woman pinning her hair back.
273,Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a young child wearing a pink shirt play,An older woman and a young child in a pink shirt playing with multicolored blocks.
274,Ein kleiner schwarzer Hund springt über Gatter,A little black dog jumps over gates.unusedassistant,A small black dog jumping over gates
275,Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A man with brown hair wearing a green shirt is playing the,A brown-haired man in a green shirt plays a trumpet outdoors.
276,Ein Mann telefoniert mit hochgelegten Füßen.,A man is talking on the phone while his feet are raised,A man talks on the phone with his feet up.
277,Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children are sitting on a blue mat eating from,A group of children sit on a blue mat while they eat out of bowls.
278,Ein schwarzer Junge sitzt im Sand.,A black boy sits in the sand.unusedassistant,A black boy is sitting in the sand.
279,Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog watches two larger dogs playing in a field energetically,A small dog watches two big dogs playing rough in a field.
280,"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle outside of a large building. affor,People sitting in a circle outside a large building.
281,"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",A dog jumps to catch a ball while another looks on.,One dog leaps to catch a softball while another looks on.
282,Ein blondes Kind schaukelt auf einer Schaukel.,A blond child is swinging on a swing set.unused,A blond child swinging on a swing.
283,Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,A man and two women are discussing and sipping white winecosity,One man and two women having a discussion over white wine
284,Ein Asiate bereitet im Freien Essen zu.,An,An Asian man is cooking food outdoors.
285,"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog is about to catch a frisbee.,A brown dog about to catch a green Frisbee.
286,Fans jubeln während die Band ein Lied spielt.,Fans are cheering while the band is playing a song.unused,Fans cheer as the band plays a song.
287,Ein kleiner Junge steht neben einer Pyramide aus Sand.,A little boy standing next to a pyramid of sand. affor,A young boy is standing next to a sand sculpture of a pyramid.
288,Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three little kids walk through a grassy yard. afforr,Three young children are walking through a grassy yard.
289,Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man is pondering a sculpture on a cart. afforr,A man pounds on an artwork perched on a cart.
290,Ein Mann fährt auf einem Berg Fahrrad.,A man riding a bicycle on a mountain ghzEassistant,A man on a bicycle rides on a mountain.
291,Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A boy wearing blue and yellow gumboots is running on dirt,A boy with blue and yellow rain boots runs on dirt.
292,Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman wearing an orange jacket is sitting on a bench.,A woman in an orange jacket sits on a bench.
293,Ein Mann macht einen Trick auf dem Skateboard,A man does a trick on his skateboard.,A man doing a trick on skateboard
294,Ein Mann in einem Karateanzug in der Luft.,A man in a karate suit is in midair.,A man in a martial arts uniform in midair.
295,Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,A woman is selling fruitfilled bags on a sidewalk.,Woman selling bags of fruit on a sidewalk.
296,Zwei Fußballmannschaften auf dem Feld.,,Two soccer teams are on the field.
297,Ein Kind in einem blauen Shirt springt von einer Bank.,A child wearing a blue shirt jumps off a bench.,A child in a blue shirt jumping off a bench.
298,Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie wearing a yellow jersey is protecting the goal. affor,A goalie in a yellow field is protecting the goal.
299,Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people are drinking shots in a mexican setting,A group of young people take shots in a Mexican setting.
300,Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man is sliding down a pink railing on his skateboard,A young man skateboards off a pink railing.
301,Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A little boy jumps off a bed onto another smaller bed.,A young boy jumping from a bunk bed on a smaller bed.
302,"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.",Two people dressed in funny clown costumes are standing on a street,"Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road."
303,Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,A runner wearing a blue shirt with an attached number. affor,Man running wearing a blue shirt with a number taped to it.
304,Ein asiatischer Fabrikarbeiter posiert für die Kamera.,An asian factory worker poses for the camera. affor ,An Asian factory worker posing for the camera.
305,"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man who appears to be running a marathon is showing two,A man that appears to be running in a marathon gives us 2 thumbs up.
306,"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players are trying to score a basket during a game.,Basketball players shoot for a goal during a game.
307,Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player wearing an orange jersey is smiling and holding a,A football player wearing an orange uniform smiling and holding the football.
308,Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skateboarders are turning a corner while others watch.,Two downhill skateboarders round a curve while others watch.
309,Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,A team wearing white and gold on the sideline of a football,A team in white and gold on the sidelines of a football field.
310,Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A young girl is pushing her roller across a field of trees,A little girl is pushing her scooter through a grassy tree lined field.
311,Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,A group of asian children dressed in white shirts and hats are,Group of asian children dressed in white shirts and hats performing with a crowd looking on.
312,Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Pedestrian looking at a kid in a cardboard box on a street,Pedestrians walking down the street look at a child in a cardboard box.
313,Ein brauner Hund läuft über den Sandstrand.,A brown dog runs on the sand beach. affor ,A brown dog runs down the sandy beach.
314,Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men in army uniforms standing beside a woman.,Two men in army uniforms stand next to a woman.
315,"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","The Dalai Lama at a reception where guests bring flowers, umbrellas","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags."
316,Ein Radfahrer springt über eine Hindernis.,A bicyclist jumps over a hurdle. affor E,A biker jumps an obstacle.
317,Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple sitting on white patio chairs laughing at the camera.,A couple sitting in white lawn chairs are smiling at the camera.
318,Kleine Kinder fahren in einem Miniaturzug.,Little kids are riding a miniature train.unusedassistant,Young kids are on a small train ride.
319,Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfer is riding a wave wearing a blue neoprene suit.,A surfer in a blue swimsuit is riding the waves.
320,Ein Junge springt auf seinen Fußball spielenden Bruder.,A boy is jumping on his younger brother who is playing soccer,The boy jumps onto his soccer player brother.
321,Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men from two different soccer teams trying to get the,Two young men on opposing soccer teams are competing to get the ball on a soccer field.
322,"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People walk down a steep paved road surrounded by Chinese vendors.,People are walking on a paved slope surrounded by Chinese vendors.
323,Ein kleiner Junge in weißen Hosen springt von der Couch.,A young boy in white pants jumping off the couch. affor,A young boy wearing white pants is jumping off the couch.
324,Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy wearing an orange shirt is throwing Legos out of,A boy in an orange shirt is pouring Legos from a bag.
325,"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","A woman wearing brown sandals, blue jeans and a white shirt","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree."
326,Drei Personen lächeln und halten politische Schilder.,Three people smiling and holding political signs.unusedassistant,Three people smiling and holding political signs.
327,Ein Polizist steht neben einem Auto auf einer städtischen Straße.,A police officer stands beside a car on a city street.,An officer stands next to a car on a city street.
328,Zwei Männer mit Mützen.,,Two men wearing hats.
329,Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A boy is airborne and trying to kick a soccer ball.,A boy in midair trying to kick a soccer ball
330,Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A young boy with a blue beanie hat his head down.,A young boy with a blue beanie has his head down.
331,Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A redhaired man with dreadlocks sits and plays an,A red-haired man with dreadlocks is sitting playing and acoustic guitar.
332,Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eating a sandwich while holding his little daughter on his,A man eating a sandwich with his baby daughter in his lap.
333,"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",An African American child is holding something up that the people in,An African American child is holding something up that those in the picture are proud of.
334,Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman giving instructions to a group over a speaker. affor,A woman directs a crowd of people with a loudspeaker.
335,Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,Costumed spectators look on as a police officer gives a speech,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.
336,Eine Gruppe ist in einer Bar.,,A crowd is present at a bar.
337,Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A girl in white and one in green are walking past a,A girl in white and a girl in green walk past a blue car wash station.
338,Ein Mann verwendet elektronische Geräte.,A man is using electronic devices. afford A man,A man is using electronic equipment.
339,Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person surfing on a breaking wave in the ocean. affor,A person surfing through a crashing wave in the ocean.
340,Ein Armeeoffizier inspiziert etwas.,An army officer inspects something. afforrassistant,An army officer is inspecting something.
341,Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the bridal veil. afforade,A bride and groom kiss under the bride's veil.
342,Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Police officers are in the background as a young man with a,Riot police are standing in the background while a young man with a red scarf covering his face is walking.
343,Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumps over a hurdle at a competition,A black and white dog jumping over a steeple vault at a competition
344,Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman in a sweater reads at home a book.,A woman wearing a sweater is reading a book in her home.
345,Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teenagers looking over a railing in a dark room.unused,Several teenagers are looking over a railing in a dark room.
346,"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white tshirt is about to climb,The man in the white t-shirt is starting to climb a rock.
347,Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,"A teenage boy is stretching out on the kitchen floor, and",A teenage boy is stretching in the kitchen and you can see part of his stomach.
348,Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People hold different types of drumsticks over various drums.,People are holding various types of drumsticks above different kinds of drums.
349,Drei Farmer ernten Reis auf einem Feld.,Three farmers harvesting rice on a field. affor ,Three farmers harvest rice out in a rice field.
350,Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book. affor,Two women and a man are looking at a book.
351,"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Legs of three children standing next to a mess of knotted strings,Three children's legs are shown as they stand near a mess of silly string.
352,Ein Koch posiert beim Kochen für die Kamera.,A chef poses for the camera while cooking.,A cook is posing for a camera while cooking.
353,Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people protesting on a street against coal power plants. affor,Many people in a street protesting the use of coal in power plants.
354,Der Teenager springt mit seinem Fahrrad über den Hügel.,The teenager is jumping his bike over the hill. afforr,The teen jumps the hill with his bicycle.
355,Ein kleines Mädchen läuft entlang einer Küste.,A little girl is walking along a coastline.unused,A little girl running at on the shore of a beach.
356,Eine weiße Ente schlägt im Wasser mit den Flügeln.,A white duck is splashing in the water with its wings.,White duck flapping its wings in the water.
357,Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,Two men are standing in front of the back of a truck,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them."
358,Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink dress holds a baby.,A woman in a pink skirt is holding a baby.
359,Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player in a yellow jersey is protecting the goal.,A hockey player in a yellow jersey is guarding the goal.
360,"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man runs past a sign that says E.S.,A man is walking past a large sign that says E.S.E. Electronics.
361,Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys in green shirts and brown pants pose on the top,Three boys wearing green shirts and tan pants pose at the top of a slide.
362,Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man dances with a dog between his legs.,A man is dancing with a dog between his legs.
363,Der weiße Hund läuft im flachen Wasser.,The white dog is running in the shallow water. afforr,The white dog is running in the shallow water.
364,Schlagzeuger aus Oregon marschieren mit der Band.,Oregon band marching with their drummers. affor SneakyThrows,Oregon percussionists are marching with the band.
365,Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of kids playing in an enclosed yard while an adult,A group of children play together in a fenced yard as an adult watches.
366,Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,A group of women playing together on musical instruments.,A group of women are playing musical instruments together.
367,Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl wearing a purple polkadotted dress is lying,A little girl in a purple plaid dress is lying on the floor crying.
368,Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with graying hair is shaving his beard.,A man with graying hair shaves his beard.
369,"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Two black dogs, a black puppy, and a white dog","Two black dogs, a black puppy, and a white dog in the snow."
370,Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,A man wearing a Miami basketball jersey is making a jump shot,Man in a Miami basketball uniform jumping to make a shot.
371,Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,A woman sitting in front of her house with a blue door,"A woman is sitting outside her house with a blue door, enjoying the air."
372,Kinder sitzen auf einem Mann in einem Bananenkostüm.,Children sitting on a man dressed as a banana.,Kids are sitting on a man in a banana suit.
373,Ein grauweißer Hund springt über stehendes Wasser im Sand.,A graywhite dog leaps over standing water in the sand,A gray and white dog jumping over standing water in the sand.
374,Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd of people has gathered around a fountain in the park,A crowd gathered around a park water fountain in the rain.
375,"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.",Several older men with traditional hats meet at a street corner.,"Several older men, some in traditional headdress convene on a street corner."
376,"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young dog that looks like Lassie is in the snow,A young Lassie looking dog is in the snow.
377,Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The goldclad soccer player blocks the ball from the opposing,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.
378,Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman in a black shirt is knitting with red yarn.,A woman in a black shirt is knitting with purple yarn.
379,Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four Asian women are wearing gold dresses and dancing ballet. affor,Four females of Asian descent are wearing golden dresses while performing point ballet.
380,Eine Person spielt auf einem einzigartigen Instrument.,A person is playing on a unique instrument.unused,A person is playing an unique instrument.
381,Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing black sports attire with the number ,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.
382,"Ein Kind mit der Nummer ""93"" fährt Ski.",A child with the number  is skiing.,"A kid crosscountry skis wearing the number ""93""."
383,"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",An elderly gentleman and a young girl begin to put together a,A older gentleman and a young girl begin to work on a puzzle together.
384,Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew filming a african boy in a yellow shirt.,A film crew films a young African boy in a yellow shirt.
385,Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A lighted bridge with a bicyclist and some cars.,A streetlight lit bridge with a cyclist and some cars.
386,Ein Mann reitet auf einem Bullen in einem Gehege.,A man riding a bull in a corral. afford,A man rides a kicking bull in a bullpen.
387,"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A boy jumps high to hit a tennis ball with his racket,A boy jumping to hit a tennis ball with his racket
388,Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Children are climbing a wall while two others watch.,Kids scale a wall as two other people watch.
389,Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People are walking across a university campus with palm trees in the,People walking about a university campus with palm trees in the background.
390,Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,A little girl is kicking a black object during a karate class,Little girl kicks black object at karate class.
391,Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men attempt to climb onto a tire raft from the water,Two men trying to hoist themselves up from the water on to a walkway made of tires.
392,Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,A crowd of people watching two men breakdancing. afford,"Two men breakdancing, with a crowd looking on."
393,Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A professionally dressed woman is standing on a podium and debating or,A professionally dressed woman standing at a podium debating or discussing something of importance.
394,Eine Frau liegt auf einem Sofa und lacht.,A woman is laying on a couch laughing. affor ,A woman is laying down on a sofa laughing.
395,Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A black and white woman are wiping a dirty floor. affor,A dirt floor gets swept by one white and one black woman.
396,Ein Reh springt über einen Zaun.,,A deer jumps a fence.
397,Drei Hunde spielen auf einem Feld.,Three dogs are playing in a field.unusedassistant,Three dogs play with each other out in the field.
398,Zwei kleine Kinder auf dem Sand.,,Two young children are on sand.
399,Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling boy playing with ducks in the grass.,A smiling young boy plays in the leaves among the ducks.
400,Diese vier Personen stehen mit 3 Hunden im Freien.,This four people are standing outside with three dogs. afforade,"These four people are standing outdoors, with 3 dogs."
401,Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,A guide shows tourists towards other attractions at Maya ruins.,"While visiting the Mayan ruins, a guide points in the direction of more attractions."
402,Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,A girl with a radio tshirt and open mouth is,Girl wearing radio t-shirt has open mouth
403,Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A group of tribal members filling water containers in the desert.,A tribal group filling water jugs in the desert.
404,Ein Mann steht auf einer Straße in der Stadt.,A man stands on a city street.unusedassistant,A man standing on a city street.
405,Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A flock of birds fly away with food in their mouths.,A flock of birds fly away with food in their beaks.
406,Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men riding a farm and pulling a wagon pulled by an,Two men ride through farm land as they guide their mule powered trailer.
407,Zwei Männer stehen auf einem Berggipfel.,Two men stand on a mountaintop.unusedassistant,Two people stand at the peak of a mountain.
408,Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,A young girl is having fun making a snow angel.,Young girl enjoying herself as she makes a snow angel.
409,Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Three men smile for the camera and display their muscles.,Three guys smiling for camera and showing off their muscles.
410,Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a board in an empty classroom.,A person is writing on a chalkboard in a empty classroom.
411,Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man wearing a black shirt is sitting with an open apple,A man in a black shirt sitting at a table with an open Apple laptop in front of him.
412,Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people relaxing on a grassy hill overlooking a rocky valley.,Four people relaxing on a grassy hill overlooking a rocky valley.
413,Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A boy on a skateboard jumps off the rails of an old,A boy with a skateboard if jumping in the air along some railway tracks.
414,Ein Mann in einem orangefarbenen Shirt spielt Tennis.,A man wearing an orange shirt is playing tennis.,There is a man in an orange shirt playing tennis.
415,Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The brownbanded dog is licking the bluebanded dog,The dog with the red collar is bearing its teeth at the dog with the blue collar.
416,Der Junge ist im Freien und genießt einen Sommertag.,The boy is outside enjoying a summer day.unused,The boy is outside enjoying a summer day.
417,Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,An employee wearing an orange workers suit kneeling inspecting a,A worker in an orange work suit is kneeling down inspecting a piece of machinery.
418,Männer in Cowboyhüten stehen bei einem Rodeo herum.,Men wearing cowboy hats are standing around at a rodeo.,Men in cowboy hats stand around at a rodeo.
419,"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",Two dogs are in the snow with one of them having something,There are two dogs in the snow and one has something in his mouth.
420,"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",An employee takes a break to drink something.E,An employee takes a break from working to have a drink
421,Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A beige dog is running behind a white dog with a yellow,A beige dog runs behind a white dog holding a yellow toy.
422,Hockeyspieler in weißem Trikot mit einem Schläger.,Hockey players wearing white jerseys with sticks.unusedassistant,Hockey player in white uniform with stick
423,Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Man wearing a white shirt and gold watch plays with a plat,Man in a white shirt with a gold watch playing with a circuit board.
424,"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black horse sticking its head through a fence and trying to,A black horse sticking its head through a fence trying to reach the grass.
425,"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crack addict is trying to warm up his hands while smoking,A crackhead is pretending to keep his hands warm but actually he is smoking crack.
426,Zwei Typen und eine Frau lächeln.,,Two guys and a girl smiling.
427,Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,A child bends over a display of blue and yellow plastic while,"A child leans over a display made up of blue and yellow plastic, while an adult looks on."
428,Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black and white dog is running to a broken ball in,A black-and-white dog goes for a flattened ball on the snow.
429,Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl stands next to a yellow cat on a kitchen,A young girl standing next to a yellow cat on a kitchen countertop.
430,Die zwei Kinder Spielen auf dem Spielplatz.,The two children playing on the playground.assistant,The two kids are playing at the playground.
431,Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player wearing a green striped shirt holds his hand out,A tennis player in a green striped shirt is holding his hand up to his mouth.
432,Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy in a red bathing suit playing in the water.,A boy in a red suit plays in the water.
433,Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A child wearing a red jacket and hat holds a large piece,A child wearing a red coat and cap is holding a large chunk of snow.
434,Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two police officers wearing orange vests are standing outside of a white,Two officers with orange jackets stand outside a white tent with onlookers.
435,Zwei Personen stehen neben einem Baum.,Two people are standing next to a tree.,Two people standing next to a tree on the ground.
436,Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Two men are sitting and talking next to a stone building.,Two men sit talking near a stone building.
437,Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,A brownhaired child with glasses holding a blond child wearing,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.
438,Ein schwarz-weißer Hund spielt mit einem weißen Ball.,A black and white dog is playing with a white ball.,A black and white dog is playing with a white ball.
439,Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,Two people kissing on a sidewalk in front of a limousine while,Two people are kissing on a sidewalk in front of a limo while people walk by.
440,Eine Frau spielt Volleyball.,A woman,A woman is playing volleyball.
441,Zwei große Hunde kämpfen auf einem unbefestigten unbewachsenen Gelände.,"Two large dogs are fighting on an unpaved, un",Two large dogs are fighting in a dirt field.
442,Ein brauner Hund springt über eine Hürde.,A brown dog jumps over a hurdle. affor ,A brown dog jumping over a hurdle.
443,Ein Mann in einem gestreiften Shirt raucht auf der Straße eine Zigarette.,A man in a striped shirt smokes a cigarette on the street,A man wearing a striped shirt is smoking a cigarette on the street
444,Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.,A young girl is holding a small boy on her lap.,A little girl is holding a little boy on her lap.
445,"Ein Mann versucht an einem schönen Samstagnachmittag, einen sehr wütenden Bullen zu reiten.",A man tries to ride a very angry bull on a beautiful,A man trying to ride a very mad bull on a beautiful Saturday afternoon.
446,"Kinder bemühen sich, beim Seilziehen zu gewinnen.",Children are trying to win by pulling the rope.,Children fight to win a tug-of-war battle.
447,Ein Radfahrer lehnt sich auf einer unbefestigten Piste mit einem Mountainbike in die Kurve.,A bicyclist leans into a turn on an unpaved,A cyclist is leaning a mountain bike around a bend on a dirt track.
448,Zwei Personen und eine angebundene Kuh vor einem Haus.,Two people and a tied up cow in front of a house,Two people and a leashed cow at a home.
449,"Der kleine Junge lernt mit seinem Vater, Rad zu fahren.",The little boy is learning to ride a bike with his dad,The young boy learns how to ride a bike with his dad.
