de,en,predicted_en
Ein Windhund mit Maulkorb in gelb und schwarz läuft auf der Strecke.,A muzzled greyhound dog wearing yellow and black is running on the track.,A windhound with black and white fur running on the track.
Ein Mann in Sandalen sitzt auf dem Gehsteig neben ein paar Taschen.,A man wearing sandals sits on the sidewalk near some bags.,A man is sitting on the sidewalk next to some trash cans wearing sandals.
Ein Mann und eine Frau sitzen an einem Zaun und unterhalten sich.,A man and a woman are sitting on the base of fence having a conversation.,A man and a woman sitting on a bench talking with each other.
Ein Kind sieht sich Kaffeemaschinen in einem Geschäft an.,A kid is looking at coffee machines inside a store.,A child is watching coffee machines in a store.
"Ein Mann, der aus einer gelben Tasse Trinkt, umgeben von Menschen auf einer geschäftigen Veranstaltung.",A man drinking out of a yellow cup around people at a busy event,A man with a cup of coffee in his hand is surrounded by people at an event.
Ein Junge lehnt sich an ein Auto mit Blumen auf der Motorhaube.,A boy is leaning on a car with flowers on the hood.,A young boy is leaning on the hood of a car covered with flowers.
Eine Frau in einem Kleid mit Blumenmuster spricht mit Kindern vor einem Kleinbus.,A woman in a floral dress talks to children in front of a van.,A woman wearing a dress with flower patterns is talking to children before getting on a small bus.
Ein Mann an seinem Hochzeitstag.,A man on his wedding day.,A man at his wedding day.
Eine junge Frau in einem schwarzen T-Shirt und Jeans beim Kehren.,A young woman with a black shirt and jeans sweeping.,A young woman wearing a black tshirt and jeans on the sidewalk.
Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,Woman with a hat on climbing a cliff near a large body of water.,A woman climbing up near a large lake with her backpack on.
Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A big black poodle running on the grass with a toy in its mouth.,A large black poodle runs on grass with an object in its mouth.Instruct Translate
Ein Junge in Shorts macht einen Skateboard-Trick.,A boy in shorts doing a skateboard trick.,A boy wearing shorts is performing a skateboarding trick.
Ein kleiner Junge in roten Hosen steht auf der Straße.,A little boy dressed in red pants is standing in the street.,A young boy wearing red pants is standing on the street corner.
"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman texts on her phone while surrounded by umbrellas.,A woman tips her hat while surrounded by raindrops.
"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.","Eight men play instruments on stage, with a guitarist highlighted in lights.",Eight men playing on stage while one plays the guitar in front of lights.
Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,A man in an orange jumpsuit and matching hard hat is helping with a blue hose,A man wearing a bright overall and hard hat helping with blue pipe work.
Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls show off a fish while holding fishing poles in front of a body of water.,A man and two girls are fishing by a lake with an angler rod in hand holding up one
Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,Man in red shirt watches dog on an agility course.,A man wearing a red shirt is watching his dog run during the hurdle race.
Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,A boy wearing a red and white bathing suit jumps back into the pool after taking a dive.
Eine Asiatin steckt ihre Haare zurück.,An Asian woman pinning her hair back.,An Asian woman is brushing her hair back.Instruct Translate German to English.Input
Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a young child in a pink shirt playing with multicolored blocks.,A young boy and an old lady are playing with colorful balls on a pink shirt.
Ein kleiner schwarzer Hund springt über Gatter,A small black dog jumping over gates,A little black dog jumps over a fence.
Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A brown-haired man in a green shirt plays a trumpet outdoors.,A man with brown hair wearing a green shirt is playing the trumpet outside.
Ein Mann telefoniert mit hochgelegten Füßen.,A man talks on the phone with his feet up.,A man is talking on a phone with highquality headphones.
Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children sit on a blue mat while they eat out of bowls.,A group of children sitting on blue mats and looking at shelves.Instruct Translate German to
Ein schwarzer Junge sitzt im Sand.,A black boy is sitting in the sand.,A black boy sitting in the sand.
Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog watches two big dogs playing rough in a field.,A little dog is watching two bigger dogs play on the ground.
"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle outside a large building.,People sitting outside a large building in the town center.
"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",One dog leaps to catch a softball while another looks on.,A dog jumps around a ball while another watches.
Ein blondes Kind schaukelt auf einer Schaukel.,A blond child swinging on a swing.,A blonde kid is showing off on a skateboard.
Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,One man and two women having a discussion over white wine,A man and two women are discussing and drinking white wine.
Ein Asiate bereitet im Freien Essen zu.,An Asian man is cooking food outdoors.,An Asian man prepares food outside in the yard.
"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog about to catch a green Frisbee.,A brown dog runs quickly catching a frisbee in midair.
Fans jubeln während die Band ein Lied spielt.,Fans cheer as the band plays a song.,The fans are celebrating as the band plays a song.Instruct Translate German to English.
Ein kleiner Junge steht neben einer Pyramide aus Sand.,A young boy is standing next to a sand sculpture of a pyramid.,A little boy standing in front of a sand pyramid.
Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three young children are walking through a grassy yard.,Three little kids are walking through a grassy yard.
Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man pounds on an artwork perched on a cart.,A man in green shirt is on top of sculpture atop a truck.
Ein Mann fährt auf einem Berg Fahrrad.,A man on a bicycle rides on a mountain.,A man is riding on a mountain bike down the hill.
Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A boy with blue and yellow rain boots runs on dirt.,A boy eating blue and red gummy bears on the ground is running around outside.
Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman in an orange jacket sits on a bench.,A woman sitting on an orange chair at the bank.
Ein Mann macht einen Trick auf dem Skateboard,A man doing a trick on skateboard,A man performs an trick on his skate board.
Ein Mann in einem Karateanzug in der Luft.,A man in a martial arts uniform in midair.,A man wearing a karate uniform doing an aerial move while on the ground.
Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,Woman selling bags of fruit on a sidewalk.,A woman is buying fresh vegetables from an outdoor market stand.
Zwei Fußballmannschaften auf dem Feld.,Two soccer teams are on the field.,Two soccer teams on the field.
Ein Kind in einem blauen Shirt springt von einer Bank.,A child in a blue shirt jumping off a bench.,A child wearing a blue shirt jumping off of a bank.
Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie in a yellow field is protecting the goal.,A torchwielding man wearing a yellow tricornered helmet is guarding the entrance of
Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people take shots in a Mexican setting.,A group of young people are drinking shots while sitting at a Mexican restaurant.
Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man skateboards off a pink railing.,A young man is skating on a red skateboard over some rocks.
Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A young boy jumping from a bunk bed on a smaller bed.,A little boy jumps off of a small wooden platform onto a tiny trampoline bed.
"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.",Two people wearing alien costumes are standing on the street one blue and one purple.
Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,Man running wearing a blue shirt with a number taped to it.,A jogger wearing a blue shirt with an embroidered number on it.
Ein asiatischer Fabrikarbeiter posiert für die Kamera.,An Asian factory worker posing for the camera.,An Asian worker is posing for a camera in front of his factory.
"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man that appears to be running in a marathon gives us 2 thumbs up.,A man in the middle of a marathon is pointing towards two trees that are on his left side.
"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players shoot for a goal during a game.,Basketball players are trying during a game while attempting to make a basket.
Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player wearing an orange uniform smiling and holding the football.,A football player wearing an orange jersey is crying and holding a ball.
Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skateboarders round a curve while others watch.,Two downhill skateboarders are riding around a curve while others watch on.
Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,A team in white and gold on the sidelines of a football field.,A white and gold team on the sidelines of a football field.
Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A little girl is pushing her scooter through a grassy tree lined field.,A little girl is roller skating over a field with trees.
Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,A group of Asian children dressed in white and capes giving a presentation before an audience.
Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Pedestrians walking down the street look at a child in a cardboard box.,Pedestrians on the sidewalk looking at a child inside of a cardboard box.
Ein brauner Hund läuft über den Sandstrand.,A brown dog runs down the sandy beach.,A brown dog is walking on the beach sand.
Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men in army uniforms stand next to a woman.,Two men dressed in army uniform standing next a woman.
"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.",The Dalai Lama is speaking with a crowd of people who are kneeling in prayer and holding candles.
Ein Radfahrer springt über eine Hindernis.,A biker jumps an obstacle.,A cyclist jumps over a hurdle.
Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple sitting in white lawn chairs are smiling at the camera.,A couple sitting on white chairs and smiling at the camera.
Kleine Kinder fahren in einem Miniaturzug.,Young kids are on a small train ride.,Little kids riding on a miniature train.
Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfer in a blue swimsuit is riding the waves.,A surfer is riding a wave while wearing a blue neon vest.
Ein Junge springt auf seinen Fußball spielenden Bruder.,The boy jumps onto his soccer player brother.,A boy is jumping on his soccer ball with his brother.
Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men on opposing soccer teams are competing to get the ball on a soccer field.,Two young men in different soccer teams are trying to get the ball on a football field.
"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People are walking on a paved slope surrounded by Chinese vendors.,People walking down busy street with Chinese handpainted signs hanging above them.
Ein kleiner Junge in weißen Hosen springt von der Couch.,A young boy wearing white pants is jumping off the couch.,A young boy with white shoes jumping off a couch.
Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy in an orange shirt is pouring Legos from a bag.,A boy wearing an orange shirt is brushing his legs with a brush from a bag.
"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",A woman wearing brown sandals and blue jeans holding a baby under a large tree.
Drei Personen lächeln und halten politische Schilder.,Three people smiling and holding political signs.,Three people are smiling while waiting for a political painting.
Ein Polizist steht neben einem Auto auf einer städtischen Straße.,An officer stands next to a car on a city street.,A police officer stands near an automobile on city street.
Zwei Männer mit Mützen.,Two men wearing hats.,Two men with moustaches.
Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A boy in midair trying to kick a soccer ball,A boy is trying to kick a ball while hes airborne.
Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A young boy with a blue beanie has his head down.,A little boy with a blue beanie hat has his head covered.
Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A red-haired man with dreadlocks is sitting playing and acoustic guitar.,A redheaded man with dreadlocks is sitting and playing on an acoustic guitar.
Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eating a sandwich with his baby daughter in his lap.,A man eating a sandwich while holding his young daughter on her lap.
"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",An African American child is holding something up that those in the picture are proud of.,An African American child holds something high up where the people are standing still in pictures.
Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman directs a crowd of people with a loudspeaker.,A woman is giving directions on a loudspeaker.
Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,A costumed police officer is giving a speech while man in uniform holds an obstacle course with objects hanging
Eine Gruppe ist in einer Bar.,A crowd is present at a bar.,A group of people are at a bar.
Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A girl in white and a girl in green walk past a blue car wash station.,A girl wearing white and a boy in green running towards a blue car wash door ahead of them.
Ein Mann verwendet elektronische Geräte.,A man is using electronic equipment.,A man using electronic equipment.
Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person surfing through a crashing wave in the ocean.,A person surfing on the waves at sea while standing up on their surfboard.
Ein Armeeoffizier inspiziert etwas.,An army officer is inspecting something.,An army officer is looking at something.
Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the bride's veil.,A bride and groom kiss under the bridal archway.
Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,Police officers stand in the background while a young man with red shirt is being pulled away by one officer
Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumping over a steeple vault at a competition,A black and white dog jumps over a hurdle during an obstacle course competition.
Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman wearing a sweater is reading a book in her home.,A woman wearing a scarf is reading at home with a book.
Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teenagers are looking over a railing in a dark room.,Several teenagers look up at a ladder inside of an empty room with dim lighting.
"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white t-shirt is starting to climb a rock.,The man in the white shirt is cutting up some rock on his workbench.
Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,A teenage boy is stretching in the kitchen and you can see part of his stomach.,A teenager cooking while his or her face is seen from the side of a kitchen sink.
Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People are holding various types of drumsticks above different kinds of drums.,People are standing over different types of trash cans on various dumpsters.
Drei Farmer ernten Reis auf einem Feld.,Three farmers harvest rice out in a rice field.,Three farmers are harvesting crops on a field.
Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book.,Two women and a man are talking about a book.
"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Three children's legs are shown as they stand near a mess of silly string.,The bottoms of three children standing next to a door that is nailed shut.Instruct Trans
Ein Koch posiert beim Kochen für die Kamera.,A cook is posing for a camera while cooking.,A cook preparing food for the camera.
Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people in a street protesting the use of coal in power plants.,Many people are protesting on the street against coal power plants.
Der Teenager springt mit seinem Fahrrad über den Hügel.,The teen jumps the hill with his bicycle.,The teenager is jumping on his bicycle over the hill.
Ein kleines Mädchen läuft entlang einer Küste.,A little girl running at on the shore of a beach.,A little girl is walking along the beach.
Eine weiße Ente schlägt im Wasser mit den Flügeln.,White duck flapping its wings in the water.,A white duck is swimming in the water with its wings outstretched.
Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",Two men stand in front of a ladder while another person is standing next to them and talking with four
Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink skirt is holding a baby.,"A woman holding a baby, wearing red clothing."
Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player in a yellow jersey is guarding the goal.,A hockey player wearing a yellow helmet is defending the goal.
"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man is walking past a large sign that says E.S.E. Electronics.,A man is running in front of the E.S.E. electronics store sign.
Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys wearing green shirts and tan pants pose at the top of a slide.,Three boys wearing green shirts and brown pants are posing on the upper side of a ramp.
Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man is dancing with a dog between his legs.,A man dancing with a dog between the benches.
Der weiße Hund läuft im flachen Wasser.,The white dog is running in the shallow water.,The white dog is running in the shallow water.
Schlagzeuger aus Oregon marschieren mit der Band.,Oregon percussionists are marching with the band.,Skiers from Oregon are sliding down the mountain with their ski band on.
Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of children play together in a fenced yard as an adult watches.,A group of kids play in a dirt yard while an adult watches on.
Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,A group of women are playing musical instruments together.,A group of women playing instruments together in unison.
Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl in a purple plaid dress is lying on the floor crying.,A little girl wearing an allviolet dress is lying on the ground and eating something cold.
Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with graying hair shaves his beard.,A man with patterned shirts is smiling while eating his drink.
"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Two black dogs, a black puppy, and a white dog in the snow.",Two black dogs a white dog in the snow.
Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,Man in a Miami basketball uniform jumping to make a shot.,A man playing basketball with a ball from the Miami Heat is doing an airball.
Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,"A woman is sitting outside her house with a blue door, enjoying the air.",A woman is sitting on her porch with a blue umbrella and enjoying the fresh air.
Kinder sitzen auf einem Mann in einem Bananenkostüm.,Kids are sitting on a man in a banana suit.,Children sitting on man eating a banana sandwich.
Ein grauweißer Hund springt über stehendes Wasser im Sand.,A gray and white dog jumping over standing water in the sand.,A gray and white dog jumps over a standing body of water in the sand.
Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd gathered around a park water fountain in the rain.,A crowd of people gathered under an umbrella at a spring fountain in the park.
"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","Several older men, some in traditional headdress convene on a street corner.",Several older men with traditional headgear are walking on a sidewalk together.
"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young Lassie looking dog is in the snow.,A young dog that is looking like lassie in the snow.
Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,The soccer player in the yellow shirt blocks the ball from going into play against his opponent.Instruct
Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman in a black shirt is knitting with purple yarn.,A woman wearing black is holding a red garnish.
Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four females of Asian descent are wearing golden dresses while performing point ballet.,Four Asian women wearing traditional clothing with golden dresses and dancing ballet.
Eine Person spielt auf einem einzigartigen Instrument.,A person is playing an unique instrument.,A person playing on an unusual instrument.
Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,A girl wearing black sportswear with number 1092 on her trike is riding over grass.
"Ein Kind mit der Nummer ""93"" fährt Ski.","A kid crosscountry skis wearing the number ""93"".",A child with the number 93 on his ski jacket is skiing.
"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",A older gentleman and a young girl begin to work on a puzzle together.,An elder man and a young girl are working together on a puzzle.
Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew films a young African boy in a yellow shirt.,A film team is filming an African boy wearing a yellow shirt.
Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A streetlight lit bridge with a cyclist and some cars.,"A bridge with a bicyclist and two cars crossing it, illuminated in the evening light.Instruct"
Ein Mann reitet auf einem Bullen in einem Gehege.,A man rides a kicking bull in a bullpen.,A man is riding on bullback while being pulled by another person.
"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A boy jumping to hit a tennis ball with his racket,A boy jumps high in the air while trying to catch a tennis ball with his racket.
Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Kids scale a wall as two other people watch.,Children are playing on a swing while two other people watch them.
Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People walking about a university campus with palm trees in the background.,People are running across a university campus with trees in the background.
Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,Little girl kicks black object at karate class.,A little girl is taking a class on martial arts while wearing black pants.
Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men trying to hoist themselves up from the water on to a walkway made of tires.,Two men are trying to lift themselves from the water onto a step using ropes.
Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"Two men breakdancing, with a crowd looking on.",A crowd is watching two men break dancing.
Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A professionally dressed woman standing at a podium debating or discussing something of importance.,A professionally dressed woman stands on a podium and debates or discusses something important.
Eine Frau liegt auf einem Sofa und lacht.,A woman is laying down on a sofa laughing.,A woman is laughing on her sofa while lying down.
Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A dirt floor gets swept by one white and one black woman.,A black and white woman walking between a dirty ground.
Ein Reh springt über einen Zaun.,A deer jumps a fence.,A rabbit jumps over a fence.
Drei Hunde spielen auf einem Feld.,Three dogs play with each other out in the field.,Three dogs are playing on a field.
Zwei kleine Kinder auf dem Sand.,Two young children are on sand.,Two little children playing on the sand.
Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling young boy plays in the leaves among the ducks.,A happy boy is playing in the grass with his toys.
Diese vier Personen stehen mit 3 Hunden im Freien.,"These four people are standing outdoors, with 3 dogs.",These four people with three dogs are standing in the outdoors.
Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"While visiting the Mayan ruins, a guide points in the direction of more attractions.",The tour guide is pointing out various sights at the Mayan ruins while on a visit.
Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,Girl wearing radio t-shirt has open mouth,A girl wearing a radio shirt with open world view.
Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A tribal group filling water jugs in the desert.,A group of people filling water tanks in the desert with hoses.
Ein Mann steht auf einer Straße in der Stadt.,A man standing on a city street.,A man stands on the street in city.
Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A flock of birds fly away with food in their beaks.,A flock of birds fly with food in their beaks going away.
Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men ride through farm land as they guide their mule powered trailer.,Two men are riding bicycles over a farm and one is pushing an animaldrawn cart with another man
Zwei Männer stehen auf einem Berggipfel.,Two people stand at the peak of a mountain.,Two men are standing on top of a mountain.
Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,Young girl enjoying herself as she makes a snow angel.,A young girl is having fun while a snow angel machine makes her an angel in the snow.
Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Three guys smiling for camera and showing off their muscles.,Three men are smiling at the camera and showing their muscles.
Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a chalkboard in a empty classroom.,A person is writing on a table at an empty classroom.
Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man in a black shirt sitting at a table with an open Apple laptop in front of him.,A man wearing a black shirt sits with his open laptop at the table eating apple pie.
Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people relaxing on a grassy hill overlooking a rocky valley.,Four people are sitting on grassy hillside with view of rocky mountains in the distance.
Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A boy with a skateboard if jumping in the air along some railway tracks.,A boy on a skateboard jumping over train tracks into the air.
Ein Mann in einem orangefarbenen Shirt spielt Tennis.,There is a man in an orange shirt playing tennis.,A man wearing an orange shirt is playing tennis.
Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The dog with the red collar is bearing its teeth at the dog with the blue collar.,The dog with the red collar is pulling on a blue collar.
Der Junge ist im Freien und genießt einen Sommertag.,The boy is outside enjoying a summer day.,The boy in the yard is enjoying a summer day.
Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,A worker in an orange work suit is kneeling down inspecting a piece of machinery.,A worker wearing an orange shirt is kneeling and inspecting a machine.
Männer in Cowboyhüten stehen bei einem Rodeo herum.,Men in cowboy hats stand around at a rodeo.,Men wearing cowboy hats are standing at a rodeo event.
"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",There are two dogs in the snow and one has something in his mouth.,Two dogs are in the snow one of them has something on its mouth.Instruct Translate
"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",An employee takes a break from working to have a drink,A worker is taking a break so that he can drink something.
Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A beige dog runs behind a white dog holding a yellow toy.,A brown dog runs behind a white dog with a yellow toy.
Hockeyspieler in weißem Trikot mit einem Schläger.,Hockey player in white uniform with stick,Hockey players wearing white helmets and pads with a shoulder pad on their chest are playing hockey.Instruct
Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Man in a white shirt with a gold watch playing with a circuit board.,Man wearing a white shirt and gold bracelet playing with a ball.Instruct Translate German to
"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black horse sticking its head through a fence trying to reach the grass.,A black horse is stepping its head through a fence and trying to graze the grass on top of
"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crackhead is pretending to keep his hands warm but actually he is smoking crack.,A crack addict is about to put his hands up for drugs but he knows its not the truth
Zwei Typen und eine Frau lächeln.,Two guys and a girl smiling.,Two types of people and a woman smiling are shown in this picture.Instruct Translate German
Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",A child is playing with an object made of blue and red plastic while another person watches him do so
Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black-and-white dog goes for a flattened ball on the snow.,A black and white dog runs towards a deflated ball in the snow.
Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl standing next to a yellow cat on a kitchen countertop.,A young girl stands next to a yellow cat on an kitchen work surface.Instruct Translate
Die zwei Kinder Spielen auf dem Spielplatz.,The two kids are playing at the playground.,The two children are playing on the playground.
Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player in a green striped shirt is holding his hand up to his mouth.,A tennis player wearing a green striped shirt holds his hand out toward the ground.
Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy in a red suit plays in the water.,A boy is swimming in a red bathing suit at the pool.
Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A child wearing a red coat and cap is holding a large chunk of snow.,A child with red jacket and hat holds a large piece of snow.
Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two officers with orange jackets stand outside a white tent with onlookers.,Two police officers wearing bright orange uniforms stand with their backs against a white wall holding up signs.
Zwei Personen stehen neben einem Baum.,Two people standing next to a tree on the ground.,Two people are standing next to a tree.
