en,de,ende
A man and two girls show off a fish while holding fishing poles in front of a body of water.,Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,"Ein Mann und zwei Mädchen zeigen einen Fisch, während sie Angelstöcke vor einem Wasserkörper halten."
Man in red shirt watches dog on an agility course.,Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,Der Mann im roten Hemd beobachtet den Hund auf einem Agilitätskurs.
A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,"Ein Junge mit roten und weißen Bademänteln, der in einem schönen Pool nach hinten Taucht."
An Asian woman pinning her hair back.,Eine Asiatin steckt ihre Haare zurück.,"Eine asiatische Frau, die ihre Haare zurück pinning."
An older woman and a young child in a pink shirt playing with multicolored blocks.,Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,Eine ältere Frau und ein junges Kind in einem rosa Hemd spielen mit bunten Blöcken.
A small black dog jumping over gates,Ein kleiner schwarzer Hund springt über Gatter,Ein kleiner schwarzer Hund springt über Tore
A brown-haired man in a green shirt plays a trumpet outdoors.,Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,Ein braunhaariger Mann in grünem Hemd spielt im Freien eine Trompete.
A man talks on the phone with his feet up.,Ein Mann telefoniert mit hochgelegten Füßen.,Ein Mann redet am Telefon mit den Füßen auf.
A group of children sit on a blue mat while they eat out of bowls.,Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,"Eine Gruppe von Kindern sitzen auf einer blauen Matte, während sie aus den Schüsseln essen."
A black boy is sitting in the sand.,Ein schwarzer Junge sitzt im Sand.,Ein schwarzer Junge sitzt im Sand.
A small dog watches two big dogs playing rough in a field.,Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,"Ein kleiner Hund beobachtet zwei große Hunde, die auf einem Feld rau spielen."
People sitting in a circle outside a large building.,"Menschen, die vor einem großen Gebäude im Kreis sitzen.",Menschen sitzen in einem Kreis vor einem großen Gebäude.
One dog leaps to catch a softball while another looks on.,"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.","Ein Hund springt, um einen Softball zu fangen, während ein anderer aufschaut."
A blond child swinging on a swing.,Ein blondes Kind schaukelt auf einer Schaukel.,Ein blondes Kind schwingt auf einer Schaukel.
One man and two women having a discussion over white wine,Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,Ein Mann und zwei Frauen diskutieren über Weißwein
An Asian man is cooking food outdoors.,Ein Asiate bereitet im Freien Essen zu.,Ein asiatischer Mann kocht draußen Essen.
A brown dog about to catch a green Frisbee.,"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",Ein brauner Hund wird einen grünen Frisbee fangen.
Fans cheer as the band plays a song.,Fans jubeln während die Band ein Lied spielt.,"Fans jubeln, während die Band ein Lied spielt."
A young boy is standing next to a sand sculpture of a pyramid.,Ein kleiner Junge steht neben einer Pyramide aus Sand.,Ein junger Junge steht neben einer Sandskulptur einer Pyramide.
Three young children are walking through a grassy yard.,Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Drei junge Kinder gehen durch einen Grasgarten.
A man pounds on an artwork perched on a cart.,Ein Mann grübelt über einer Skulptur auf einem Wagen.,Ein Mann pflegt auf einem Kunstwerk auf einem Wagen.
A man on a bicycle rides on a mountain.,Ein Mann fährt auf einem Berg Fahrrad.,Ein Mann auf einem Fahrrad fährt auf einem Berg.
A boy with blue and yellow rain boots runs on dirt.,Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,Ein Junge mit blauen und gelben Regenschuhen läuft auf Schmutz.
A woman in an orange jacket sits on a bench.,Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,Eine Frau in orangefarbener Jacke sitzt auf einer Bank.
A man doing a trick on skateboard,Ein Mann macht einen Trick auf dem Skateboard,Ein Mann macht einen Trick auf Skateboard
A man in a martial arts uniform in midair.,Ein Mann in einem Karateanzug in der Luft.,Ein Mann in einer Kampfkunst Uniform in der Luft.
Woman selling bags of fruit on a sidewalk.,Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,"Eine Frau, die auf dem Gehweg Früchtetaschen verkauft."
Two soccer teams are on the field.,Zwei Fußballmannschaften auf dem Feld.,Zwei Fußballteams sind auf dem Spielfeld.
A child in a blue shirt jumping off a bench.,Ein Kind in einem blauen Shirt springt von einer Bank.,Ein Kind in einem blauen Hemd springt von einer Bank.
A goalie in a yellow field is protecting the goal.,Ein Torwart in einem gelben Trikot schützt das Tor.,Ein Torhüter im gelben Feld schützt das Ziel.
A group of young people take shots in a Mexican setting.,Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,Eine Gruppe junger Leute machen Aufnahmen in einer mexikanischen Umgebung.
A young man skateboards off a pink railing.,Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,Ein junger Mann skateboards von einem rosa Geländer.
A young boy jumping from a bunk bed on a smaller bed.,Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,Ein junger Junge springt aus einem Etagenbett auf einem kleineren Bett.
"Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.","Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","Zwei Leute, die seltsame Alien-ähnliche Kostüme trugen, eine blaue und eine lila, stehen auf der Straße."
Man running wearing a blue shirt with a number taped to it.,Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,Ein Mann läuft mit einem blauen Hemd mit einer Ziffer darauf aufgeklebt.
An Asian factory worker posing for the camera.,Ein asiatischer Fabrikarbeiter posiert für die Kamera.,Ein asiatischer Fabrikarbeiter posiert für die Kamera.
A man that appears to be running in a marathon gives us 2 thumbs up.,"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.","Ein Mann, der in einem Marathon zu laufen scheint, gibt uns 2 Daumen auf."
Basketball players shoot for a goal during a game.,"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketballspieler schießen für ein Ziel während eines Spiels.
A football player wearing an orange uniform smiling and holding the football.,Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,Ein Fußballspieler in orangefarbener Uniform lächelt und hält den Fußball.
Two downhill skateboarders round a curve while others watch.,Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,"Zwei Downhill-Skateboarder umrunden eine Kurve, während andere beobachten."
A team in white and gold on the sidelines of a football field.,Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,Ein Team in weiß und gold auf der Seite eines Fußballfeldes.
A little girl is pushing her scooter through a grassy tree lined field.,Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,Ein kleines Mädchen drängt ihren Motorroller durch ein Grasbaum gesäumtes Feld.
Group of asian children dressed in white shirts and hats performing with a crowd looking on.,Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,Gruppe asiatischer Kinder in weißen Hemden und Hüten gekleidet mit einer Menge auf der Aufführung.
Pedestrians walking down the street look at a child in a cardboard box.,Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Die Fußgänger auf der Straße schauen auf ein Kind in einer Kartonbox.
A brown dog runs down the sandy beach.,Ein brauner Hund läuft über den Sandstrand.,Ein brauner Hund läuft den Sandstrand hinunter.
Two men in army uniforms stand next to a woman.,Zwei Männer in Armeeuniform stehen neben einer Frau.,Zwei Männer in Militäruniformen stehen neben einer Frau.
"The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.","Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","Der Dali Lama während eines Empfangs, bei dem die Teilnehmer Karnituren, Sonnenschirme und Gebetsflaggen mitgebracht haben."
A biker jumps an obstacle.,Ein Radfahrer springt über eine Hindernis.,Ein Radfahrer springt ein Hindernis.
A couple sitting in white lawn chairs are smiling at the camera.,Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,Ein Paar sitzt in weißen Liegestühlen und lächelt auf die Kamera.
Young kids are on a small train ride.,Kleine Kinder fahren in einem Miniaturzug.,Junge Kinder sind auf einer kleinen Zugfahrt.
A surfer in a blue swimsuit is riding the waves.,Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,Ein Surfer in einem blauen Badeanzug fährt die Wellen.
The boy jumps onto his soccer player brother.,Ein Junge springt auf seinen Fußball spielenden Bruder.,Der Junge springt auf seinen Fußballspieler Bruder.
Two young men on opposing soccer teams are competing to get the ball on a soccer field.,Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Zwei junge Männer in gegensätzlichen Fußballteams kämpfen um den Ball auf einem Fußballfeld zu bekommen.
People are walking on a paved slope surrounded by Chinese vendors.,"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.","Die Menschen gehen auf einem gepflasterten Hang, umgeben von chinesischen Händlern."
A young boy wearing white pants is jumping off the couch.,Ein kleiner Junge in weißen Hosen springt von der Couch.,Ein junger Junge mit weißen Hosen springt von der Couch.
A boy in an orange shirt is pouring Legos from a bag.,Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,Ein Junge in einem orangefarbenen Hemd gießt Legos aus einer Tasche.
"Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.","Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","Frau mit braunen Sandalen und blauen Jeans, in einem weißen Hemd, die ein Baby unter einem hohen Baum hält."
Three people smiling and holding political signs.,Drei Personen lächeln und halten politische Schilder.,Drei Leute lächeln und halten politische Zeichen.
An officer stands next to a car on a city street.,Ein Polizist steht neben einem Auto auf einer städtischen Straße.,Ein Polizist steht neben einem Auto auf einer Stadtstraße.
Two men wearing hats.,Zwei Männer mit Mützen.,Zwei Männer mit Mützen.
A boy in midair trying to kick a soccer ball,Ein Junge ist in der Luft und versucht einen Fußball zu treffen,"Ein Junge in der Luft versucht, einen Fußballball zu schlagen"
A young boy with a blue beanie has his head down.,Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,Ein junger Junge mit einer blauen Beanie hat den Kopf unten.
A red-haired man with dreadlocks is sitting playing and acoustic guitar.,Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,Ein rothaariger Mann mit Dreadlocks sitzt und spielt mit Akustikgitarre.
A man eating a sandwich with his baby daughter in his lap.,Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,"Ein Mann, der einen Sandwich mit seiner kleinen Tochter in den Schoß schlägt."
An African American child is holding something up that those in the picture are proud of.,"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.","Ein afrikanisch-amerikanisches Kind hält etwas auf, auf das die auf dem Bild stolz sind."
A woman directs a crowd of people with a loudspeaker.,Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,Eine Frau richtet eine Menge Leute mit einem Lautsprecher.
Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,"Kostümierte Zuschauer beobachten, wie ein uniformierter Polizist eine Rede hält und ein Mann in einem Anzug eine Schale Obst hält."
A crowd is present at a bar.,Eine Gruppe ist in einer Bar.,Eine Menge ist an einer Bar anwesend.
A girl in white and a girl in green walk past a blue car wash station.,Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,Ein Mädchen in weiß und ein Mädchen in grün gehen vorbei an einer blauen Autowäschestation.
A man is using electronic equipment.,Ein Mann verwendet elektronische Geräte.,Ein Mann benutzt elektronische Geräte.
A person surfing through a crashing wave in the ocean.,Eine Person surft auf einer brechenden Welle auf dem Ozean.,Eine Person surft durch eine stürzende Welle im Ozean.
An army officer is inspecting something.,Ein Armeeoffizier inspiziert etwas.,Ein Militäroffizier überprüft etwas.
A bride and groom kiss under the bride's veil.,Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,Ein Braut und Bräutigam küssen unter dem Schleier der Braut.
Riot police are standing in the background while a young man with a red scarf covering his face is walking.,Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,"Die Polizei steht im Hintergrund, während ein junger Mann mit einem roten Schal, der sein Gesicht bedeckt, läuft."
A black and white dog jumping over a steeple vault at a competition,Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,Ein schwarz-weißer Hund springt auf einer Steiltür bei einem Wettkampf
A woman wearing a sweater is reading a book in her home.,Eine Frau in einer Strickjacke liest zu Hause ein Buch.,"Eine Frau, die einen Pullover trägt, liest ein Buch zu Hause."
Several teenagers are looking over a railing in a dark room.,Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Mehrere Jugendliche schauen über eine Schiene in einem dunklen Raum.
The man in the white t-shirt is starting to climb a rock.,"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",Der Mann im weißen T-Shirt beginnt einen Felsen zu besteigen.
A teenage boy is stretching in the kitchen and you can see part of his stomach.,Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,Ein Teenager Junge streckt sich in der Küche und man sieht einen Teil seines Magens.
People are holding various types of drumsticks above different kinds of drums.,Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,Menschen halten verschiedene Arten von Trommelstäbchen über verschiedene Arten von Trommeln.
Three farmers harvest rice out in a rice field.,Drei Farmer ernten Reis auf einem Feld.,Drei Bauern ernten Reis auf einem Reisfeld.
Two women and a man are looking at a book.,Zwei Frauen und ein Mann betrachten ein Buch.,Zwei Frauen und ein Mann schauen sich ein Buch an.
Three children's legs are shown as they stand near a mess of silly string.,"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.","Drei Kinderbeine werden gezeigt, als sie in der Nähe einer Unordnung von verrückten Saiten stehen."
A cook is posing for a camera while cooking.,Ein Koch posiert beim Kochen für die Kamera.,"Ein Koch posiert für eine Kamera, während er kocht."
Many people in a street protesting the use of coal in power plants.,Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Viele Menschen auf der Straße protestieren gegen den Einsatz von Kohle in Kraftwerken.
The teen jumps the hill with his bicycle.,Der Teenager springt mit seinem Fahrrad über den Hügel.,Der Teenager springt mit seinem Fahrrad auf den Hügel.
A little girl running at on the shore of a beach.,Ein kleines Mädchen läuft entlang einer Küste.,Ein kleines Mädchen läuft am Ufer eines Strandes.
White duck flapping its wings in the water.,Eine weiße Ente schlägt im Wasser mit den Flügeln.,Weiße Ente flappen ihre Flügel im Wasser.
"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"Zwei Männer scheinen sich zu unterhalten, während sie vor dem Rücken eines LKWs und hinter einem Metallgegenstand stehen, während vier Menschen um sie herum stehen."
A woman in a pink skirt is holding a baby.,Eine Frau in einem rosa Rock hält ein Baby.,Eine Frau in einem rosa Rock hält ein Baby.
A hockey player in a yellow jersey is guarding the goal.,Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,Ein Eishockeyspieler in einem gelben Trikot bewacht das Tor.
A man is walking past a large sign that says E.S.E. Electronics.,"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.","Ein Mann geht vorbei an einem großen Schild, auf dem E.S.E. Electronics steht."
Three boys wearing green shirts and tan pants pose at the top of a slide.,Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Drei Jungs mit grünen Hemden und gebräunlichen Hosen stehen am oberen Rande einer Rutsche.
A man is dancing with a dog between his legs.,Ein Mann tanzt mit einem Hund zwischen den Beinen.,Ein Mann tanzt mit einem Hund zwischen seinen Beinen.
The white dog is running in the shallow water.,Der weiße Hund läuft im flachen Wasser.,Der weiße Hund läuft im flachen Wasser.
Oregon percussionists are marching with the band.,Schlagzeuger aus Oregon marschieren mit der Band.,Oregon Perkussionisten marschieren mit der Band.
A group of children play together in a fenced yard as an adult watches.,Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,"Eine Gruppe von Kindern spielt zusammen in einem eingezäunten Hof, wie ein Erwachsener Uhren."
A group of women are playing musical instruments together.,Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,Eine Gruppe von Frauen spielt zusammen Musikinstrumente.
A little girl in a purple plaid dress is lying on the floor crying.,Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,Ein kleines Mädchen in einem lila gestreiften Kleid liegt auf dem Boden und weint.
A man with graying hair shaves his beard.,Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,Ein Mann mit grauen Haaren rasiert seinen Bart.
"Two black dogs, a black puppy, and a white dog in the snow.","Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee."
Man in a Miami basketball uniform jumping to make a shot.,Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,"Ein Mann in Miami Basketball Uniform springt, um einen Schuss zu machen."
"A woman is sitting outside her house with a blue door, enjoying the air.",Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die Luft.
Kids are sitting on a man in a banana suit.,Kinder sitzen auf einem Mann in einem Bananenkostüm.,Kinder sitzen auf einem Mann in Bananenanzug.
A gray and white dog jumping over standing water in the sand.,Ein grauweißer Hund springt über stehendes Wasser im Sand.,Ein grauer und weißer Hund springt über stehendes Wasser im Sand.
A crowd gathered around a park water fountain in the rain.,Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,Eine Menge versammelte sich um einen Park Wasserbrunnen im Regen.
"Several older men, some in traditional headdress convene on a street corner.","Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","Mehrere ältere Männer, einige in traditionellen Kopfbekleidungen, versammeln sich an einer Straßenecke."
A young Lassie looking dog is in the snow.,"Ein junger Hund, der aussieht wie Lassie, im Schnee.",Ein junger Lassie schauender Hund ist im Schnee.
The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,Der Fußballspieler trägt das goldene Trikot und blockiert den Ball vom Gegenspieler.
A woman in a black shirt is knitting with purple yarn.,Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,Eine Frau in einem schwarzen Hemd strickt mit lila Garn.
Four females of Asian descent are wearing golden dresses while performing point ballet.,Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,"Vier Frauen asiatischer Abstammung tragen goldene Kleider, während sie Punktballett spielen."
A person is playing an unique instrument.,Eine Person spielt auf einem einzigartigen Instrument.,Eine Person spielt ein einzigartiges Instrument.
A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,Ein Mädchen trägt schwarze Sportkleidung mit der Nummer 1102 auf ihrem Trikot läuft über etwas Gras.
"A kid crosscountry skis wearing the number ""93"".","Ein Kind mit der Nummer ""93"" fährt Ski.","Ein Kind Langlaufskis mit der Nummer ""93""."
A older gentleman and a young girl begin to work on a puzzle together.,"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",Ein älterer Herr und ein junges Mädchen beginnen gemeinsam an einem Puzzle zu arbeiten.
A film crew films a young African boy in a yellow shirt.,Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,Eine Filmcrew filmt einen jungen afrikanischen Jungen in einem gelben Hemd.
A streetlight lit bridge with a cyclist and some cars.,Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,Eine Straßenbeleuchtung beleuchtete eine Brücke mit einem Radfahrer und einigen Autos.
A man rides a kicking bull in a bullpen.,Ein Mann reitet auf einem Bullen in einem Gehege.,Ein Mann fährt einen Kicking Bull in einem Bullpen.
A boy jumping to hit a tennis ball with his racket,"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen","Ein Junge springt, um einen Tennisball mit seiner Rakete zu schlagen"
Kids scale a wall as two other people watch.,Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,"Kinder skalieren eine Wand, wie zwei andere Leute schauen."
People walking about a university campus with palm trees in the background.,Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,Menschen spazieren über einen Universitätscampus mit Palmen im Hintergrund.
Little girl kicks black object at karate class.,Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,Kleines Mädchen schlägt schwarzes Objekt auf Karate-Klasse.
Two men trying to hoist themselves up from the water on to a walkway made of tires.,Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,"Zwei Männer versuchen, sich vom Wasser auf einen Laufweg aus Reifen zu heben."
"Two men breakdancing, with a crowd looking on.",Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"Zwei Männer Breakdancing, mit einer Menge schaut auf."
A professionally dressed woman standing at a podium debating or discussing something of importance.,Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,"Eine professionell gekleidete Frau, die auf einem Podium steht, um etwas von Bedeutung zu diskutieren."
A woman is laying down on a sofa laughing.,Eine Frau liegt auf einem Sofa und lacht.,Eine Frau liegt auf einem Sofa und lacht.
A dirt floor gets swept by one white and one black woman.,Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,Ein Schmutzboden wird von einer weißen und einer schwarzen Frau gestürzt.
A deer jumps a fence.,Ein Reh springt über einen Zaun.,Ein Hirsch springt ein Zaun.
Three dogs play with each other out in the field.,Drei Hunde spielen auf einem Feld.,Drei Hunde spielen auf dem Spielfeld miteinander.
Two young children are on sand.,Zwei kleine Kinder auf dem Sand.,Zwei kleine Kinder sind auf Sand.
A smiling young boy plays in the leaves among the ducks.,Ein lächelnder Junge spielt im Laub mit den Enten.,Ein lächelnder Junge spielt in den Blättern unter den Enten.
"These four people are standing outdoors, with 3 dogs.",Diese vier Personen stehen mit 3 Hunden im Freien.,"Diese vier Leute stehen draußen, mit 3 Hunden."
"While visiting the Mayan ruins, a guide points in the direction of more attractions.",Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"Während der Besichtigung der Maya Ruinen, zeigt ein Führer in Richtung mehr Sehenswürdigkeiten."
Girl wearing radio t-shirt has open mouth,Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,Mädchen mit Radio T-Shirt hat offenen Mund
A tribal group filling water jugs in the desert.,Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,Eine Stammesgruppe füllt Wasserbecher in der Wüste.
A man standing on a city street.,Ein Mann steht auf einer Straße in der Stadt.,"Ein Mann, der auf einer Stadtstraße steht."
A flock of birds fly away with food in their beaks.,Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,Eine Schar Vögel fliegen weg mit Nahrung in ihren Schnabeln.
Two men ride through farm land as they guide their mule powered trailer.,Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,"Zwei Männer fahren durch landwirtschaftliche Flächen, während sie ihre mule angetriebene Anhänger leiten."
Two people stand at the peak of a mountain.,Zwei Männer stehen auf einem Berggipfel.,Zwei Menschen stehen am Gipfel eines Berges.
Young girl enjoying herself as she makes a snow angel.,Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,"Junges Mädchen genießt sich, wie sie einen Schnee Engel macht."
Three guys smiling for camera and showing off their muscles.,Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Drei Jungs lächeln für die Kamera und zeigen ihre Muskeln.
A person is writing on a chalkboard in a empty classroom.,Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,Eine Person schreibt auf einem Kreidebrett in einem leeren Klassenzimmer.
A man in a black shirt sitting at a table with an open Apple laptop in front of him.,Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,Ein Mann in schwarzem Hemd sitzt an einem Tisch mit einem offenen Apple-Laptop vor ihm.
Four people relaxing on a grassy hill overlooking a rocky valley.,Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Vier Personen entspannen auf einem grasigen Hügel mit Blick auf ein felsiges Tal.
A boy with a skateboard if jumping in the air along some railway tracks.,Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,"Ein Junge mit einem Skateboard, wenn er in der Luft entlang einiger Bahngleise springt."
There is a man in an orange shirt playing tennis.,Ein Mann in einem orangefarbenen Shirt spielt Tennis.,"Es gibt einen Mann in einem orangenfarbenen Hemd, der Tennis spielt."
The dog with the red collar is bearing its teeth at the dog with the blue collar.,Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,Der Hund mit dem roten Kragen trägt seine Zähne an den Hund mit dem blauen Kragen.
The boy is outside enjoying a summer day.,Der Junge ist im Freien und genießt einen Sommertag.,Der Junge ist draußen und genießt einen Sommertag.
A worker in an orange work suit is kneeling down inspecting a piece of machinery.,Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,"Ein Arbeiter in orangefarbenem Arbeitsanzug kniet, um ein Stück Maschinerie zu prüfen."
Men in cowboy hats stand around at a rodeo.,Männer in Cowboyhüten stehen bei einem Rodeo herum.,Männer in Cowboy-Mützen stehen bei einem Rodeo herum.
There are two dogs in the snow and one has something in his mouth.,"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",Es gibt zwei Hunde im Schnee und einer hat etwas in seinem Mund.
An employee takes a break from working to have a drink,"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.","Ein Mitarbeiter macht eine Pause von der Arbeit, um zu trinken"
A beige dog runs behind a white dog holding a yellow toy.,Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,"Ein beige Hund läuft hinter einem weißen Hund, der ein gelbes Spielzeug hält."
Hockey player in white uniform with stick,Hockeyspieler in weißem Trikot mit einem Schläger.,Hockeyspieler in weißer Uniform mit Stick
Man in a white shirt with a gold watch playing with a circuit board.,Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Ein Mann in einem weißen Hemd mit einer goldenen Uhr spielt mit einem Schaltbrett.
A black horse sticking its head through a fence trying to reach the grass.,"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.","Ein schwarzes Pferd, das seinen Kopf durch einen Zaun schlägt und versucht, das Gras zu erreichen."
A crackhead is pretending to keep his hands warm but actually he is smoking crack.,"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.","Ein crackhead versucht, seine Hände warm zu halten, aber tatsächlich raucht er crack."
Two guys and a girl smiling.,Zwei Typen und eine Frau lächeln.,Zwei Jungs und ein Mädchen lächeln.
"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"Ein Kind lehnt sich über ein Display aus blauem und gelbem Kunststoff, während ein Erwachsener darauf schaut."
