de,en,predicted_de
Ein Junge lehnt sich an ein Auto mit Blumen auf der Motorhaube.,A boy is leaning on a car with flowers on the hood.,Ein Junge lehnt sich an einem Auto mit Blumen am Hügel
Eine Frau in einem Kleid mit Blumenmuster spricht mit Kindern vor einem Kleinbus.,A woman in a floral dress talks to children in front of a van.,Eine Frau im Blumenkleid spricht vor einem Geländer z
Ein Mann an seinem Hochzeitstag.,A man on his wedding day.,"Ein Mann auf ihren Hochzeitstag. 


Exercise 2"
Eine junge Frau in einem schwarzen T-Shirt und Jeans beim Kehren.,A young woman with a black shirt and jeans sweeping.,Eine junge Frau mit schwarzem Hemd und Jeans rieselt e
Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,Woman with a hat on climbing a cliff near a large body of water.,Eine Frau mit einem Hut klettert in der Nähe von einer gro
Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A big black poodle running on the grass with a toy in its mouth.,Ein großer schwarzer Pudel rennt mit einem Spielzeug im
Ein Junge in Shorts macht einen Skateboard-Trick.,A boy in shorts doing a skateboard trick.,"Ein Junge im Shorts macht einen Skateboardtrick. 

     "
Ein kleiner Junge in roten Hosen steht auf der Straße.,A little boy dressed in red pants is standing in the street.,"Ein kleiner Junge, der eine rote Hose trägt und die"
"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman texts on her phone while surrounded by umbrellas.,"Eine Frau führt sich mit einer Stelle um, dabei"
"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.","Eight men play instruments on stage, with a guitarist highlighted in lights.",Acht Männer spielen Instrumente auf einer Bühne und
Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,A man in an orange jumpsuit and matching hard hat is helping with a blue hose,Ein Mann mit einem orangen Trikot und einer kleineren Sch
Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls show off a fish while holding fishing poles in front of a body of water.,Ein Mann und zwei Mädchen zeigen eine Fische vor einem
Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,Man in red shirt watches dog on an agility course.,Ein Mann im roten Hemd beobachtet einem Hund auf einer
Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,Ein Junge mit rot-weißen Badehose springt bei einem
Eine Asiatin steckt ihre Haare zurück.,An Asian woman pinning her hair back.,"Eine asiatische Frau schießt den Haar hoch. 

"
Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a young child in a pink shirt playing with multicolored blocks.,Eine ältere Frau und ein kleines Kind mit rosafarben
Ein kleiner schwarzer Hund springt über Gatter,A small black dog jumping over gates,Ein kleiner schwarzer Hund springt über Gängen.
Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A brown-haired man in a green shirt plays a trumpet outdoors.,Ein brauner Mann im grünen Hemd spielt im Freien Trompet
Ein Mann telefoniert mit hochgelegten Füßen.,A man talks on the phone with his feet up.,Ein Mann telefoniert mit seinen Tochten auf dem Boden. 
Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children sit on a blue mat while they eat out of bowls.,Eine Gruppe Kinder sitzt auf einem blauen Mat und isst von
Ein schwarzer Junge sitzt im Sand.,A black boy is sitting in the sand.,"Ein schwarzer Junge sitzt im Sand. 


Exercise 1:"
Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog watches two big dogs playing rough in a field.,"Ein kleiner Hund betrachtet zwei große Hunde,"
"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle outside a large building.,Leute sitzen im Kreis vor einem großen Gebäude. 
"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",One dog leaps to catch a softball while another looks on.,"Ein Hund springt, um einen Softball zu fangen, wä"
Ein blondes Kind schaukelt auf einer Schaukel.,A blond child swinging on a swing.,"Ein blonder Kind schwingt an einem Schaukel. 


"
Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,One man and two women having a discussion over white wine,Ein Mann und zwei Frauen unterhalten sich über wei
Ein Asiate bereitet im Freien Essen zu.,An Asian man is cooking food outdoors.,"Ein asiatischer Mann kocht im Freien Essen. 


"
"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog about to catch a green Frisbee.,"Ein brauner Hund, die einen grünen Frischenwirbel z"
Fans jubeln während die Band ein Lied spielt.,Fans cheer as the band plays a song.,"Bandschaftspersören jubeln, während die Band ein"
Ein kleiner Junge steht neben einer Pyramide aus Sand.,A young boy is standing next to a sand sculpture of a pyramid.,"Ein Junge steht neben einem Sandpyramid. 


Exercise 1"
Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three young children are walking through a grassy yard.,"Drei junges Kinde laufen durch eine Wiese. 


"
Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man pounds on an artwork perched on a cart.,"Ein Mann schlägt einen Kunstwerke, der in einem Wagen"
Ein Mann fährt auf einem Berg Fahrrad.,A man on a bicycle rides on a mountain.,Ein Mann fährt mit einem Fahrrad an einer Berge. 
Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A boy with blue and yellow rain boots runs on dirt.,Ein Junge mit blauen und gelben Regenschuhen rennt auf
Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman in an orange jacket sits on a bench.,Eine Frau mit einem orangen Jacke sitzt auf einer Bank
Ein Mann macht einen Trick auf dem Skateboard,A man doing a trick on skateboard,Ein Mann macht einen Kunststück auf dem Skateboard. 
Ein Mann in einem Karateanzug in der Luft.,A man in a martial arts uniform in midair.,"Ein Mann im Kampfsportanzug, der in der Luft befindet. "
Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,Woman selling bags of fruit on a sidewalk.,Eine Frau verkauft Bäckelschirm an einer Gehwe
Zwei Fußballmannschaften auf dem Feld.,Two soccer teams are on the field.,Zwei Fußball-Spielvereine sind auf dem Feld zu seinen
Ein Kind in einem blauen Shirt springt von einer Bank.,A child in a blue shirt jumping off a bench.,Ein Kind mit einem blauen Hemd springt von einer Bank hoch.
Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie in a yellow field is protecting the goal.,"Ein Spieler im gelben Feld versucht, den Schluss zu schüp"
Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people take shots in a Mexican setting.,Eine Gruppe junger Menschen macht einige Wasserstoffen in Mex
Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man skateboards off a pink railing.,Ein junger Mann fährt mit dem Skateboard von einer rosa Gel
Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A young boy jumping from a bunk bed on a smaller bed.,Ein kleiner Junge springt von einem Bunkbedeckung zu
"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.","Zwei Personen mit freiem älteren Alienkostümen, eine bl"
Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,Man running wearing a blue shirt with a number taped to it.,Ein Mann in einem blauen Hemd mit einer Nummer zu der Ober
Ein asiatischer Fabrikarbeiter posiert für die Kamera.,An Asian factory worker posing for the camera.,Ein asiatischer Arbeitsarbeiters posiert für die Kamera.
"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man that appears to be running in a marathon gives us 2 thumbs up.,"Ein Mann, das einen Marathon läuft und wird zwei Schild"
"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players shoot for a goal during a game.,Basketballspieler wirren bei einem Spiel für den Stück
Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player wearing an orange uniform smiling and holding the football.,Ein Footballspieler in einem orangen Trikot lächelt und
Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skateboarders round a curve while others watch.,"Zwei Skateboarder fahren einen Kurve, während andere"
Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,A team in white and gold on the sidelines of a football field.,"Ein Team im weiß-golden Trikot, die am Hintergrund"
Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A little girl is pushing her scooter through a grassy tree lined field.,Ein kleines Mädchen schiebt ihren Roller durch eine
Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,"Eine Gruppe von asiatischen Kindern, die weiße Hemden und"
Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Pedestrians walking down the street look at a child in a cardboard box.,Fußgänger gehen die Straße entlang und schauen sich
Ein brauner Hund läuft über den Sandstrand.,A brown dog runs down the sandy beach.,"Ein brauner Hund rennt den sandigen Strand hinein. 


"
Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men in army uniforms stand next to a woman.,Zwei Männer im Heeranzug stehen neben einer Frau.
"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.","Die Dalai Lama befindet sich in einem Reception an, während die"
Ein Radfahrer springt über eine Hindernis.,A biker jumps an obstacle.,"Ein Radfahrer springt über einen Obstaktiv. 

"
Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple sitting in white lawn chairs are smiling at the camera.,Ein Paar sitzt auf weißen Schlafstühlen und
Kleine Kinder fahren in einem Miniaturzug.,Young kids are on a small train ride.,"Junge Kinder fahren einen kleinen Zug an. 

"
Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfer in a blue swimsuit is riding the waves.,Ein Surfer in blauer Badeanzug reitet dabei die Waves
Ein Junge springt auf seinen Fußball spielenden Bruder.,The boy jumps onto his soccer player brother.,Der Junge springt auf seinem Fußballspielerbrottel. 
Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men on opposing soccer teams are competing to get the ball on a soccer field.,"Zwei junge Männer, die an einem Fußballspiel geg"
"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People are walking on a paved slope surrounded by Chinese vendors.,Leute gehen ein gepflastertes Berg um japanischen Verkau
Ein kleiner Junge in weißen Hosen springt von der Couch.,A young boy wearing white pants is jumping off the couch.,Ein kleiner Junge in weißen Hosen springt von der Couch h
Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy in an orange shirt is pouring Legos from a bag.,Ein Junge in einem orangen Hemd pflückt Lego aus
"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",Eine Frau mit braunen Sandalzen und blauen Jeans in einem
Drei Personen lächeln und halten politische Schilder.,Three people smiling and holding political signs.,"Drei lächelnde Leute halten politische Schildern. 

     "
Ein Polizist steht neben einem Auto auf einer städtischen Straße.,An officer stands next to a car on a city street.,Ein Offizier steht neben einem Auto auf der Straße in der
Zwei Männer mit Mützen.,Two men wearing hats.,"Zwei Männer mit Huten. 
"
Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A boy in midair trying to kick a soccer ball,"Ein Junge, der in der Luft eine Fußball versucht zu"
Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A young boy with a blue beanie has his head down.,Ein kleiner Junge mit einem blauen Hülsenkopf
Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A red-haired man with dreadlocks is sitting playing and acoustic guitar.,Ein rothaariger Mann mit Schmacken sitzt und spielt auf
Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eating a sandwich with his baby daughter in his lap.,"Ein Mann, der mit seinem Kindsänger im Schoß essen is"
"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",An African American child is holding something up that those in the picture are proud of.,"Ein afroamerikanische Kind hält etwas zu, die sich im"
Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman directs a crowd of people with a loudspeaker.,Eine Frau zeigt ein Menschenmenge mit einer Lautgesch
Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,"Kostümliche Zuschauer betrachten, wie ein Uniform"
Eine Gruppe ist in einer Bar.,A crowd is present at a bar.,"Eine Menschenmenge sind in einem Bar befindet. 


Ex"
Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A girl in white and a girl in green walk past a blue car wash station.,Ein Mädchen in weiß und eine grüne Mädche
Ein Mann verwendet elektronische Geräte.,A man is using electronic equipment.,"Ein Mann benutzt Elektronikgeräte. 


Exercise 1"
Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person surfing through a crashing wave in the ocean.,"Eine Person surft durch einen schrecken Wasser im Meer. 

"
Ein Armeeoffizier inspiziert etwas.,An army officer is inspecting something.,"Ein Heeroberdienstmann berichtet etwas zu. 


"
Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the bride's veil.,Eine Braut und ein Brädler küsse sich unter dem
Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,"Rettungspolizei stehen im Hintergrund, während e"
Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumping over a steeple vault at a competition,Ein schwarz-weißer Hund springt über eine Steep
Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman wearing a sweater is reading a book in her home.,"Eine Frau mit einem Pullover liest im Freien ein Buch. 

"
Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teenagers are looking over a railing in a dark room.,Mehrere Teenager schauen über eine Gelände im dunklen
"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white t-shirt is starting to climb a rock.,Der Mann im weißen T-Shirt klettert einen Felsen hin
Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,A teenage boy is stretching in the kitchen and you can see part of his stomach.,Ein Teenager streckt sich im Küchen und es sichtbar von i
Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People are holding various types of drumsticks above different kinds of drums.,Personen halten verschiedene Stühlen auf einem anderen Kindes
Drei Farmer ernten Reis auf einem Feld.,Three farmers harvest rice out in a rice field.,Drei Bauern werden eine Wiese mit Risestoff ges
Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book.,Zwei Frauen und ein Mann betrachten sich eine Buch an.
"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Three children's legs are shown as they stand near a mess of silly string.,"Drei Kinder beim Zuschauen nehmen den Trennern, die"
Ein Koch posiert beim Kochen für die Kamera.,A cook is posing for a camera while cooking.,"Ein Küchenteil posiert für eine Kamera, wä"
Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people in a street protesting the use of coal in power plants.,Viele Personen protestieren den Ausschluss mit Kohlen an der Kraftwer
Der Teenager springt mit seinem Fahrrad über den Hügel.,The teen jumps the hill with his bicycle.,"Der Teen springt mit seinem Fahrrad die Hügel hoch. 


"
Ein kleines Mädchen läuft entlang einer Küste.,A little girl running at on the shore of a beach.,"Ein kleines Mädchen, der am Strand einen Laufen gek"
Eine weiße Ente schlägt im Wasser mit den Flügeln.,White duck flapping its wings in the water.,Ein weißer Pudel flächtet die Luft im Wasser.
Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",Zwei Männer stehen vor einem Lastwagen und hinter einer Metall
Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink skirt is holding a baby.,"Eine Frau mit einem rosa Rock hält ein Baby. 


"
Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player in a yellow jersey is guarding the goal.,"Ein Hockeyspieler im gelben Trikot, der den Goal schüttet"
"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man is walking past a large sign that says E.S.E. Electronics.,"Ein Mann geht an einem großen Schild vorbei, der �"
Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys wearing green shirts and tan pants pose at the top of a slide.,Drei Jungen in grünem Hemd und hellbraunen Hosen posie
Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man is dancing with a dog between his legs.,Ein Mann tanzt mit einem Hund in der Nähe ihrer Le
Der weiße Hund läuft im flachen Wasser.,The white dog is running in the shallow water.,"Der weiße Hund rennt im schlammeln Wasser. 


"
Schlagzeuger aus Oregon marschieren mit der Band.,Oregon percussionists are marching with the band.,"Percussionisten aus Oregons marchten mit der Band. 


Exercise"
Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of children play together in a fenced yard as an adult watches.,"Eine Gruppe Kinder spielt zusammen im Zaun, während"
Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,A group of women are playing musical instruments together.,Eine Gruppe Frauen spielt musikalisch zusammen. 
Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl in a purple plaid dress is lying on the floor crying.,Ein kleines Mädchen im violetten Plaidanz liegt be
Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with graying hair shaves his beard.,"Ein Mann mit grauen Haaren schneidet seinen Bart. 

"
"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Two black dogs, a black puppy, and a white dog in the snow.","Zwei schwarze Hunde, ein schwarzer Puppy und ein we"
Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,Man in a Miami basketball uniform jumping to make a shot.,"Ein Mann im einem Basketsport-Uniform springt, um den Schlag"
Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,"A woman is sitting outside her house with a blue door, enjoying the air.",Eine Frau sitzt im Freien an ihrem Haus mit einem bl
Kinder sitzen auf einem Mann in einem Bananenkostüm.,Kids are sitting on a man in a banana suit.,"Kinder sitzen an einem Mann im Banananzünder. 


"
Ein grauweißer Hund springt über stehendes Wasser im Sand.,A gray and white dog jumping over standing water in the sand.,Ein grauer und weißer Hund springt über stehendem W
Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd gathered around a park water fountain in the rain.,Eine Menschenmenge ist um einen Wasserbrunnen im Regen z
"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","Several older men, some in traditional headdress convene on a street corner.","Mehrere ältere Männer, einige mit traditionellen Kopf"
"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young Lassie looking dog is in the snow.,"Ein kleines Lassie, der im Schnee liegt. 


Ex"
Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,Ein Fußballspieler in der Goldjeruetten wird die Ball von
Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman in a black shirt is knitting with purple yarn.,Eine Frau mit schwarzem Hemd kniert mit violetten Sch
Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four females of Asian descent are wearing golden dresses while performing point ballet.,Vier Frauen von Asien in goldfarbenem Kleidung führen
Eine Person spielt auf einem einzigartigen Instrument.,A person is playing an unique instrument.,"Eine Person spielt ein ungewöhnliches Instrument. 


Ex"
Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,Ein Mädchen in schwarzer Sportkleidung mit der Nummer 
"Ein Kind mit der Nummer ""93"" fährt Ski.","A kid crosscountry skis wearing the number ""93"".",Ein Kind fährt mit der Nummer „93“ Kletter-Cross
"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",A older gentleman and a young girl begin to work on a puzzle together.,Ein älterer Herr und eine junge Mädchen arbeiten
Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew films a young African boy in a yellow shirt.,Eine Filmkreis füllt ein junges afrikanischer Junge
Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A streetlight lit bridge with a cyclist and some cars.,Ein Straßenlicht mit einem Radfahrer und von mehreren
Ein Mann reitet auf einem Bullen in einem Gehege.,A man rides a kicking bull in a bullpen.,Ein Mann fährt einen Kickingbullen in einem Bullpensch
"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A boy jumping to hit a tennis ball with his racket,"Ein Junge springt, um einen Tennisball mit seinem Schläger zu"
Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Kids scale a wall as two other people watch.,"Kinder schaukeln ein Wand, während zwei andere Personen z"
Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People walking about a university campus with palm trees in the background.,Leute gehen über eine Universitätscampus mit Palmen im Hinter
Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,Little girl kicks black object at karate class.,"Ein kleines Mädchen bei Karate-Klassen, um e"
Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men trying to hoist themselves up from the water on to a walkway made of tires.,"Zwei Männer versuchen, den Wasser zu erhöfen und"
Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"Two men breakdancing, with a crowd looking on.",Zwei Männer tanzen im Break Dance und eine Menschenmenge betr
Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A professionally dressed woman standing at a podium debating or discussing something of importance.,"Eine professionell gekleidete Frau, die an einer Podium beant"
Eine Frau liegt auf einem Sofa und lacht.,A woman is laying down on a sofa laughing.,"Eine Frau liegt in einem Sofa und lacht. 


"
Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A dirt floor gets swept by one white and one black woman.,Eine Schussfläche beim Schlauch von einer weißen und
Ein Reh springt über einen Zaun.,A deer jumps a fence.,"Ein Hühner springt über einen Zaun. 

"
Drei Hunde spielen auf einem Feld.,Three dogs play with each other out in the field.,"Drei Hunde spielen auf dem Feld zusammen. 


"
Zwei kleine Kinder auf dem Sand.,Two young children are on sand.,"Zwei kleine Kinder sind auf Sand. 


"
Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling young boy plays in the leaves among the ducks.,Ein lächelnder kleiner Junge spielt im Blumen über
Diese vier Personen stehen mit 3 Hunden im Freien.,"These four people are standing outdoors, with 3 dogs.",Dieses Vier Menschen stehen draußen mit drei Hunde
Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"While visiting the Mayan ruins, a guide points in the direction of more attractions.",Ein Besitzer bei den Schlossen des Kayserreiches zeigt
Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,Girl wearing radio t-shirt has open mouth,Ein Mädchen in einem Radio-T-Shirt hat die Augen a
Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A tribal group filling water jugs in the desert.,"Eine Tribüne versammelt Wasserschläger im Erden. 

"
Ein Mann steht auf einer Straße in der Stadt.,A man standing on a city street.,"Ein Mann steht auf einer städtischen Straße. 
"
Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A flock of birds fly away with food in their beaks.,Eine Flügel von Schwanen fährt mit Essern im Beich a
Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men ride through farm land as they guide their mule powered trailer.,Zwei Männer fahren durch ein Bauernhof und sind
Zwei Männer stehen auf einem Berggipfel.,Two people stand at the peak of a mountain.,Zwei Personen stehen am Hochgebirg eines Bergsteins. 
Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,Young girl enjoying herself as she makes a snow angel.,"Ein junges Mädchen, der sich genießt als er e"
Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Three guys smiling for camera and showing off their muscles.,Drei Männer lächeln für die Kamera und zeigen ih
Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a chalkboard in a empty classroom.,Eine Person schreibt einen Schilderblatt an einem unentsch
Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man in a black shirt sitting at a table with an open Apple laptop in front of him.,Ein Mann im schwarzen Hemd sitzt an einem Tisch mit einer
Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people relaxing on a grassy hill overlooking a rocky valley.,Vier Menschen ruhen sich an einem Wiesen auf einer grü
Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A boy with a skateboard if jumping in the air along some railway tracks.,Ein Junge mit einem Skateboard springt auf einer Eisenbahnlin
Ein Mann in einem orangefarbenen Shirt spielt Tennis.,There is a man in an orange shirt playing tennis.,"Ein Mann im orangen Hemd spielt Tennis. 

"
Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The dog with the red collar is bearing its teeth at the dog with the blue collar.,Der Hund mit der roten Mauerhose beart den Schädel an dem H
Der Junge ist im Freien und genießt einen Sommertag.,The boy is outside enjoying a summer day.,Das Junge liegt im Freien und genießt ein Sommertag. 
Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,A worker in an orange work suit is kneeling down inspecting a piece of machinery.,Ein Arbeiter im orangen Bewerbungsteil kniet und beob
Männer in Cowboyhüten stehen bei einem Rodeo herum.,Men in cowboy hats stand around at a rodeo.,Männer mit Cowboyhuten stehen um einer Rodeo herum.
"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",There are two dogs in the snow and one has something in his mouth.,Zwei Hunde im Schnee und ein hält etwas auf seinem
"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",An employee takes a break from working to have a drink,Ein Arbeiter macht einen Rückgang von arbeiten und bringt
Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A beige dog runs behind a white dog holding a yellow toy.,Ein beigefarbener Hund läuft hinter einem wei
Hockeyspieler in weißem Trikot mit einem Schläger.,Hockey player in white uniform with stick,"Ein Mann im weißen Trikot mit einem Stock, der Hockey spi"
Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Man in a white shirt with a gold watch playing with a circuit board.,Ein Mann mit einem weißen Hemd und einer Goldschwangelement
"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black horse sticking its head through a fence trying to reach the grass.,"Ein schwarzer Pferd, der seinen Kopf durch eine Zange"
"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crackhead is pretending to keep his hands warm but actually he is smoking crack.,"Ein Crackhead, der sich mit dem Hander auszugängt z"
Zwei Typen und eine Frau lächeln.,Two guys and a girl smiling.,"Zwei Männer und ein Mädchen lächeln. 

"
Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",Ein Kind lehnt sich über eine Plastikausstellung
Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black-and-white dog goes for a flattened ball on the snow.,Ein schwarz-weißer Hund fährt einen gesch
