de,en,predicted_de,predicted_en
Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,Woman with a hat on climbing a cliff near a large body of water.,,"A woman with an umbrella walks along the shore of a large lake.
"
Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A big black poodle running on the grass with a toy in its mouth.,,"A large black dog is running on the grass with a ball in its mouth.
"
Ein Junge in Shorts macht einen Skateboard-Trick.,A boy in shorts doing a skateboard trick.,,"A young man performs a skateboarding trick.
"
Ein kleiner Junge in roten Hosen steht auf der Straße.,A little boy dressed in red pants is standing in the street.,,"A small boy is walking on the street wearing red shorts.
"
"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman texts on her phone while surrounded by umbrellas.,,"A woman tips on her handkerchief for raindrops.
"
"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.","Eight men play instruments on stage, with a guitarist highlighted in lights.",,"Eight men are playing on the stage while a guitarist is shining in spotlight.
"
Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,A man in an orange jumpsuit and matching hard hat is helping with a blue hose,,"A man wearing a yellow overall and carrying an umbrella helps with a blue shower.
"
Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls show off a fish while holding fishing poles in front of a body of water.,,"A man and two girls went fishing at a lake.
"
Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,Man in red shirt watches dog on an agility course.,,"A man wearing a red shirt is seen running after the dog during the chase.
"
Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.,,A young boy jumps back into a beautiful pool after splashing around with his red rubber ducky.
Eine Asiatin steckt ihre Haare zurück.,An Asian woman pinning her hair back.,,"An Asian woman is combing her hair back.
"
Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a young child in a pink shirt playing with multicolored blocks.,,"A young girl and an old woman are playing with colorful blocks.
"
Ein kleiner schwarzer Hund springt über Gatter,A small black dog jumping over gates,,"A little black dog jumps over the cat.
"
Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A brown-haired man in a green shirt plays a trumpet outdoors.,,"A man with brown hair plays the trumpet in a green field.
"
Ein Mann telefoniert mit hochgelegten Füßen.,A man talks on the phone with his feet up.,,"A man is calling with a high pitched voice.
"
Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children sit on a blue mat while they eat out of bowls.,,"A group of children sits on the blue mat and comes out from behind the bushes.
"
Ein schwarzer Junge sitzt im Sand.,A black boy is sitting in the sand.,,"A black boy sits on the sand.
"
Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog watches two big dogs playing rough in a field.,,"A little dog is running like two big dogs on a field playfully.
"
"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle outside a large building.,,"People living in a large city near the countryside.
"
"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",One dog leaps to catch a softball while another looks on.,,"A dog ran after a ball, while another one followed behind.
"
Ein blondes Kind schaukelt auf einer Schaukel.,A blond child swinging on a swing.,,"A blonde child is playing on a swing.
"
Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,One man and two women having a discussion over white wine,,"A man and two women are debating and drinking white wine.
"
Ein Asiate bereitet im Freien Essen zu.,An Asian man is cooking food outdoors.,,"A sandwich is prepared in the free kitchen.
"
"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog about to catch a green Frisbee.,,"A brown dog is short by a few seconds, it's time for fetching the frisbee"
Fans jubeln während die Band ein Lied spielt.,Fans cheer as the band plays a song.,,"The fans celebrate when the band plays a song.
"
Ein kleiner Junge steht neben einer Pyramide aus Sand.,A young boy is standing next to a sand sculpture of a pyramid.,,"A little boy stands next to a pyramid made of sand.
"
Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three young children are walking through a grassy yard.,,"Three little children are going through a grassy field.
"
Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man pounds on an artwork perched on a cart.,,"A man is standing on top of a sculpture in front of a car.
"
Ein Mann fährt auf einem Berg Fahrrad.,A man on a bicycle rides on a mountain.,,"A man rides his bicycle up a hill.
"
Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A boy with blue and yellow rain boots runs on dirt.,,"A young boy is flying on the back of a blue gumdrop cloud.
"
Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman in an orange jacket sits on a bench.,,"A woman is sitting on a green bench.
"
Ein Mann macht einen Trick auf dem Skateboard,A man doing a trick on skateboard,,"A man can do tricks on the skateboard.
"
Ein Mann in einem Karateanzug in der Luft.,A man in a martial arts uniform in midair.,,"A man on a karate flight in the air.
"
Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,Woman selling bags of fruit on a sidewalk.,,"A woman buys an Easter basket with chocolates.
"
Zwei Fußballmannschaften auf dem Feld.,Two soccer teams are on the field.,,"Two football teams on the field.
"
Ein Kind in einem blauen Shirt springt von einer Bank.,A child in a blue shirt jumping off a bench.,,"A child jumps from a blue bank into the water.
"
Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie in a yellow field is protecting the goal.,,"A tower of three towers protects the entrance.
"
Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people take shots in a Mexican setting.,,"A group of young people is drinking shots at a Mexican setting.
"
Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man skateboards off a pink railing.,,"A young boy rides a skateboard over a pink flower bed.
"
Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A young boy jumping from a bunk bed on a smaller bed.,,"A small boy jumped from one stockade into a little pond.
"
"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.",,Two people are waiting for a bus on a street. One is wearing red and the other is wearing
Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,Man running wearing a blue shirt with a number taped to it.,,"A man wearing a blue shirt with an untucked number on it.
"
Ein asiatischer Fabrikarbeiter posiert für die Kamera.,An Asian factory worker posing for the camera.,,"An Asian factory worker is employed for the camera.
"
"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man that appears to be running in a marathon gives us 2 thumbs up.,,A man who is running a marathon suddenly looks up and sees two moons in the sky above him.
"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players shoot for a goal during a game.,,"Basketball players try during a game to score a basket.
"
Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player wearing an orange uniform smiling and holding the football.,,"A football player is wearing an orange jersey and holding a ball.
"
Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skateboarders round a curve while others watch.,,"Two downhill skaters are going around a curve while others watch on the sidelines.
"
Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,A team in white and gold on the sidelines of a football field.,,"A team of white and gold on the sidelines of a football field.
"
Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A little girl is pushing her scooter through a grassy tree lined field.,,"A little girl rides her skateboard over a grassy field with trees.
"
Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,,"A group of Asian children playing in white sand and rocks has a presentation before the audience.
"
Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,Pedestrians walking down the street look at a child in a cardboard box.,,"A stranger on the street sees a child in a paper bag.
"
Ein brauner Hund läuft über den Sandstrand.,A brown dog runs down the sandy beach.,,"A brown dog is running on the beach.
"
Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men in army uniforms stand next to a woman.,,"Two men are standing next to a woman.
"
"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.",,"The Dalai Lama greets his guests with a bow and presents them with offerings of tea, sweets, and"
Ein Radfahrer springt über eine Hindernis.,A biker jumps an obstacle.,,"A cyclist jumps over a hurdle.
"
Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple sitting in white lawn chairs are smiling at the camera.,,"A couple is sitting on white garden chairs and watching the camera.
"
Kleine Kinder fahren in einem Miniaturzug.,Young kids are on a small train ride.,,"Little children are riding on a miniature train.
"
Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfer in a blue swimsuit is riding the waves.,,"A surfer riding a wave at sunset on a blue neoprene suit.
"
Ein Junge springt auf seinen Fußball spielenden Bruder.,The boy jumps onto his soccer player brother.,,"A young boy plays soccer with his brother at the park.
"
Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men on opposing soccer teams are competing to get the ball on a soccer field.,,Two young men from different football clubs are trying to get on the field and play with the ball.
"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People are walking on a paved slope surrounded by Chinese vendors.,,"People are walking on a crowded and noisy street, surrounded by Chinese hand fans.
"
Ein kleiner Junge in weißen Hosen springt von der Couch.,A young boy wearing white pants is jumping off the couch.,,"A little boy jumps off the couch.
"
Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy in an orange shirt is pouring Legos from a bag.,,"A young man in an orange shirt puts on leg warmers from his bag.
"
"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",,"A woman wearing brown sandals, blue jeans and a white shirt holds an infant under a big tree"
Drei Personen lächeln und halten politische Schilder.,Three people smiling and holding political signs.,,"Three people are waiting and holding peaceful signs.
"
Ein Polizist steht neben einem Auto auf einer städtischen Straße.,An officer stands next to a car on a city street.,,"A police officer stands next to a city bus on a street corner.
"
Zwei Männer mit Mützen.,Two men wearing hats.,,"Two men with a mustache.
"
Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A boy in midair trying to kick a soccer ball,,"A young man is playing football and trying to score a goal.
"
Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A young boy with a blue beanie has his head down.,,"A small boy with a blue beanie hat is sitting on the ground.
"
Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A red-haired man with dreadlocks is sitting playing and acoustic guitar.,,"A red-haired man with dreadlocks is sitting and playing on an acoustic guitar.
"
Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eating a sandwich with his baby daughter in his lap.,,"A man eats an apple and holds his little daughter on the couch.
"
"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",An African American child is holding something up that those in the picture are proud of.,,"A black American child stands tall in the crowd of people on the photo.
"
Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman directs a crowd of people with a loudspeaker.,,"A woman gives her group an instruction on how to use a hearing aid.
"
Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,,A man sees a policeman giving a speech and another man is sitting on the sidewalk with his back against
Eine Gruppe ist in einer Bar.,A crowd is present at a bar.,,"A group of people are sitting at a bar.
"
Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A girl in white and a girl in green walk past a blue car wash station.,,"A girl in white and a boy in green are walking towards a blue car before us.
"
Ein Mann verwendet elektronische Geräte.,A man is using electronic equipment.,,"A man uses electronic devices.
"
Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person surfing through a crashing wave in the ocean.,,"A person surfs on the surface of an ocean wave.
"
Ein Armeeoffizier inspiziert etwas.,An army officer is inspecting something.,,"An army officer inspires something.
"
Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the bride's veil.,,"A bride and groom kiss under the bridal arch.
"
Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,,Police officers are standing in the background while a young man with red hair is being arrested at his back
Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumping over a steeple vault at a competition,,"A black and white dog jumps over a hurdle in the race.
"
Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman wearing a sweater is reading a book in her home.,,"A woman is reading a book at home.
"
Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teenagers are looking over a railing in a dark room.,,"Several teenagers are looking for a lost item in a dark room.
"
"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white t-shirt is starting to climb a rock.,,"The man in the white t-shirt made himself comfortable by sitting on a rock.
"
Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,A teenage boy is stretching in the kitchen and you can see part of his stomach.,,"A teenager sits at the kitchen table and his breath smells sometimes bad.
"
Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People are holding various types of drumsticks above different kinds of drums.,,"People are riding different types of roller coasters on various roller coasters.
"
Drei Farmer ernten Reis auf einem Feld.,Three farmers harvest rice out in a rice field.,,"Three farmers went on a journey to the field.
"
Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book.,,"Two women and a man read a book.
"
"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Three children's legs are shown as they stand near a mess of silly string.,,The weights of three children who are standing next to a weighing scale that is not balanced stand on it
Ein Koch posiert beim Kochen für die Kamera.,A cook is posing for a camera while cooking.,,"A chef prepares the cake for the camera.
"
Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people in a street protesting the use of coal in power plants.,,"Many people are protesting on the street against coal power plants.
"
Der Teenager springt mit seinem Fahrrad über den Hügel.,The teen jumps the hill with his bicycle.,,"The teenager rides his bicycle up the hill.
"
Ein kleines Mädchen läuft entlang einer Küste.,A little girl running at on the shore of a beach.,,"A small girl is walking along the beach.
"
Eine weiße Ente schlägt im Wasser mit den Flügeln.,White duck flapping its wings in the water.,,"A white swan glides in the water with its wings.
"
Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",,Two men stand in front of the heater and sit next to each other as four more people come around
Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink skirt is holding a baby.,,"A woman is holding a baby dressed as a rose.
"
Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player in a yellow jersey is guarding the goal.,,"A hockey player is protecting the goal with a blue jersey.
"
"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man is walking past a large sign that says E.S.E. Electronics.,,"A man is walking out of the store, on his way home from electronics.
"
Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys wearing green shirts and tan pants pose at the top of a slide.,,"Three boys are wearing green shirts and brown shorts on the upper side of their pants.
"
Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man is dancing with a dog between his legs.,,"A man dances with a dog between the benches.
"
Der weiße Hund läuft im flachen Wasser.,The white dog is running in the shallow water.,,"The white dog is swimming in the lake.
"
Schlagzeuger aus Oregon marschieren mit der Band.,Oregon percussionists are marching with the band.,,"The steam engines from Oregon are roaring with the band.
"
Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of children play together in a fenced yard as an adult watches.,,A group of children is playing on a grassy field while an adult watches them from the sidelines.
Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,A group of women are playing musical instruments together.,,"A group of women is playing musical instruments together.
"
Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl in a purple plaid dress is lying on the floor crying.,,"A little girl wearing an orange dress is lying on the ground and shivering.
"
Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with graying hair shaves his beard.,,"A man with red hair is drinking his beer at the bar.
"
"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","Two black dogs, a black puppy, and a white dog in the snow.",,"Two black dogs, a white dog in the snow.
"
Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,Man in a Miami basketball uniform jumping to make a shot.,,"A man playing basketball in a court of Miami makes an impressive jump shot.
"
Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,"A woman is sitting outside her house with a blue door, enjoying the air.",,"A woman sits outside her house with a blue umbrella and enjoys the fresh air.
"
Kinder sitzen auf einem Mann in einem Bananenkostüm.,Kids are sitting on a man in a banana suit.,,"Children are sitting on a man's back in a banana peel costume.
"
Ein grauweißer Hund springt über stehendes Wasser im Sand.,A gray and white dog jumping over standing water in the sand.,,"A white dog jumps over a puddle of water in the sand.
"
Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd gathered around a park water fountain in the rain.,,"A crowd of people gathered around a fountain in the park during the rainstorm.
"
"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","Several older men, some in traditional headdress convene on a street corner.",,"Several older men, a few with traditional head coverings, meet at a street corner.
"
"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young Lassie looking dog is in the snow.,,"A young dog that walks like Lassie in the snow.
"
Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,,"The football player in the red triangle blocks the ball before the opposing team's striker.
"
Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman in a black shirt is knitting with purple yarn.,,"A woman wearing a black dress is holding a red rose.
"
Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four females of Asian descent are wearing golden dresses while performing point ballet.,,"Four Asian women have a golden dress and dance ballet.
"
Eine Person spielt auf einem einzigartigen Instrument.,A person is playing an unique instrument.,,"A person plays on an unusual instrument.
"
Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,,"A girl with black sports attire number 1102 is walking on the treadmill.
"
"Ein Kind mit der Nummer ""93"" fährt Ski.","A kid crosscountry skis wearing the number ""93"".",,"A child with the number 93 is going skiing.
"
"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",A older gentleman and a young girl begin to work on a puzzle together.,,"An older man and a young girl solved the puzzle together.
"
Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew films a young African boy in a yellow shirt.,,"A movie team filmed a young African boy wearing a yellow shirt.
"
Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A streetlight lit bridge with a cyclist and some cars.,,"A beautiful bridge with a cyclist and several cars.
"
Ein Mann reitet auf einem Bullen in einem Gehege.,A man rides a kicking bull in a bullpen.,,"A man rides on a bull in a circus act.
"
"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A boy jumping to hit a tennis ball with his racket,,"A young boy jumps high to catch a tennis ball with his racket.
"
Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Kids scale a wall as two other people watch.,,"Children were playing with a ball while two more people watched them from afar.
"
Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People walking about a university campus with palm trees in the background.,,"People run over a university campus with flowers in the background.
"
Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,Little girl kicks black object at karate class.,,"A little girl is participating in a martial arts class wearing black pants.
"
Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men trying to hoist themselves up from the water on to a walkway made of tires.,,"Two men are trying to get out of the water on a raft made from inflatable tubes.
"
Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"Two men breakdancing, with a crowd looking on.",,"A group of men watched two dancers during the break dance.
"
Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A professionally dressed woman standing at a podium debating or discussing something of importance.,,"A professional-looking woman stands on a podium and debates or discusses something important.
"
Eine Frau liegt auf einem Sofa und lacht.,A woman is laying down on a sofa laughing.,,"A woman is sitting on a sofa and laughing.
"
Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A dirt floor gets swept by one white and one black woman.,,"A black and a white woman sitting on a dirty floor.
"
Ein Reh springt über einen Zaun.,A deer jumps a fence.,,"A rabbit hopped over a fence.
"
Drei Hunde spielen auf einem Feld.,Three dogs play with each other out in the field.,,"Three dogs are playing on a field.
"
Zwei kleine Kinder auf dem Sand.,Two young children are on sand.,,"Two little children on the beach.
"
Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling young boy plays in the leaves among the ducks.,,"A lonely boy plays in the mud with his friends.
"
Diese vier Personen stehen mit 3 Hunden im Freien.,"These four people are standing outdoors, with 3 dogs.",,"Four people stand with three dogs in the park.
"
Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"While visiting the Mayan ruins, a guide points in the direction of more attractions.",,"The visit of the Mayan ruins shows a guide for further sightseeing attractions.
"
Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,Girl wearing radio t-shirt has open mouth,,"A girl wearing a t-shirt with an open world on it.
"
Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A tribal group filling water jugs in the desert.,,"A group of water purifiers fills up the desert with clean drinking water.
"
Ein Mann steht auf einer Straße in der Stadt.,A man standing on a city street.,,"A man is standing on the street of the city.
"
Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A flock of birds fly away with food in their beaks.,,"A flock of birds flies with food through the branches.
"
Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men ride through farm land as they guide their mule powered trailer.,,"Two men are riding a horse and driving an ox cart.
"
Zwei Männer stehen auf einem Berggipfel.,Two people stand at the peak of a mountain.,,"Two men are standing on top of a mountain.
"
Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,Young girl enjoying herself as she makes a snow angel.,,A young girl was having fun while a snow angel made by her is melting away in the snow.
Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,Three guys smiling for camera and showing off their muscles.,,"Three men are crying because they hurt their muscles and show them.
"
Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a chalkboard in a empty classroom.,,"A person writes on a table at an open-air classroom.
"
Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man in a black shirt sitting at a table with an open Apple laptop in front of him.,,"A man is sitting at a table with an open laptop and eating an apple.
"
Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people relaxing on a grassy hill overlooking a rocky valley.,,"Four people are standing on a grassy hilltop with an overview of a steep valley below.
"
Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A boy with a skateboard if jumping in the air along some railway tracks.,,"A young boy jumps over trains on his skateboard while flying in the air.
"
Ein Mann in einem orangefarbenen Shirt spielt Tennis.,There is a man in an orange shirt playing tennis.,,"A man wearing a red shirt plays tennis.
"
Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The dog with the red collar is bearing its teeth at the dog with the blue collar.,,"The dog with the red collar chases the other dog with the blue collar around in circles.
"
Der Junge ist im Freien und genießt einen Sommertag.,The boy is outside enjoying a summer day.,,"The boy is in the woods and plays with a summer day.
"
Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,A worker in an orange work suit is kneeling down inspecting a piece of machinery.,,"A worker in a red uniform sat down and designed a machine.
"
Männer in Cowboyhüten stehen bei einem Rodeo herum.,Men in cowboy hats stand around at a rodeo.,,"Men wear cowboy hats at a rodeo.
"
"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",There are two dogs in the snow and one has something in his mouth.,,"Two dogs are playing in the snow, one of them has something on him that smells like a dog"
"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",An employee takes a break from working to have a drink,,"An employee takes a break to drink some water.
"
Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A beige dog runs behind a white dog holding a yellow toy.,,"A friendly dog runs behind a white dog with a red ball.
"
Hockeyspieler in weißem Trikot mit einem Schläger.,Hockey player in white uniform with stick,,"Hockey player wearing white skates with a stick.
"
Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Man in a white shirt with a gold watch playing with a circuit board.,,"Man is sitting on a green bench and playing with a plastic ball.
"
"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black horse sticking its head through a fence trying to reach the grass.,,"A black horse is running through a field and trying to reach the grass.
"
"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crackhead is pretending to keep his hands warm but actually he is smoking crack.,,A crack addict is someone who would rather lie about their addiction than face the truth of it. How
Zwei Typen und eine Frau lächeln.,Two guys and a girl smiling.,,"Two types and a woman are crying.
"
Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",,A child was playing with blue and yellow plastic toys while an adult watched him from across the room.
Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black-and-white dog goes for a flattened ball on the snow.,,"A black and white dog runs after a deflated ball in the snow.
"
Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl standing next to a yellow cat on a kitchen countertop.,,"A young girl is sitting next to a white cat on the kitchen countertop.
"
Die zwei Kinder Spielen auf dem Spielplatz.,The two kids are playing at the playground.,,"The two children played on the playground.
"
Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player in a green striped shirt is holding his hand up to his mouth.,,"A chess player wears a green striped shirt and holds his hand out of the door.
"
Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy in a red suit plays in the water.,,"A young boy is playing with a red ball in the water.
"
Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A child wearing a red coat and cap is holding a large chunk of snow.,,"A child with red hair and a big hat holds a large piece of snow.
"
Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two officers with orange jackets stand outside a white tent with onlookers.,,"Two police officers are standing with their backpacks at the white fence.
"
Zwei Personen stehen neben einem Baum.,Two people standing next to a tree on the ground.,,"Two people are standing next to a tree.
"
Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Two men sit talking near a stone building.,,"Two men are sitting and resting near a building made of stone.
"
Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.,,"A little brown child with glasses holds a blonde boy wearing a red sweatshirt and blue shoes.
"
Ein schwarz-weißer Hund spielt mit einem weißen Ball.,A black and white dog is playing with a white ball.,,"A black and white dog plays with a yellow ball.
"
Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,Two people are kissing on a sidewalk in front of a limo while people walk by.,,"Two people are kissing on the sidewalk while others walk by in a limousine.
"
Eine Frau spielt Volleyball.,A woman is playing volleyball.,,"A woman plays volleyball.
"
