,input_de,output_en,gt_en
259,Eine Frau in einem Kleid mit Blumenmuster spricht mit Kindern vor einem Kleinbus.,A woman wearing a flower patterned dress is talking to,A woman in a floral dress talks to children in front of a van.
260,Ein Mann an seinem Hochzeitstag.,A man is getting married on his wedding day.,A man on his wedding day.
261,Eine junge Frau in einem schwarzen T-Shirt und Jeans beim Kehren.,A young woman wearing a black tshirt and,A young woman with a black shirt and jeans sweeping.
262,Eine Frau mit einer Mütze klettert auf einer Klippe nahe eines großen Gewässers.,A woman wearing a hat is climbing up a cl,Woman with a hat on climbing a cliff near a large body of water.
263,Ein großer schwarzer Pudel läuft auf dem Gras mit einem Spielzeug im Maul.,A big black dog is running on the grass with a to,A big black poodle running on the grass with a toy in its mouth.
264,Ein Junge in Shorts macht einen Skateboard-Trick.,A young boy doing a trick on his skateboard.,A boy in shorts doing a skateboard trick.
265,Ein kleiner Junge in roten Hosen steht auf der Straße.,A little boy wearing red pants stands on the side,A little boy dressed in red pants is standing in the street.
266,"Eine Frau tippt auf ihrem Handy, umgeben von Regenschirmen.",A woman is using her phone while surrounded by snow shel,A woman texts on her phone while surrounded by umbrellas.
267,"Acht Männer spielen auf der Bühne, während ein Gitarrist im Scheinwerferlicht spielt.",Eight men are playing on stage while a guitarist in,"Eight men play instruments on stage, with a guitarist highlighted in lights."
268,Ein Mann in einem orangefarbenen Overall und passendem Schutzhelm hilft mit einem blauen Schlauch,A man wearing an orange overcoat and a blue,A man in an orange jumpsuit and matching hard hat is helping with a blue hose
269,Ein Mann und zwei Mädchen mit Angelruten vor einem Gewässer halten einen Fisch hoch.,A man and two girls with angelic wings are holding,A man and two girls show off a fish while holding fishing poles in front of a body of water.
270,Ein Mann in einem roten Shirt beobachtet einen Hund beim Hindernislauf.,A man wearing a red shirt watches an dog,Man in red shirt watches dog on an agility course.
271,Ein Junge in einer rot-weißen Badehose springt rückwärts in einen schönen Pool.,A young boy jumping into a beautiful pool with red and,A boy wearing red and white swimming trunks diving backwards in a beautiful pool.
272,Eine Asiatin steckt ihre Haare zurück.,This Asian woman is brushing her hair back to show off,An Asian woman pinning her hair back.
273,Ein ältere Frau und ein kleines Kind in einem pinkfarbenen Shirt spielen mit bunten Klötzen.,An older woman and a little girl playing with colored beads,An older woman and a young child in a pink shirt playing with multicolored blocks.
274,Ein kleiner schwarzer Hund springt über Gatter,A little black dog jumps over a gate.im,A small black dog jumping over gates
275,Ein Mann mit braunen Haaren in einem grünen Hemd spielt im Freien Trompete.,A man with brown hair and a green shirt is playing,A brown-haired man in a green shirt plays a trumpet outdoors.
276,Ein Mann telefoniert mit hochgelegten Füßen.,"Hey, hows it goingim",A man talks on the phone with his feet up.
277,Ein Gruppe Kinder sitzt auf einer Blauen Matte und isst aus Schalen.,A group of children are sitting on a blue mat eating,A group of children sit on a blue mat while they eat out of bowls.
278,Ein schwarzer Junge sitzt im Sand.,A black boy is sitting in the sand. im,A black boy is sitting in the sand.
279,Ein kleiner Hund sieht zu wie zwei größere Hunde auf einem Feld stürmisch spielen.,A small dog looks on as two larger dogs play in a,A small dog watches two big dogs playing rough in a field.
280,"Menschen, die vor einem großen Gebäude im Kreis sitzen.",People sitting in a circle around a large building. The people,People sitting in a circle outside a large building.
281,"Ein Hund springt um einen Ball zu fangen, während ein anderer zusieht.",A dog is jumping around to catch a ball while another,One dog leaps to catch a softball while another looks on.
282,Ein blondes Kind schaukelt auf einer Schaukel.,A boy of a blonde looks up at his swing.,A blond child swinging on a swing.
283,Ein Mann und zwei Frauen diskutieren und trinnken Weißwein,A man and two women are discussing wine while sipping,One man and two women having a discussion over white wine
284,Ein Asiate bereitet im Freien Essen zu.,An Asian man is preparing food outside in the open air,An Asian man is cooking food outdoors.
285,"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.",A brown dog is about to catch a frisbee,A brown dog about to catch a green Frisbee.
286,Fans jubeln während die Band ein Lied spielt.,Fans are cheering and clapping while the band is,Fans cheer as the band plays a song.
287,Ein kleiner Junge steht neben einer Pyramide aus Sand.,A little boy stands beside a sand pyramid.,A young boy is standing next to a sand sculpture of a pyramid.
288,Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,Three little children are walking through a grassy field.,Three young children are walking through a grassy yard.
289,Ein Mann grübelt über einer Skulptur auf einem Wagen.,A man is pondering over a sculpture on a,A man pounds on an artwork perched on a cart.
290,Ein Mann fährt auf einem Berg Fahrrad.,A man is riding his bike on a mountain road,A man on a bicycle rides on a mountain.
291,Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,A young boy wearing blue and yellow sneakers is,A boy with blue and yellow rain boots runs on dirt.
292,Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,A woman wearing an orange jacket is sitting on a,A woman in an orange jacket sits on a bench.
293,Ein Mann macht einen Trick auf dem Skateboard,A man is doing a trick on his skateboard.,A man doing a trick on skateboard
294,Ein Mann in einem Karateanzug in der Luft.,A guy wearing a karate uniform flying through the,A man in a martial arts uniform in midair.
295,Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,A woman selling tshirts with fruits,Woman selling bags of fruit on a sidewalk.
296,Zwei Fußballmannschaften auf dem Feld.,Two soccer teams on the field.,Two soccer teams are on the field.
297,Ein Kind in einem blauen Shirt springt von einer Bank.,A little boy is jumping off a bank into the water,A child in a blue shirt jumping off a bench.
298,Ein Torwart in einem gelben Trikot schützt das Tor.,A goalie wearing a yellow jersey is protect,A goalie in a yellow field is protecting the goal.
299,Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,A group of young people drinking shots at a Mexican,A group of young people take shots in a Mexican setting.
300,Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,A young man is jumping over a pink skate,A young man skateboards off a pink railing.
301,Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,A little boy jumps from a ladder onto another bed,A young boy jumping from a bunk bed on a smaller bed.
302,"Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.",Two people dressed up as blue and purple characters are standing,"Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road."
303,Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,An athlete wearing a blue shirt with a number,Man running wearing a blue shirt with a number taped to it.
304,Ein asiatischer Fabrikarbeiter posiert für die Kamera.,This is an Asian factory worker who is taking a picture for,An Asian factory worker posing for the camera.
305,"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.",A man appears to be in the middle of a marathon,A man that appears to be running in a marathon gives us 2 thumbs up.
306,"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.",Basketball players are trying to score a basket during the game.,Basketball players shoot for a goal during a game.
307,Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,A football player in a yellow shirt is laughing and,A football player wearing an orange uniform smiling and holding the football.
308,Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,Two downhill skaters are riding around a curve while,Two downhill skateboarders round a curve while others watch.
309,Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,This is a football field with teams wearing white and gold,A team in white and gold on the sidelines of a football field.
310,Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,A little girl is pushing her roller down a field with,A little girl is pushing her scooter through a grassy tree lined field.
311,Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,"A group of Asian children, dressed in white shirts",Group of asian children dressed in white shirts and hats performing with a crowd looking on.
312,Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,"A group of people are walking down a street, looking at",Pedestrians walking down the street look at a child in a cardboard box.
313,Ein brauner Hund läuft über den Sandstrand.,A brown dog is running over the sandy beach path.,A brown dog runs down the sandy beach.
314,Zwei Männer in Armeeuniform stehen neben einer Frau.,Two men dressed in army uniform stand beside a woman.,Two men in army uniforms stand next to a woman.
315,"Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","In this picture, the Dalai Lama is receiving visitors","The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags."
316,Ein Radfahrer springt über eine Hindernis.,A cyclist jumping over a barrier in the road,A biker jumps an obstacle.
317,Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,A couple is sitting on white garden chairs and laughing,A couple sitting in white lawn chairs are smiling at the camera.
318,Kleine Kinder fahren in einem Miniaturzug.,Little children are riding a miniature train.,Young kids are on a small train ride.
319,Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,A surfing guy riding a wave on a,A surfer in a blue swimsuit is riding the waves.
320,Ein Junge springt auf seinen Fußball spielenden Bruder.,A boy jumps into his younger brothers football game,The boy jumps onto his soccer player brother.
321,Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,Two young men from different soccer teams are trying to get,Two young men on opposing soccer teams are competing to get the ball on a soccer field.
322,"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.",People are walking on a paved road surrounded by Chinese vend,People are walking on a paved slope surrounded by Chinese vendors.
323,Ein kleiner Junge in weißen Hosen springt von der Couch.,A little boy jumping off the couch. The camera,A young boy wearing white pants is jumping off the couch.
324,Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,A boy wearing a yellow shirt is holding his leg,A boy in an orange shirt is pouring Legos from a bag.
325,"Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","A woman in brown sneakers, blue jeans and","Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree."
326,Drei Personen lächeln und halten politische Schilder.,Three people are smiling and holding political signs.im,Three people smiling and holding political signs.
327,Ein Polizist steht neben einem Auto auf einer städtischen Straße.,A police officer stands in the street beside a car on a,An officer stands next to a car on a city street.
328,Zwei Männer mit Mützen.,"Two men in hats standing on a street corner, looking",Two men wearing hats.
329,Ein Junge ist in der Luft und versucht einen Fußball zu treffen,A young boy is flying through the air trying to catch a,A boy in midair trying to kick a soccer ball
330,Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,A little boy wearing a blue hat is holding his head,A young boy with a blue beanie has his head down.
331,Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,A man with dreadlocks sitting on an acoustic,A red-haired man with dreadlocks is sitting playing and acoustic guitar.
332,Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,A man eats a sandwich while holding his little daughter,A man eating a sandwich with his baby daughter in his lap.
333,"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.",A young AfricanAmerican boy is holding something high in the,An African American child is holding something up that those in the picture are proud of.
334,Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,A woman is giving instructions to a group of people through a,A woman directs a crowd of people with a loudspeaker.
335,Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,There are people dressed as a police officer and a man in,Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.
336,Eine Gruppe ist in einer Bar.,"A group of people are gathered around a bar, drinking",A crowd is present at a bar.
337,Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,A young girl wearing a white dress and another one dressed,A girl in white and a girl in green walk past a blue car wash station.
338,Ein Mann verwendet elektronische Geräte.,A man uses electronic devices in his daily life. ,A man is using electronic equipment.
339,Eine Person surft auf einer brechenden Welle auf dem Ozean.,A person is riding a wave on the ocean.,A person surfing through a crashing wave in the ocean.
340,Ein Armeeoffizier inspiziert etwas.,An army officer is inspecting something.imend,An army officer is inspecting something.
341,Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,A bride and groom kiss under the veil at,A bride and groom kiss under the bride's veil.
342,Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,Police are standing in the background as a young man with a,Riot police are standing in the background while a young man with a red scarf covering his face is walking.
343,Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,A black and white dog jumps over an obstacle during,A black and white dog jumping over a steeple vault at a competition
344,Eine Frau in einer Strickjacke liest zu Hause ein Buch.,A woman is reading a book at home wearing a strip,A woman wearing a sweater is reading a book in her home.
345,Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,Several teens are staring up at a ceiling in,Several teenagers are looking over a railing in a dark room.
346,"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",The man in the white shirt is climbing a rock,The man in the white t-shirt is starting to climb a rock.
347,Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,A teenage boy is standing in the kitchen and his,A teenage boy is stretching in the kitchen and you can see part of his stomach.
348,Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,People holding different types of drums over different drumheads.,People are holding various types of drumsticks above different kinds of drums.
349,Drei Farmer ernten Reis auf einem Feld.,Three farmers are planting rice in a field.,Three farmers harvest rice out in a rice field.
350,Zwei Frauen und ein Mann betrachten ein Buch.,Two women and a man are looking at a book.,Two women and a man are looking at a book.
351,"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.",Three childrens legs are standing in front of a mess,Three children's legs are shown as they stand near a mess of silly string.
352,Ein Koch posiert beim Kochen für die Kamera.,A cook prepares a meal for the camera in his,A cook is posing for a camera while cooking.
353,Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,Many people are demonstrating against coal power plants on a street,Many people in a street protesting the use of coal in power plants.
354,Der Teenager springt mit seinem Fahrrad über den Hügel.,The teenage boy is jumping with his bike,The teen jumps the hill with his bicycle.
355,Ein kleines Mädchen läuft entlang einer Küste.,A little girl walking along the coastline.im,A little girl running at on the shore of a beach.
356,Eine weiße Ente schlägt im Wasser mit den Flügeln.,A white deer swims in the water with its lim,White duck flapping its wings in the water.
357,Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,Two men are standing in front of a truck and talking,"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them."
358,Eine Frau in einem rosa Rock hält ein Baby.,A woman in a pink shirt holding a baby.,A woman in a pink skirt is holding a baby.
359,Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,A hockey player wearing a yellow jersey is protect,A hockey player in a yellow jersey is guarding the goal.
360,"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.",A man runs past a sign that says E.S,A man is walking past a large sign that says E.S.E. Electronics.
361,Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,Three boys wearing green shirts and brown shorts,Three boys wearing green shirts and tan pants pose at the top of a slide.
362,Ein Mann tanzt mit einem Hund zwischen den Beinen.,A man is dancing with a dog between his legs.,A man is dancing with a dog between his legs.
363,Der weiße Hund läuft im flachen Wasser.,The white dog is running in the water.im,The white dog is running in the shallow water.
364,Schlagzeuger aus Oregon marschieren mit der Band.,A drummer from Oregon marches with the band.,Oregon percussionists are marching with the band.
365,Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,A group of children are playing in a fencedin,A group of children play together in a fenced yard as an adult watches.
366,Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,"A group of women are playing musical instruments together, in a",A group of women are playing musical instruments together.
367,Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,A little girl in a pink dress is lying down and,A little girl in a purple plaid dress is lying on the floor crying.
368,Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,A man with dull hair is shaving his beard,A man with graying hair shaves his beard.
369,"Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.",Two black dogs and a white dog in the snow.,"Two black dogs, a black puppy, and a white dog in the snow."
370,Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,A man wearing a Miami Heat basketball jersey,Man in a Miami basketball uniform jumping to make a shot.
371,Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,A woman sitting outside her house with a blue door enjoying,"A woman is sitting outside her house with a blue door, enjoying the air."
372,Kinder sitzen auf einem Mann in einem Bananenkostüm.,Children are sitting on a man dressed as a banana cost,Kids are sitting on a man in a banana suit.
373,Ein grauweißer Hund springt über stehendes Wasser im Sand.,A yellow dog jumps over a puddle in,A gray and white dog jumping over standing water in the sand.
374,Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,A crowd of people is gathered around a spring in the park,A crowd gathered around a park water fountain in the rain.
375,"Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.",Several older men in traditional head coverings are gathering at,"Several older men, some in traditional headdress convene on a street corner."
376,"Ein junger Hund, der aussieht wie Lassie, im Schnee.",A young dog that looks like Lassie in,A young Lassie looking dog is in the snow.
377,Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,The soccer player in the golden jersey blocks a,The soccer player wearing the gold jersey is blocking the ball from the opposing team player.
378,Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,A woman wearing a black shirt is stitching,A woman in a black shirt is knitting with purple yarn.
379,Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,Four Asian women are wearing gold clothing and dancing,Four females of Asian descent are wearing golden dresses while performing point ballet.
380,Eine Person spielt auf einem einzigartigen Instrument.,A person is playing on an instrument thats unique to,A person is playing an unique instrument.
381,Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,A girl wearing a black sports uniform with number 1,A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.
382,"Ein Kind mit der Nummer ""93"" fährt Ski.",A child with the number 93 is riding a,"A kid crosscountry skis wearing the number ""93""."
383,"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.",An older man and a young girl are trying to assemble a,A older gentleman and a young girl begin to work on a puzzle together.
384,Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,A film crew is shooting a young African boy wearing yellow,A film crew films a young African boy in a yellow shirt.
385,Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,A lit bridge with a biker and some cars passing by,A streetlight lit bridge with a cyclist and some cars.
386,Ein Mann reitet auf einem Bullen in einem Gehege.,A man is riding a bull in a pen.,A man rides a kicking bull in a bullpen.
387,"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen",A young boy jumps into the air to catch a tennis,A boy jumping to hit a tennis ball with his racket
388,Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,Children climb a wall while two others watch from below.,Kids scale a wall as two other people watch.
389,Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,People are walking over a university campus with palm trees in,People walking about a university campus with palm trees in the background.
390,Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,A little girl is doing karate training with a black object,Little girl kicks black object at karate class.
391,Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,Two men are trying to climb over a fence with,Two men trying to hoist themselves up from the water on to a walkway made of tires.
392,Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,A large crowd watches two men breakdancing in a,"Two men breakdancing, with a crowd looking on."
393,Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,A well dressed woman is standing at a podium and talking,A professionally dressed woman standing at a podium debating or discussing something of importance.
394,Eine Frau liegt auf einem Sofa und lacht.,"A woman is lying on a couch, smiling.",A woman is laying down on a sofa laughing.
395,Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,A black and white woman was cleaning a muddy area,A dirt floor gets swept by one white and one black woman.
396,Ein Reh springt über einen Zaun.,A horse jumps over a fenceim,A deer jumps a fence.
397,Drei Hunde spielen auf einem Feld.,Three dogs are playing on a field.imend,Three dogs play with each other out in the field.
398,Zwei kleine Kinder auf dem Sand.,Two little kids playing on the sand.im,Two young children are on sand.
399,Ein lächelnder Junge spielt im Laub mit den Enten.,A smiling boy playing with the ducks in a tree,A smiling young boy plays in the leaves among the ducks.
400,Diese vier Personen stehen mit 3 Hunden im Freien.,Four people are standing outside with three dogs in the yard.,"These four people are standing outdoors, with 3 dogs."
401,Beim Besuch von Maya-Ruinen zeigt ein Führer in Richtung weiterer Sehenswürdigkeiten.,"While visiting the Mayan ruins, a guide shows","While visiting the Mayan ruins, a guide points in the direction of more attractions."
402,Ein Mädchen in einem Radio-T-Shirt mit offenem Mund,A girl wearing a radio shirt with an open mouth,Girl wearing radio t-shirt has open mouth
403,Eine Gruppe Stammesangehöriger füllt in der Wüste Wasserbehälter.,A group of indigenous people fill up water containers on,A tribal group filling water jugs in the desert.
404,Ein Mann steht auf einer Straße in der Stadt.,A man stands on a street corner in the city.,A man standing on a city street.
405,Ein Schwarm Vögel fliegt mit Futter in den Schnäbeln weg.,A swarm of birds is flying away from the trash,A flock of birds fly away with food in their beaks.
406,Zwei Männer reiten über eine Farm und führen einen von einem Esel gezogenen Wagen.,Two men ride a horse over a farm while leading an e,Two men ride through farm land as they guide their mule powered trailer.
407,Zwei Männer stehen auf einem Berggipfel.,Two men are standing on a mountain top in the Alps,Two people stand at the peak of a mountain.
408,Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,A young girl enjoying a snowman while making snow ang,Young girl enjoying herself as she makes a snow angel.
409,Drei Männer lächeln für die Kamera und zeigen ihre Muskeln.,"Three men are smiling for the camera, showing off their",Three guys smiling for camera and showing off their muscles.
410,Eine Person schreibt auf einer Tafel in einem leeren Klassenzimmer.,A person is writing on a whiteboard in an empty class,A person is writing on a chalkboard in a empty classroom.
411,Ein Mann in einem schwarzen Shirt sitzt mit einem offenen Apple-Laptop vor sich an einem Tisch.,A man wearing a black shirt sits with his,A man in a black shirt sitting at a table with an open Apple laptop in front of him.
412,Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people are relaxing on a grassy hillside with,Four people relaxing on a grassy hill overlooking a rocky valley.
413,Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A young boy on a skateboard jumps beside an,A boy with a skateboard if jumping in the air along some railway tracks.
414,Ein Mann in einem orangefarbenen Shirt spielt Tennis.,A man wearing an orange shirt is playing tennis.,There is a man in an orange shirt playing tennis.
415,Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The dog with the red collar is barking at,The dog with the red collar is bearing its teeth at the dog with the blue collar.
416,Der Junge ist im Freien und genießt einen Sommertag.,The boy is out in the park enjoying a summer day,The boy is outside enjoying a summer day.
417,Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,An employee wearing an orange apron kneels and inspect,A worker in an orange work suit is kneeling down inspecting a piece of machinery.
418,Männer in Cowboyhüten stehen bei einem Rodeo herum.,Males wearing cowboy hats standing around a rode,Men in cowboy hats stand around at a rodeo.
419,"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",Two dogs are snowed in one is eating something out,There are two dogs in the snow and one has something in his mouth.
420,"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",A worker takes a break to drink something.im,An employee takes a break from working to have a drink
421,Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A colored dog is running behind a white dog with a yellow,A beige dog runs behind a white dog holding a yellow toy.
422,Hockeyspieler in weißem Trikot mit einem Schläger.,Two hockey players dressed up in white are using sticks to,Hockey player in white uniform with stick
423,Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,A man wearing a white shirt and gaming console,Man in a white shirt with a gold watch playing with a circuit board.
424,"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black stallion is trying to get under a f,A black horse sticking its head through a fence trying to reach the grass.
425,"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crackcracker is trying to warm his hands,A crackhead is pretending to keep his hands warm but actually he is smoking crack.
426,Zwei Typen und eine Frau lächeln.,Two types of people and a woman smile while walking down the,Two guys and a girl smiling.
427,Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,A child is leaning over a bin of blue and yellow,"A child leans over a display made up of blue and yellow plastic, while an adult looks on."
428,Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black and white dog is running to a broken ball in,A black-and-white dog goes for a flattened ball on the snow.
429,Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl stands beside a yellow cat on the counter of,A young girl standing next to a yellow cat on a kitchen countertop.
430,Die zwei Kinder Spielen auf dem Spielplatz.,The two children playing on the playground.im,The two kids are playing at the playground.
431,Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player wearing a green shirt holds his hand,A tennis player in a green striped shirt is holding his hand up to his mouth.
432,Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy wearing a red swimming suit is playing in,A boy in a red suit plays in the water.
433,Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A young boy with a red coat and hat is holding a,A child wearing a red coat and cap is holding a large chunk of snow.
434,Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two police officers in orange vests stand with people outside a,Two officers with orange jackets stand outside a white tent with onlookers.
435,Zwei Personen stehen neben einem Baum.,Two people are standing beside a tree.,Two people standing next to a tree on the ground.
436,Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Two men are talking and sitting next to a building made of,Two men sit talking near a stone building.
437,Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,A child with a bright red hat is holding another boy in,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.
438,Ein schwarz-weißer Hund spielt mit einem weißen Ball.,A black and white dog is playing with a white ball in,A black and white dog is playing with a white ball.
439,Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,Two people kiss on a hill before getting in front of a,Two people are kissing on a sidewalk in front of a limo while people walk by.
440,Eine Frau spielt Volleyball.,A woman is playing volleyball in the park.,A woman is playing volleyball.
441,Zwei große Hunde kämpfen auf einem unbefestigten unbewachsenen Gelände.,"Two large dogs are fighting on an unpaved, und",Two large dogs are fighting in a dirt field.
442,Ein brauner Hund springt über eine Hürde.,A brown dog jumps over a fence.,A brown dog jumping over a hurdle.
443,Ein Mann in einem gestreiften Shirt raucht auf der Straße eine Zigarette.,A man wearing a striped shirt is smoking,A man wearing a striped shirt is smoking a cigarette on the street
444,Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.,A little girl holds a small boy on her lap.,A little girl is holding a little boy on her lap.
445,"Ein Mann versucht an einem schönen Samstagnachmittag, einen sehr wütenden Bullen zu reiten.",A man tries to ride a very hot bull during the,A man trying to ride a very mad bull on a beautiful Saturday afternoon.
446,"Kinder bemühen sich, beim Seilziehen zu gewinnen.",children are trying to win at the rope climbing game,Children fight to win a tug-of-war battle.
447,Ein Radfahrer lehnt sich auf einer unbefestigten Piste mit einem Mountainbike in die Kurve.,A cyclist is leaning into a curve on an un,A cyclist is leaning a mountain bike around a bend on a dirt track.
448,Zwei Personen und eine angebundene Kuh vor einem Haus.,Two people and a cow tied to the house are walking down,Two people and a leashed cow at a home.
449,"Der kleine Junge lernt mit seinem Vater, Rad zu fahren.",The little boy is learning to ride a bike with his,The young boy learns how to ride a bike with his dad.
450,Ein Junge in einem roten Shirt und schwarzen Shorts kehrt eine Einfahrt.,A young boy in a red shirt and black shorts,Boy in red shirt and black shorts sweeps driveway.
