en,de,generated_de
An Asian man is cooking food outdoors.,Ein Asiate bereitet im Freien Essen zu.,"<|user|>
An Asian man is cooking food outdoors. 
<|assistant|>:
Ein Asiat kocht im Freien Essen aus. 
Drei As"
A brown dog about to catch a green Frisbee.,"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.","<|user|>
A brown dog about to catch a green Frisbee. 
<|assistant|>:
Ein brauner Hund, der sich vor einem grünen Frischvog"
Fans cheer as the band plays a song.,Fans jubeln während die Band ein Lied spielt.,"<|user|>
Fans cheer as the band plays a song. 
<|assistant|>:
Zuschauer feiern, als eine Band ein Lied spielt. 
\</"
A young boy is standing next to a sand sculpture of a pyramid.,Ein kleiner Junge steht neben einer Pyramide aus Sand.,"<|user|>
A young boy is standing next to a sand sculpture of a pyramid. 
<|assistant|>:
Ein kleiner Junge steht neben einer Sandskulptur eines Pyramidenstä"
Three young children are walking through a grassy yard.,Drei kleine Kinder gehen durch einen grasbewachsenen Hof.,"<|user|>
Three young children are walking through a grassy yard. 
<|assistant|>:
Drei kleine Kinder gehen durch eine grasbewachsene Hofgarten herum"
A man pounds on an artwork perched on a cart.,Ein Mann grübelt über einer Skulptur auf einem Wagen.,"<|user|>
A man pounds on an artwork perched on a cart. 
<|assistant|>:
Ein Mann pitzt auf einem Kunstwerk, das mit einer Wagen angelegt ist"
A man on a bicycle rides on a mountain.,Ein Mann fährt auf einem Berg Fahrrad.,"<|user|>
A man on a bicycle rides on a mountain. 
<|assistant|>:
Ein Mann auf einem Fahrrad fährt mitten in einer Berge. 
"
A boy with blue and yellow rain boots runs on dirt.,Ein Junge in blau-gelben Gummistiefeln läuft auf Erde.,"<|user|>
A boy with blue and yellow rain boots runs on dirt. 
<|assistant|>:
Ein Junge mit blau-gelben Regenbogenfüßen rennt"
A woman in an orange jacket sits on a bench.,Eine Frau in einer orangefarbenen Jacke sitzt auf einer Bank.,"<|user|>
A woman in an orange jacket sits on a bench. 
<|assistant|>:
Eine Frau mit einer orangen Jacke sitzt auf einem Banken. 
S"
A man doing a trick on skateboard,Ein Mann macht einen Trick auf dem Skateboard,"<|user|>
A man doing a trick on skateboard 
<|assistant|>:
Ein Mann macht auf einem Skateshare ein Kunststück. 10"
A man in a martial arts uniform in midair.,Ein Mann in einem Karateanzug in der Luft.,"<|user|>
A man in a martial arts uniform in midair. 
<|assistant|>:
Ein Mann im Kampfkunststil ist mitten ins Luften gestreckt"
Woman selling bags of fruit on a sidewalk.,Eine Frau verkauft auf einem Gehsteig Tüten mit Früchten.,"<|user|>
Woman selling bags of fruit on a sidewalk. 
<|assistant|>:
Frau verkauft auf einem Gehweg Tüten mit Obst und K"
Two soccer teams are on the field.,Zwei Fußballmannschaften auf dem Feld.,"<|user|>
Two soccer teams are on the field. 
<|assistant|>:
Zwei Fußball-Mannschaften auf dem Platz.  
2 × Footballmannschafts"
A child in a blue shirt jumping off a bench.,Ein Kind in einem blauen Shirt springt von einer Bank.,"<|user|>
A child in a blue shirt jumping off a bench. 
<|assistant|>:
Ein Kind mit blauem Hemd springt von einer Bank ab. Die Kinder sind"
A goalie in a yellow field is protecting the goal.,Ein Torwart in einem gelben Trikot schützt das Tor.,"<|user|>
A goalie in a yellow field is protecting the goal. 
<|assistant|>:
Ein Torschütze auf einem gelben Feld ist umgeben, der das Tor sich"
A group of young people take shots in a Mexican setting.,Eine Gruppe junger Menschen trinkt Shots in einem Mexikanischen Setting.,"<|user|>
A group of young people take shots in a Mexican setting. 
<|assistant|>:
Eine Gruppe junger Leute macht Schüsse auf einem mexikanischen Hinter"
A young man skateboards off a pink railing.,Ein Junger Mann rutscht mit dem Skateboard über ein rosa Geländer.,"<|user|>
A young man skateboards off a pink railing. 
<|assistant|>:
Ein junger Mann macht mit seinem Skaterboard auf einem rosafarben"
A young boy jumping from a bunk bed on a smaller bed.,Ein kleiner Junge springt von einem Stockbett auf ein kleineres Bett.,"<|user|>
A young boy jumping from a bunk bed on a smaller bed. 
<|assistant|>:
Ein kleiner Junge springt von einem Schlafzimmer auf einen kleinen B"
"Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.","Zwei Leute in komischen Alienkostümen, eines blau und eines purpurn, stehen auf einer Straße.","<|user|>
Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road. 
<|assistant|>:
Zwei Personen mit ungewöhnlichen Kostümen stehen auf einer Straße und eine bla"
Man running wearing a blue shirt with a number taped to it.,Ein Läufer in einem blauen Shirt mit einer aufgeklebten Nummer.,"<|user|>
Man running wearing a blue shirt with a number taped to it. 
<|assistant|>:
Ein Mann läuft in einem blauen Hemd mit einer Nummer an die Sp"
An Asian factory worker posing for the camera.,Ein asiatischer Fabrikarbeiter posiert für die Kamera.,"<|user|>
An Asian factory worker posing for the camera. 
<|assistant|>:
Ein asiatischer Fabrikarbeiter, der für die Kamera steht. 
"
A man that appears to be running in a marathon gives us 2 thumbs up.,"Ein Mann, der anscheinend bei einem Marathon mitläuft, zeigt zwei Daumen nach oben.","<|user|>
A man that appears to be running in a marathon gives us 2 thumbs up. 
<|assistant|>:
Ein Mann, der zu einem Marathondurchlauf kommt und zwei Töte hoch"
Basketball players shoot for a goal during a game.,"Basketballspieler versuchen während eines Spiels, einen Korb zu erzielen.","<|user|>
Basketball players shoot for a goal during a game. 
<|assistant|>:
Ein Basketballspieler schiebt auf einem Spiel für ein Tor einen Ball an sich zu,"
A football player wearing an orange uniform smiling and holding the football.,Ein Footballspieler in einem orangefarbenen Trikot lächelt und hält einen Football.,"<|user|>
A football player wearing an orange uniform smiling and holding the football. 
<|assistant|>:
Ein Footballspieler in einem orangen Trikot lächelt und hält den Fußball"
Two downhill skateboarders round a curve while others watch.,Zwei Downhill-Skateboarder fahren um eine Kurve während andere zusehen.,"<|user|>
Two downhill skateboarders round a curve while others watch. 
<|assistant|>:
Zwei Downhillerin mit dem Skaterrad rennen auf einer Kurve, während"
A team in white and gold on the sidelines of a football field.,Ein Team in Weiß und Gold an der Seitenlinie eines Footballfeldes.,"<|user|>
A team in white and gold on the sidelines of a football field. 
<|assistant|>:
Eine Team mit weiß-gelben Trikots auf den Seiten des Fußballfelds"
A little girl is pushing her scooter through a grassy tree lined field.,Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,"<|user|>
A little girl is pushing her scooter through a grassy tree lined field. 
<|assistant|>:
Ein kleines Mädchen schiebt ihr Schwimmschlitten durch ein gr"
Group of asian children dressed in white shirts and hats performing with a crowd looking on.,Eine Gruppe asiatischer Kinder in weißen Hemden und Kappen gibt eine Vorstellung vor einer Menge.,"<|user|>
Group of asian children dressed in white shirts and hats performing with a crowd looking on. 
<|assistant|>:
Eine Gruppe Asiatinnen, die weiße Oberteil und Hüten tra"
Pedestrians walking down the street look at a child in a cardboard box.,Fußgänger auf einer Straße blicken auf ein Kind in einem Karton.,"<|user|>
Pedestrians walking down the street look at a child in a cardboard box. 
<|assistant|>:
Mehrere Fußgänger auf der Straße blicken an ein Kind im Karton"
A brown dog runs down the sandy beach.,Ein brauner Hund läuft über den Sandstrand.,"<|user|>
A brown dog runs down the sandy beach. 
<|assistant|>:
Ein brauner Hund rennt am Sandstrand entlang. 
\"
Two men in army uniforms stand next to a woman.,Zwei Männer in Armeeuniform stehen neben einer Frau.,"<|user|>
Two men in army uniforms stand next to a woman. 
<|assistant|>:
Zwei Männer im Soldatenanzug stehen neben einer Frau auf einem Platz. 20"
"The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.","Der Dalai Lama bei einem Empfang, zu dem Besucher Nelken, Schirme und Gebetsfahnen bringen.","<|user|>
The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags. 
<|assistant|>:
Der Dalai lamakönig bei einer Veranstaltung mit Blumen und Gebecken"
A biker jumps an obstacle.,Ein Radfahrer springt über eine Hindernis.,"<|user|>
A biker jumps an obstacle. 
<|assistant|>:
Ein Motorradfahrer springt über eine Hindernis. 
Dies"
A couple sitting in white lawn chairs are smiling at the camera.,Ein Paar sitzt auf weißen Gartenstühlen und lächelt in die Kamera.,"<|user|>
A couple sitting in white lawn chairs are smiling at the camera. 
<|assistant|>:
Ein Paar sitzt auf weißen Bodenstühlen und lächelt"
Young kids are on a small train ride.,Kleine Kinder fahren in einem Miniaturzug.,"<|user|>
Young kids are on a small train ride. 
<|assistant|>:
Kleine Kinder fahren in einem kleinen Zugfahrt auf dem Weg zu Hause. "
A surfer in a blue swimsuit is riding the waves.,Ein Surfer beim Wellenreiten in einem blauen Neoprenanzug.,"<|user|>
A surfer in a blue swimsuit is riding the waves. 
<|assistant|>:
Ein Surfsurfer mit blauem Badeanzug fährt die W"
The boy jumps onto his soccer player brother.,Ein Junge springt auf seinen Fußball spielenden Bruder.,"<|user|>
The boy jumps onto his soccer player brother. 
<|assistant|>:
Der Junge springt auf den Jungen seines Fußball-Brünetts hinauf."
Two young men on opposing soccer teams are competing to get the ball on a soccer field.,Zwei junge Männer aus verschiedenen Fußballmannschaften versuchen auf einem Fußballplatz den Ball zu bekommen.,"<|user|>
Two young men on opposing soccer teams are competing to get the ball on a soccer field. 
<|assistant|>:
Zwei junge Männer, die auf einer Fußballbahn gegeneinander kämpfen um"
People are walking on a paved slope surrounded by Chinese vendors.,"Leute gehen auf einer befestigten abschüssigen Straße, umgeben von Chinesischen Händlern.","<|user|>
People are walking on a paved slope surrounded by Chinese vendors. 
<|assistant|>:
Leute gehen auf einer gepflasterten Ebene, die von chinesischen Ver"
A young boy wearing white pants is jumping off the couch.,Ein kleiner Junge in weißen Hosen springt von der Couch.,"<|user|>
A young boy wearing white pants is jumping off the couch. 
<|assistant|>:
Ein kleiner Junge in einem weißen Hosen springt von der Sofa"
A boy in an orange shirt is pouring Legos from a bag.,Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,"<|user|>
A boy in an orange shirt is pouring Legos from a bag. 
<|assistant|>:
Ein Junge mit einem orangen Oberteil pflanzt Lego aus einer K"
"Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.","Eine Frau in braunen Sandalen, blauen Jeans und einem weißen Shirt hält ein Baby unter einem großen Baum.","<|user|>
Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree. 
<|assistant|>:Eine Frau mit braunen Sandalen und blauem Jean hält ein Baby unter"
Three people smiling and holding political signs.,Drei Personen lächeln und halten politische Schilder.,"<|user|>
Three people smiling and holding political signs. 
<|assistant|>:
Drei Personen lächeln und halten politische Wände auf sich zu, die sie"
An officer stands next to a car on a city street.,Ein Polizist steht neben einem Auto auf einer städtischen Straße.,"<|user|>
An officer stands next to a car on a city street. 
<|assistant|>:
Ein Polizist steht neben einem Auto auf einer Straße in der Stadt. 
A"
Two men wearing hats.,Zwei Männer mit Mützen.,"<|user|>
Two men wearing hats. 
<|assistant|>:
Zwei Männer mit Hüten. 
2 Personen tragen Kopfbedeck"
A boy in midair trying to kick a soccer ball,Ein Junge ist in der Luft und versucht einen Fußball zu treffen,"<|user|>
A boy in midair trying to kick a soccer ball 
<|assistant|>:
Ein Junge, der versucht einen Fußball zu kicker. Ein Jungen im Luft"
A young boy with a blue beanie has his head down.,Ein kleiner Junge mit einer blauen Beanie-Mütze hält den Kopf gesenkt.,"<|user|>
A young boy with a blue beanie has his head down. 
<|assistant|>:
Ein kleiner Junge mit einem blauen Schal hat seine Kopfhöhe her"
A red-haired man with dreadlocks is sitting playing and acoustic guitar.,Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer akustischen Gitarre.,"<|user|>
A red-haired man with dreadlocks is sitting playing and acoustic guitar. 
<|assistant|>:Ein rothaariger Mann mit Dreadlocks sitzt und spielt auf einer Ac"
A man eating a sandwich with his baby daughter in his lap.,Ein Mann isst ein Sandwich und hält seine kleine Tochter auf dem Schoß.,"<|user|>
A man eating a sandwich with his baby daughter in his lap. 
<|assistant|>:
Ein Mann, der ein Sandwiche mit seinem Baby auf seiner Schulter isst und"
An African American child is holding something up that those in the picture are proud of.,"Ein afroamerikanisches Kind hält etwas hoch, worauf die Leute auf dem Bild stolz sind.","<|user|>
An African American child is holding something up that those in the picture are proud of. 
<|assistant|>:
Ein afroamerikanisches Kind hält etwas, das die Menschen im Bild zusehen"
A woman directs a crowd of people with a loudspeaker.,Eine Frau gibt einer Gruppe Anweisungen über einen Lautsprecher.,"<|user|>
A woman directs a crowd of people with a loudspeaker. 
<|assistant|>:
Eine Frau hilft einer Menschenmenge mit einem Hörer auf einen Kopf"
Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,Kostümierte Zuschauer sehen zu wie ein Polizist eine Rede hält und ein Mann im Anzug eine Schale mit Obst hält.,"<|user|>
Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit. 
<|assistant|>:
Zuschauer, die sich als Polizisten gekleidet haben und einen Mann im An"
A crowd is present at a bar.,Eine Gruppe ist in einer Bar.,"<|user|>
A crowd is present at a bar. 
<|assistant|>:
Eine Menschenmenge ist in einer Bar vorhanden. 150 Personen sind"
A girl in white and a girl in green walk past a blue car wash station.,Ein Mädchen in Weiß und eines in Grün gehen an einer blauen Autowaschanlage vorbei.,"<|user|>
A girl in white and a girl in green walk past a blue car wash station. 
<|assistant|>:
Ein Mädchen mit weißer Kleidung und ein weiteres Mitglied"
A man is using electronic equipment.,Ein Mann verwendet elektronische Geräte.,"<|user|>
A man is using electronic equipment. 
<|assistant|>:
Ein Mann nutzt elektronische Geräte. Die Maske ist auf dem Computer"
A person surfing through a crashing wave in the ocean.,Eine Person surft auf einer brechenden Welle auf dem Ozean.,"<|user|>
A person surfing through a crashing wave in the ocean. 
<|assistant|>:
Eine Person macht mitten im Meer eine Ride, die durch einen schlag"
An army officer is inspecting something.,Ein Armeeoffizier inspiziert etwas.,"<|user|>
An army officer is inspecting something. 
<|assistant|>:
Ein Soldat überprüft etwas, das von ihm zu sehen ist. 
Auf"
A bride and groom kiss under the bride's veil.,Eine Braut und Bräutigam küssen sich unter dem Brautschleier.,"<|user|>
A bride and groom kiss under the bride's veil. 
<|assistant|>:
Ein Bräutigam und eine Zaree küssen sich unter dem Bede"
Riot police are standing in the background while a young man with a red scarf covering his face is walking.,Bereitschaftspolizei steht im Hintergrund während ein junger Mann mit einem roten Schal über dem Gesicht vorbeigeht.,"<|user|>
Riot police are standing in the background while a young man with a red scarf covering his face is walking. 
<|assistant|>:
Eine Polizei steht im Hintergrund, während ein junger Mann mit roter"
A black and white dog jumping over a steeple vault at a competition,Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,"<|user|>
A black and white dog jumping over a steeple vault at a competition 
<|assistant|>:
Ein schwarz-weißer Hund springt über eine Zinnenkanz"
A woman wearing a sweater is reading a book in her home.,Eine Frau in einer Strickjacke liest zu Hause ein Buch.,"<|user|>
A woman wearing a sweater is reading a book in her home. 
<|assistant|>:
Eine Frau, die einen Pullover trägt und im Haus liest ein Buch."
Several teenagers are looking over a railing in a dark room.,Mehrere Teenager blicken über ein Geländer in einem dunklen Raum.,"<|user|>
Several teenagers are looking over a railing in a dark room. 
<|assistant|>:
Mehrere Teens schauen über ein Geländer im dunklen Raum auf einen"
The man in the white t-shirt is starting to climb a rock.,"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.","<|user|>
The man in the white t-shirt is starting to climb a rock. 
<|assistant|>:
Der Mann mit dem weißen TShir, macht auf einer Felswand einen"
A teenage boy is stretching in the kitchen and you can see part of his stomach.,Ein Teenager streckt sich in der Küche und sein Bauch ist teilweise sichtbar.,"<|user|>
A teenage boy is stretching in the kitchen and you can see part of his stomach. 
<|assistant|>:
Ein Teensohn streckt sich im Küche und sieht zu, wie ein"
People are holding various types of drumsticks above different kinds of drums.,Personen halten verschiedene Arten von Trommelschlägeln über unterschiedliche Trommeln.,"<|user|>
People are holding various types of drumsticks above different kinds of drums. 
<|assistant|>:
Leute halten verschiedene Trommeln über unterschiedlichen Schlagzeugarten herum"
Three farmers harvest rice out in a rice field.,Drei Farmer ernten Reis auf einem Feld.,"<|user|>
Three farmers harvest rice out in a rice field. 
<|assistant|>:
Drei Farmer reiten auf einer Rinde und ernten im Feld mit einem Reit"
Two women and a man are looking at a book.,Zwei Frauen und ein Mann betrachten ein Buch.,"<|user|>
Two women and a man are looking at a book. 
<|assistant|>:
Zwei Frauen und ein Mann schauen auf einen Buch an.  
2 F"
Three children's legs are shown as they stand near a mess of silly string.,"Die Beine von drei Kindern, die neben einem Durcheinander verknoteter Fäden stehen.","<|user|>
Three children's legs are shown as they stand near a mess of silly string. 
<|assistant|>:
Drei Kinder stehen in der Nähe einer Schleife mit Seifenströmen und"
A cook is posing for a camera while cooking.,Ein Koch posiert beim Kochen für die Kamera.,"<|user|>
A cook is posing for a camera while cooking. 
<|assistant|>:
Ein Koch steht für eine Kamera und kocht. 10 Minuten später wird"
Many people in a street protesting the use of coal in power plants.,Viele Leute protestieren auf einer Straße gegen Kohlekraftwerke.,"<|user|>
Many people in a street protesting the use of coal in power plants. 
<|assistant|>:
Viele Menschen auf einer Straße, die gegen den Einsatz von Kohle im Kraftwerk gehen"
The teen jumps the hill with his bicycle.,Der Teenager springt mit seinem Fahrrad über den Hügel.,"<|user|>
The teen jumps the hill with his bicycle. 
<|assistant|>:
Der Teens springt mit seinem Fahrrad über einen Hügel hinauf. Der Junge"
A little girl running at on the shore of a beach.,Ein kleines Mädchen läuft entlang einer Küste.,"<|user|>
A little girl running at on the shore of a beach. 
<|assistant|>:
Ein kleines Mädchen läuft am Strand auf dem Ufer einer B"
White duck flapping its wings in the water.,Eine weiße Ente schlägt im Wasser mit den Flügeln.,"<|user|>
White duck flapping its wings in the water. 
<|assistant|>:
Eine weiße Duck, die im Wasser schwimmt und ihre Flügel aus"
"Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.",Zwei Männer stehen vor dem Heck eines Lasters und hinter einem Metallgegenstand und unterhalten sich anscheinend während vier weitere Personen um sie herum stehen.,"<|user|>
Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them. 
<|assistant|>:
Zwei Männer unterhalten sich und stehen vor einem Lkw hinter einer Leinwand-K"
A woman in a pink skirt is holding a baby.,Eine Frau in einem rosa Rock hält ein Baby.,"<|user|>
A woman in a pink skirt is holding a baby. 
<|assistant|>:
Eine Frau mit rosafarbenem Oberteil hält ein Baby an sich zu H"
A hockey player in a yellow jersey is guarding the goal.,Ein Hockeyspieler in einem gelben Trikot schützt das Tor.,"<|user|>
A hockey player in a yellow jersey is guarding the goal. 
<|assistant|>:
Ein Hockeyspieler mit einer gelben Trikotmütze ist um"
A man is walking past a large sign that says E.S.E. Electronics.,"Ein Mann läuft an einem Schild vorbei, auf dem E.S.E. Electronics steht.","<|user|>
A man is walking past a large sign that says E.S.E. Electronics. 
<|assistant|>:
Ein Mann geht an einem großen Schild mit dem Titel „ESSE“ vorbei,"
Three boys wearing green shirts and tan pants pose at the top of a slide.,Drei Jungen in grünen Shirts und braunen Hosen posieren auf dem Oberteil einer Rutsche.,"<|user|>
Three boys wearing green shirts and tan pants pose at the top of a slide. 
<|assistant|>:
Drei Jungen in grünen Oberteil und hellbrauner Hose posieren"
A man is dancing with a dog between his legs.,Ein Mann tanzt mit einem Hund zwischen den Beinen.,"<|user|>
A man is dancing with a dog between his legs. 
<|assistant|>:
Ein Mann tanzt mit einem Hund zwischen seinen Legs.  
Für eine"
The white dog is running in the shallow water.,Der weiße Hund läuft im flachen Wasser.,"<|user|>
The white dog is running in the shallow water. 
<|assistant|>:
Der weiße Hund rennt im nassen Wasser entlang. 
Die sch"
Oregon percussionists are marching with the band.,Schlagzeuger aus Oregon marschieren mit der Band.,"<|user|>
Oregon percussionists are marching with the band. 
<|assistant|>:
Orgelmusikanten marschieren mit der Band durch die Stadt.  
Ein"
A group of children play together in a fenced yard as an adult watches.,Eine Gruppe Kinder spielt in einem eingezäunten Hof während ein Erwachsener zusieht.,"<|user|>
A group of children play together in a fenced yard as an adult watches. 
<|assistant|>:
Eine Gruppe von Kindern spielt zusammen auf einem gepferdeten Hof, während ein"
A group of women are playing musical instruments together.,Eine Gruppe Frauen spielt gemeinsam auf Musikinstrumenten.,"<|user|>
A group of women are playing musical instruments together. 
<|assistant|>:
Eine Gruppe von Frauen spielt Musikinstrumente zusammen. 20 Spielerinnen spiel"
A little girl in a purple plaid dress is lying on the floor crying.,Ein kleines Mädchen in einem violett karierten Kleid liegt auf dem Boden und weint.,"<|user|>
A little girl in a purple plaid dress is lying on the floor crying. 
<|assistant|>:
Ein kleines Mädchen mit einem lila Karussell liegt auf dem Boden"
A man with graying hair shaves his beard.,Ein Mann mit ergrauenden Haaren rasiert seinen Bart.,"<|user|>
A man with graying hair shaves his beard. 
<|assistant|>:
Ein Mann mit grauer Haarschnur schneidet seinen Bart ab."
"Two black dogs, a black puppy, and a white dog in the snow.","Zwei schwarze Hunde, ein schwarzer Welpe und ein weißer Hund im Schnee.","<|user|>
Two black dogs, a black puppy, and a white dog in the snow. 
<|assistant|>:
Zwei schwarze Hunde und ein weißer Puppe im Schnee. "
Man in a Miami basketball uniform jumping to make a shot.,Ein Mann in einem Basketballtrikot von Miami macht einen Sprungwurf.,"<|user|>
Man in a Miami basketball uniform jumping to make a shot. 
<|assistant|>:
Ein Mann mit einem Basketballuniform springt zum Schießen auf einen Ball zu. Der"
"A woman is sitting outside her house with a blue door, enjoying the air.",Eine Frau sitzt vor ihrem Haus mit einer blauen Tür und genießt die frische Luft.,"<|user|>
A woman is sitting outside her house with a blue door, enjoying the air. 
<|assistant|>:
Eine Frau sitzt draußen im Freien mit einer blauen Tür und genieß"
Kids are sitting on a man in a banana suit.,Kinder sitzen auf einem Mann in einem Bananenkostüm.,"<|user|>
Kids are sitting on a man in a banana suit. 
<|assistant|>:
Kinds sitzen auf einem Mann im Bananenanzug. 10 M"
A gray and white dog jumping over standing water in the sand.,Ein grauweißer Hund springt über stehendes Wasser im Sand.,"<|user|>
A gray and white dog jumping over standing water in the sand. 
<|assistant|>:
Ein grau-weißer Hund springt über das Wasser, welches im"
A crowd gathered around a park water fountain in the rain.,Eine Menschenmenge hat sich im Regen um einen Springbrunnen im Park versammelt.,"<|user|>
A crowd gathered around a park water fountain in the rain. 
<|assistant|>:
Eine Menschenmenge um einen Parkwasserfluß im Regen versammelt sich"
"Several older men, some in traditional headdress convene on a street corner.","Mehrere ältere Männer, einige mit traditionellen Kopfbedeckungen, treffen sich an einer Straßenecke.","<|user|>
Several older men, some in traditional headdress convene on a street corner. 
<|assistant|>:
Mehrere ältere Männer mit traditioneller Kopfbedürftigkeit auf einer Straße ent"
A young Lassie looking dog is in the snow.,"Ein junger Hund, der aussieht wie Lassie, im Schnee.","<|user|>
A young Lassie looking dog is in the snow. 
<|assistant|>:
Ein junger Hund, der im Schnee blickt hat.  
"
The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,Der Fußballer im goldenen Trikot blockt den Ball vor dem gegnerischen Spieler.,"<|user|>
The soccer player wearing the gold jersey is blocking the ball from the opposing team player. 
<|assistant|>:
Der Fußballspieler in der Goldfarbener Trikot blockiert den Ball von einem Gegner"
A woman in a black shirt is knitting with purple yarn.,Eine Frau in einem schwarzen Hemd strickt mit rotem Garn.,"<|user|>
A woman in a black shirt is knitting with purple yarn. 
<|assistant|>:
Eine Frau mit schwarzem Hemd, die Kneten und Leder stift"
Four females of Asian descent are wearing golden dresses while performing point ballet.,Vier Frauen asiatischer Herkunft tragen goldene Kleider und tanzen Ballett.,"<|user|>
Four females of Asian descent are wearing golden dresses while performing point ballet. 
<|assistant|>:
Vier Asiatinnen von asiatischer Herkunft trägt goldene Kleidungen"
A person is playing an unique instrument.,Eine Person spielt auf einem einzigartigen Instrument.,"<|user|>
A person is playing an unique instrument. 
<|assistant|>:
Eine Person spielt ein ungewöhnliches Instrument. 
Durch die"
A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,"<|user|>
A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass. 
<|assistant|>:
Ein Mädchen in schwarzer Athletikkleidung mit der Nummer "
"A kid crosscountry skis wearing the number ""93"".","Ein Kind mit der Nummer ""93"" fährt Ski.","<|user|>
A kid crosscountry skis wearing the number ""93"". 
<|assistant|>:
Ein Kind mit dem Nummerzeichen „87“ über den Cross Country Skate"
A older gentleman and a young girl begin to work on a puzzle together.,"Ein älterer Herr und ein junges Mädchen fangen an, gemeinsam ein Puzzle zusammenzusetzen.","<|user|>
A older gentleman and a young girl begin to work on a puzzle together. 
<|assistant|>:
Ein älterer Mann und ein junges Mädchen beginnen zusammen eine K"
A film crew films a young African boy in a yellow shirt.,Ein Filmteam filmt einen afrikanischen Jungen in einem gelben Shirt.,"<|user|>
A film crew films a young African boy in a yellow shirt. 
<|assistant|>:
Eine Filmkamerafilmteam fotografiert ein kleiner afrikanischer Junge"
A streetlight lit bridge with a cyclist and some cars.,Eine beleuchtete Brücke mit einem Radfahrer und ein paar Autos.,"<|user|>
A streetlight lit bridge with a cyclist and some cars. 
<|assistant|>:
Eine Straße mit einem Fahrrad und einigen Autos in der Straßenlichtbrücke zu"
A man rides a kicking bull in a bullpen.,Ein Mann reitet auf einem Bullen in einem Gehege.,"<|user|>
A man rides a kicking bull in a bullpen. 
<|assistant|>:
Ein Mann reitet auf einem Kickbord eines Bullenpaares. 
"
A boy jumping to hit a tennis ball with his racket,"Ein Junge springt hoch, um einen Tennisball mit seinem Schläger zu treffen","<|user|>
A boy jumping to hit a tennis ball with his racket 
<|assistant|>:
Ein Junge springt, um einen Tennisball mit seinem Schläger zu fangen"
Kids scale a wall as two other people watch.,Kinder klettern auf eine Wand während zwei weitere Personen zusehen.,"<|user|>
Kids scale a wall as two other people watch. 
<|assistant|>:
Kinds klettern eine Wand, während zwei andere Personen zuschauen.  "
People walking about a university campus with palm trees in the background.,Menschen laufen über einen Universitätscampus mit Palmen im Hintergrund.,"<|user|>
People walking about a university campus with palm trees in the background. 
<|assistant|>:
Leute gehen auf einem Universitätscampus mit Palmen im Hintergrund entlang"
Little girl kicks black object at karate class.,Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,"<|user|>
Little girl kicks black object at karate class. 
<|assistant|>:
Ein kleines Mädchen wirft einen schwarzen Gegenstand in Karatens"
Two men trying to hoist themselves up from the water on to a walkway made of tires.,Zwei Männer versuchen sich aus dem Wasser auf einen Steg aus Autoreifen hochzuziehen.,"<|user|>
Two men trying to hoist themselves up from the water on to a walkway made of tires. 
<|assistant|>:
Zwei Männer versuchen, sich auf einem Seegebirgsweg aus dem Wasser"
"Two men breakdancing, with a crowd looking on.",Eine Menschenmenge beobachtet zwei Männer beim Breakdancen.,"<|user|>
Two men breakdancing, with a crowd looking on. 
<|assistant|>:
Zwei Männer drehen sich Breatisch mit einer Menschenmenge zu. Die Menge"
A professionally dressed woman standing at a podium debating or discussing something of importance.,Eine professionell gekleidete Frau steht an einem Podium und debattiert oder diskutiert über etwas Wichtiges.,"<|user|>
A professionally dressed woman standing at a podium debating or discussing something of importance. 
<|assistant|>:
Eine berühmte Frau steht an einer Konsultation und diskutiert etwas"
A woman is laying down on a sofa laughing.,Eine Frau liegt auf einem Sofa und lacht.,"<|user|>
A woman is laying down on a sofa laughing. 
<|assistant|>:
Eine Frau liegt auf einem Sofa und lächelt. 
Drei Männer,"
A dirt floor gets swept by one white and one black woman.,Eine schwarze und eine weiße Frau wischen einen schmutzigen Boden.,"<|user|>
A dirt floor gets swept by one white and one black woman. 
<|assistant|>:
Eine flache Wartung, die von einer weißen und einem schwarzen"
